編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLNJRHHFFAK38CA,大湖段,2507.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLNJRHHFFAK38CA,大湖段,7525.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,10000.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,366.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPTNMLNJRHHFFAK48CA,大湖段,6935.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,3508.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,3624.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPTNMLNJRHHFFAK48CA,大湖段,3586.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPTNMLNJRHHFFAK48CA,大湖段,2041.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,2025.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,2008.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,2037.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,2573.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,2660.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,2556.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,641.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,4197.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,2031.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJRHHFFAK48CA,大湖段,111.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPTNMLNJRHHFFAK48CA,大湖段,606.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPTNMLNJRHHFFAK48CA,大湖段,208.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPTNMLNJRHHFFAK48CA,大湖段,4613.00,非都市：山坡地保育區 ; 非都市編定：林業用地
