編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQPMLQJJIHFFAT88CA,瑞光段,27.95,非都市： ; 非都市編定：
RPQPMLQJJIHFFAT88CA,瑞光段,1.66,非都市： ; 非都市編定：
RPSNMLMJJIHFFAT48CA,和興段,166.78,都市：農
RPOPMLQJJIHFFAT68CA,歸義段,297.15,都市：其他
RPPNMLPJJIHFFAT48CA,崙頂段,82.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOPMLKLJIHFFAT28CA,社安段,939.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLNKJIHFFAT78CA,灰段,50.00,都市：住
RPRPMLQJJIHFFAT98CA,九如段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLPKJIHFFAT66CA,花園段,76.00,都市：住
RPWNMLPKJIHFFAT66CA,花園段,1.00,都市：住
RPPNMLQJJIHFFBT68CA,埔崙段,1566.00,都市：農
RPXNMLKLJIHFFAT98CA,洛陽段,26.25,都市：其他
RPXNMLKLJIHFFAT98CA,洛陽段,26.25,都市：其他
RPXNMLKLJIHFFAT98CA,洛陽段,85.00,都市：住
RPXNMLKLJIHFFAT98CA,洛陽段,2.50,都市：其他
RPXNMLKLJIHFFAT98CA,洛陽段,2.50,都市：其他
RPSNMLMKJIHFFBT68CA,興中段,26.04,都市：農
RPSNMLMKJIHFFBT68CA,興中段,43.00,都市：農
RPVNMLQJJIHFFBT66CA,民意段,4142.48,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLPKJIHFFAT68CA,洛陽段,127.00,都市：住
RPQNMLMLJIHFFBT58CA,阿拔泉段,2664.00,都市：農
RPSNMLMJJIHFFCT68CA,海豐段,1122.80,都市：其他
RPPOMLPJJIHFFCT78CA,新生段,92.98,都市：住
RPPOMLPJJIHFFCT78CA,新生段,63.96,都市：住
RPPOMLPJJIHFFCT78CA,新生段,63.04,都市：住
RPRNMLQJJIHFFBT88CA,南興段,77.00,都市：住
RPRNMLSJJIHFFCT56CA,萬巒段,1247.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLQJJIHFFCT78CA,榮田段,80.19,都市：住
RPPNMLOJJIHFFCT58CA,光明段,12.62,都市：住
