編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLSJKHIFFAE37CA,31,212.85,住商用,鋼筋混凝土造,70年8月25日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓
RPVNMLQJKHIFFAE77CA,17,145.40,住家用,鋼筋混凝土造,84年7月7日,二十七層,十一層
RPVNMLQJKHIFFAE77CA,17,53.08,見使用執照,鋼筋混凝土造,84年7月7日,二十七層,
RPXNMLOJKHIFFAE77CA,54,70.08,住商用,加強磚造,48年6月7日,三層,一層 二層 三層
RPUPMLRJKHIFFAE97CA,16,176.04,住商用,鋼筋混凝土造,85年9月7日,十六層,一層 二層 三層 騎樓
RPUPMLRJKHIFFAE97CA,16,23.62,見使用執照,鋼筋混凝土造,85年9月7日,十六層,
RPURMLPJKHIFFAE97CA,17,52.13,住家用,鋼筋混凝土造,85年3月13日,十二層,九層
RPURMLPJKHIFFAE97CA,17,27.22,見使用執照,鋼筋混凝土造,85年3月13日,十二層,
RPRRMLPJKHIFFAE67CA,7,87.89,住家用,鋼筋混凝土造,95年3月3日,十五層,十四層
RPRRMLPJKHIFFAE67CA,7,66.28,共有部分,鋼筋混凝土造,95年3月3日,十五層,
RPTRMLPJKHIFFAE87CA,32,106.80,,鋼筋混凝土造,70年6月20日,五層,四層
RPSPMLOJKHIFFAE47CA,16,27.44,住家用,鋼筋混凝土造,85年10月28日,十二層,三層
RPSPMLOJKHIFFAE47CA,16,27.73,見使用執照,鋼筋混凝土造,85年10月28日,十二層,
RPTPMLRJKHIFFAE87CA,8,88.10,住家用,鋼筋混凝土造,93年12月6日,十四層,五層
RPTPMLRJKHIFFAE87CA,8,57.01,共有部分,鋼筋混凝土造,93年12月6日,十四層,
RPXOMLRJKHIFFAE18CA,8,52.33,住家用,鋼筋混凝土造,94年5月20日,十四層,四層
RPXOMLRJKHIFFAE18CA,8,16.30,共有部分,鋼筋混凝土造,94年5月20日,十四層,
RPWNMLSJKHIFFAE08CA,6,59.57,住家用,鋼筋混凝土造,95年11月1日,十五層,九層
RPWNMLSJKHIFFAE08CA,6,24.21,見其它登記事項,鋼筋混凝土造,95年11月1日,十五層,
RPQQMLSJKHIFFAE77CA,43,428.13,住商用,見其它登記事項,58年9月3日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓 地下層
RPOPMLSJKHIFFAE47CA,7,83.92,住家用,鋼筋混凝土造,94年12月22日,十四層,九層
RPOPMLSJKHIFFAE47CA,7,46.92,共有部分,鋼筋混凝土造,94年12月22日,十四層,
RPQOMLSKKHIFFAE67CA,19,128.72,住商用,鋼筋混凝土造,83年1月24日,八層,一層 二層 騎樓
RPQOMLSKKHIFFAE67CA,19,12.50,見使用執照,鋼筋混凝土造,83年1月24日,八層,
RPXNMLSJKHIFFAE18CA,6,103.64,住家用,鋼筋混凝土造,95年11月1日,十五層,十三層
RPXNMLSJKHIFFAE18CA,6,64.00,見其它登記事項,鋼筋混凝土造,95年11月1日,十五層,
RPQRMLSJKHIFFAE87CA,24,154.95,見使用執照,鋼筋混凝土造,77年11月10日,十二層,十層
RPQRMLSJKHIFFAE87CA,24,20.65,見使用執照,鋼筋混凝土造,77年11月10日,十二層,
RPVNMLLLKHIFFAE47CA,36,63.01,,鋼筋混凝土造,65年8月24日,四層,一層
RPOOMLSKKHIFFAE47CA,8,58.45,住家用,鋼筋混凝土造,93年7月22日,十四層,十四層
RPOOMLSKKHIFFAE47CA,8,51.10,共有部分,鋼筋混凝土造,93年7月22日,十四層,
RPUNMLKLKHIFFAE27CA,20,201.09,住家用,鋼筋混凝土造,82年4月19日,四層,一層 二層 三層 四層 騎樓
RPQNMLSKKHIFFAE57CA,31,165.19,,鋼筋混凝土造,71年6月9日,八層,一層 二層 騎樓
RPQNMLSKKHIFFAE57CA,31,36.78,商業用,鋼筋混凝土造,71年6月9日,八層,
RPPQMLOJKHIFFBE37CA,49,90.00,,加強磚造,53年1月25日,二層,
RPUNMLOJKHIFFBE57CA,26,116.56,,鋼筋混凝土造,76年4月18日,五層,四層
RPROMLOJKHIFFBE37CA,33,79.39,,鋼筋混凝土造,69年4月21日,五層,四層
RPTPMLPJKHIFFBE77CA,15,73.27,住家用,鋼筋混凝土造,86年4月21日,三十五層,三十五層
RPTPMLPJKHIFFBE77CA,15,20.64,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPRPMLPJKHIFFBE57CA,16,102.33,住家用,鋼筋混凝土造,86年4月21日,三十五層,八層
RPRPMLPJKHIFFBE57CA,16,33.29,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPOOMLQJKHIFFBE27CA,31,73.34,,鋼筋混凝土造,70年12月29日,五層,四層
RPPOMLRJKHIFFBE47CA,10,58.08,住家用,鋼筋混凝土造,92年7月4日,十四層,七層
RPPOMLRJKHIFFBE47CA,10,22.74,見其他登記事項,鋼筋混凝土造,92年7月4日,十四層,
RPTOMLRJKHIFFBE87CA,31,40.19,,鋼筋混凝土造,71年6月13日,十二層,六層
RPTOMLRJKHIFFBE87CA,31,7.75,,鋼筋混凝土造,71年6月13日,十二層,
RPSNMLSKKHIFFBE87CA,35,118.23,,鋼筋混凝土造,67年3月20日,三層,一層 二層 三層
RPTNMLSJKHIFFBE87CA,34,92.23,,鋼筋混凝土造,68年4月21日,五層,四層
RPQOMLSJKHIFFBE67CA,31,29.28,,鋼筋混凝土造,70年12月4日,十二層,五層
RPQOMLSJKHIFFBE67CA,31,29.34,,鋼筋混凝土造,70年12月4日,十二層,五層
RPQOMLSJKHIFFBE67CA,31,29.28,,鋼筋混凝土造,70年12月4日,十二層,五層
RPQOMLSJKHIFFBE67CA,31,6.03,,鋼筋混凝土造,70年12月4日,十二層,
RPQOMLSJKHIFFBE67CA,31,6.03,,鋼筋混凝土造,70年12月4日,十二層,
RPQOMLSJKHIFFBE67CA,31,6.03,,鋼筋混凝土造,70年12月4日,十二層,
RPXNMLSJKHIFFBE28CA,34,76.70,,鋼筋混凝土造,68年1月15日,四層,二層
RPUNMLSKKHIFFCE18CA,31,69.18,,鋼筋混凝土造,70年10月8日,五層,三層
RPQNMLSJKHIFFCE67CA,38,81.82,,鋼筋混凝土造,64年5月5日,四層,四層
RPWNMLKLKHIFFCE67CA,34,80.23,,鋼筋混凝土造,68年3月3日,五層,一層
RPROMLPJLHIFFBE57CA,31,82.07,,鋼筋混凝土造,70年12月18日,五層,五層
RPROMLPJLHIFFBE57CA,31,13.02,,鋼筋混凝土造,70年12月18日,五層,
RPQNMLQJKHIFFDE57CA,29,65.18,,鋼筋混凝土造,73年1月30日,五層,五層
RPOPMLRLKHIFFCE77CA,,214.19,住家用,鋼筋混凝土造,101年8月8日,三層,一層 二層 三層
RPUNMLPJKHIFFDE87CA,14,71.90,住家用,鋼筋混凝土造,87年12月23日,十四層,三層
RPUNMLPJKHIFFDE87CA,14,22.11,見使用執照,鋼筋混凝土造,87年12月23日,十四層,
RPWNMLPJLHIFFBE97CA,19,21.98,住家用,鋼筋混凝土造,82年12月24日,七層,六層
RPWNMLPJLHIFFBE97CA,19,12.45,見使用執照,鋼筋混凝土造,82年12月24日,七層,
RPPPMLOJKHIFFDE47CA,35,248.96,,鋼筋混凝土造,66年7月21日,四層,一層 二層 三層 四層 騎樓
RPPNMLPJKHIFFDE37CA,27,95.71,,鋼筋混凝土造,74年10月14日,五層,三層 電梯樓梯間
RPPNMLPJKHIFFDE37CA,27,8.93,,鋼筋混凝土造,74年10月14日,五層,
RPQNMLRJKHIFFDE67CA,17,108.47,住家用,鋼筋混凝土造,85年6月11日,十六層,八層
RPQNMLRJKHIFFDE67CA,17,32.89,見使用執照,鋼筋混凝土造,85年6月11日,十六層,
RPQNMLRJKHIFFDE67CA,17,.06,見使用執照,鋼筋混凝土造,85年6月11日,十六層,
RPQNMLRJKHIFFDE67CA,17,.00,見使用執照,鋼筋混凝土造,85年6月11日,十六層,
RPQNMLRJKHIFFDE67CA,17,25.23,見使用執照,鋼筋混凝土造,85年6月11日,十六層,
RPPNMLSJKHIFFDE67CA,20,42.03,住家用,鋼筋混凝土造,81年9月16日,十二層,四層
RPPNMLSJKHIFFDE67CA,20,15.93,見使用執照,鋼筋混凝土造,81年9月16日,十二層,
RPROMLMLKHIFFDE57CA,33,70.08,,鋼筋混凝土造,68年12月8日,五層,五層
RPRPMLPLKHIFFDE97CA,11,81.01,住家用,鋼筋混凝土造,90年11月30日,十三層,七層
RPRPMLPLKHIFFDE97CA,11,58.82,見使用執照,鋼筋混凝土造,90年11月30日,十三層,
RPTOMLLLKHIFFDE67CA,12,77.15,住家用,鋼筋混凝土造,89年8月30日,十二層,八層
RPTOMLLLKHIFFDE67CA,12,56.47,見使用執照,鋼筋混凝土造,89年8月30日,十二層,
RPSPMLSJKHIFFDE18CA,11,62.44,住家用,鋼筋混凝土造,90年11月22日,十四層,七層
RPSPMLSJKHIFFDE18CA,11,24.65,見使用執照,鋼筋混凝土造,90年11月22日,十四層,
RPUOMLQLKHIFFDE28CA,30,50.61,,鋼筋混凝土造,71年7月8日,五層,三層
RPSOMLKLKHIFFDE47CA,14,67.92,住家用,鋼筋混凝土造,88年5月19日,二十七層,四層
RPSOMLKLKHIFFDE47CA,14,18.74,見使用執照,鋼筋混凝土造,88年5月19日,二十七層,
RPPTMLPJKHIFFEE08CA,7,102.91,住家用,鋼筋混凝土造,94年10月26日,十五層,一層
RPPTMLPJKHIFFEE08CA,7,56.03,見使用執照,鋼筋混凝土造,94年10月26日,十五層,
RPWPMLPJKHIFFEE38CA,,222.86,住家用,鋼筋混凝土造,101年10月3日,四層,一層 二層 三層 四層 屋頂突出物
RPUOMLQJKHIFFEE18CA,1,475.18,住家用,鋼筋混凝土造,101年3月12日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓
RPROMLRJKHIFFEE97CA,1,204.46,住家用,鋼筋混凝土造,101年6月21日,四層,一層 二層 三層 四層
RPUNMLQJKHIFFEE08CA,36,83.48,,鋼筋混凝土造,66年2月26日,四層,四層
RPQRMLPJKHIFFEE97CA,18,59.57,住家用,鋼筋混凝土造,84年3月2日,十七層,九層
RPQRMLPJKHIFFEE97CA,18,30.85,見使用執照,鋼筋混凝土造,84年3月2日,十七層,
RPQPMLRJKHIFFEE97CA,7,87.00,見其它登記事項,鋼筋混凝土造,95年4月13日,四層,一層 二層 三層 四層
RPOQMLPLKHIFFEE87CA,13,104.50,住家用,見其它登記事項,88年11月17日,二十三層,十八層
RPOQMLPLKHIFFEE87CA,13,44.19,見使用執照,見使用執照,88年11月17日,二十三層,
RPPOMLPJKHIFFAS58CA,40,75.20,住家用,加強磚造,62年5月3日,002,一層 二層
RPRNMLTKKHIFFEE18CA,11,89.24,住家用,見其它登記事項,91年4月23日,十四層,三層
RPRNMLTKKHIFFEE18CA,11,22.05,見使用執照,見使用執照,91年4月23日,十四層,
RPXPMLPLKHIFFEE68CA,6,78.54,住家用,鋼筋混凝土造,96年5月30日,十五層,三層
RPXPMLPLKHIFFEE68CA,6,56.25,共有部分,鋼筋混凝土造,96年5月30日,十五層,
RPUPMLQLKHIFFEE48CA,21,207.28,住商用,鋼筋混凝土造,81年4月7日,四層,一層 二層 三層 四層 騎樓
RPWOMLQLKHIFFAS96CA,3,62.00,見其他登記事項,鋼筋混凝土造,99年3月4日,014,十一層
RPWOMLQLKHIFFAS96CA,3,61.56,見其他登記事項,鋼筋混凝土造,99年3月4日,002,
RPVOMLLJKHIFFBS88CA,1,119.77,見其他登記事項,鋼筋混凝土造,101年4月9日,019,十一層
RPVOMLLJKHIFFBS88CA,1,58.98,見其他登記事項,鋼筋混凝土造,101年4月9日,019,
RPWOMLLJKHIFFBS98CA,1,121.07,見其他登記事項,鋼筋混凝土造,101年4月9日,019,十七層
RPWOMLLJKHIFFBS98CA,1,59.64,見其他登記事項,鋼筋混凝土造,101年4月9日,019,
RPUOMLLJKHIFFBS78CA,1,87.81,見其他登記事項,鋼筋混凝土造,101年4月9日,017,十六層
RPUOMLLJKHIFFBS78CA,1,43.29,見其他登記事項,鋼筋混凝土造,101年4月9日,019,
RPXNMLTKKHIFFAS17CA,19,91.69,住家用,鋼筋混凝土造,83年6月8日,012,六層
RPXNMLTKKHIFFAS17CA,19,23.86,共有部份,鋼筋混凝土造,83年6月8日,012,
RPXOMLLJKHIFFBS09CA,1,328.17,見其他登記事項,鋼筋混凝土造,101年4月9日,004,一層 二層 四層 屋頂突出物 三層
RPXOMLLJKHIFFBS09CA,1,.33,見其他登記事項,鋼筋混凝土造,101年4月9日,019,
RPOPMLLJKHIFFBS28CA,1,292.22,見其他登記事項,鋼筋混凝土造,101年4月9日,003,二層 三層 屋頂突出物 地下一層 一層
RPOPMLLJKHIFFBS28CA,1,33.87,見其他登記事項,鋼筋混凝土造,101年4月9日,019,
RPTOMLPJKHIFFBS09CA,1,59.06,見其他登記事項,鋼筋混凝土造,101年5月15日,015,十三層
RPTOMLPJKHIFFBS09CA,1,28.30,共有部份,鋼筋混凝土造,101年5月15日,015,
RPXOMLOJKHIFFBS76CA,19,109.30,住家用,鋼筋混凝土造,83年5月18日,016,五層
RPXOMLOJKHIFFBS76CA,19,59.62,共有部份,鋼筋混凝土造,83年5月18日,016,
RPOPMLPJKHIFFBS68CA,16,83.15,住家用,鋼筋混凝土造,85年11月30日,019,十五層
RPOPMLPJKHIFFBS68CA,16,24.15,共有部份,鋼筋混凝土造,85年11月30日,019,
RPUOMLPJKHIFFBS56CA,1,61.00,見其他登記事項,鋼筋混凝土造,101年5月15日,015,十五層
RPUOMLPJKHIFFBS56CA,1,44.46,共有部份,鋼筋混凝土造,101年5月15日,015,
RPXNMLQJKHIFFBS86CA,34,119.60,住商用,鋼筋混凝土造,68年6月14日,003,一層 二層 三層
RPPOMLPJKHIFFBS68CA,1,71.23,見其他登記事項,鋼筋混凝土造,101年5月15日,015,三層
RPPOMLPJKHIFFBS68CA,1,49.82,共有部份,鋼筋混凝土造,101年5月15日,015,
RPQNMLSJKHIFFBS98CA,2,253.81,見其他登記事項,鋼筋混凝土造,99年12月1日,004,一層 二層 三層 四層 屋頂突出物
RPXOMLTKKHIFFBS37CA,31,82.90,住家用,鋼筋混凝土造,70年10月24日,005,三層
RPVOMLTKKHIFFBS17CA,23,117.01,住家用,鋼筋混凝土造,79年2月20日,012,十層
RPVOMLTKKHIFFBS17CA,23,22.26,共有部份,鋼筋混凝土造,79年2月20日,012,
RPTOMLKLKHIFFBS78CA,1,85.16,見其他登記事項,鋼筋混凝土造,100年11月1日,015,七層
RPTOMLKLKHIFFBS78CA,1,56.57,共有部份,鋼筋混凝土造,100年12月5日,015,
RPPNMLOJKHIFFCS58CA,18,146.77,住家用,鋼筋混凝土造,84年7月18日,003,二層 三層 一層
RPTPMLLLKHIFFBS98CA,1,289.89,見其他登記事項,鋼筋混凝土造,101年3月10日,003,一層 二層 三層 屋頂突出物
RPPPMLMLKHIFFBS68CA,31,69.40,住家用,鋼筋混凝土造,70年12月2日,005,一層
RPWNMLQLKHIFFBS96CA,1,267.33,見其他登記事項,鋼筋混凝土造,100年12月1日,004,一層 二層 三層 四層 屋頂突出物
RPSNMLOJKHIFFDS98CA,23,208.40,住家用,鋼筋混凝土造,79年4月28日,003,一層 二層 三層 屋頂突出物 夾層
RPQPMLRJKHIFFDS66CA,1,278.70,見其他登記事項,鋼筋混凝土造,101年5月28日,003,一層 二層 三層
RPSPMLRJKHIFFDS86CA,1,284.01,見其他登記事項,鋼筋混凝土造,101年5月28日,003,一層 二層 三層
RPXOMLRJKHIFFDS27CA,1,284.87,見其他登記事項,鋼筋混凝土造,101年5月28日,003,二層 一層 三層
RPUPMLRJKHIFFDS07CA,1,286.38,見其他登記事項,鋼筋混凝土造,101年5月28日,003,一層 二層 三層
RPTPMLRJKHIFFDS96CA,1,293.05,見其他登記事項,鋼筋混凝土造,101年5月28日,003,一層 二層 三層
RPPNMLSKKHIFFDS56CA,15,84.43,住家用,鋼筋混凝土造,87年4月7日,006,二層
RPPNMLSKKHIFFDS56CA,15,20.68,見使用執照,鋼筋混凝土造,87年4月7日,006,
RPTNMLOJKHIFFES56CA,,214.81,住家用,鋼筋混凝土造,101年8月6日,004,一層 二層 三層 四層 見其他登記事項
RPPNMLRJKHIFFDS98CA,18,240.15,住家用,鋼筋混凝土造,83年6月23日,015,一層 二層 騎樓
RPPNMLRJKHIFFDS98CA,18,65.31,住家用,鋼筋混凝土造,83年6月23日,015,
RPRNMLPJKHIFFES09CA,19,169.24,住家用,鋼筋混凝土造,82年9月29日,004,一層 二層 三層 四層
RPTOMLQJKHIFFDS76CA,6,211.91,住家用,鋼筋混凝土造,95年10月17日,004,一層 二層 三層 四層
RPSOMLOLKHIFFDS66CA,1,169.44,見其他登記事項,鋼筋混凝土造,101年7月9日,004,一層 二層 三層 四層
RPROMLOLKHIFFDS56CA,1,271.85,見其他登記事項,鋼筋混凝土造,101年7月9日,004,一層 二層 三層 四層 見其他登記事項
RPUNMLSJKHIFFES07CA,21,210.09,住商用,鋼筋混凝土造,81年4月22日,004,一層 二層 三層 四層 騎樓
RPPNMLSKKHIFFFS76CA,1,173.97,住家用,鋼筋混凝土造,101年4月19日,003,見其他登記事項
RPPNMLQLKHIFFES56CA,1,237.26,見其他登記事項,見其他登記事項,101年4月13日,004,四層 見其他登記事項 一層 二層 三層
RPRNMLQJKHIFFFS66CA,16,152.35,見其他登記事項,鋼筋混凝土造,85年11月7日,004,一層 二層 三層 四層
RPRNMLOJKHIFFGS56CA,19,163.64,住商用,鋼筋混凝土造,83年6月21日,017,一層 二層 三層 騎樓
RPRNMLOJKHIFFGS56CA,19,16.37,共有部份,鋼筋混凝土造,83年6月21日,017,
RPWNMLOJKHIFFGS07CA,22,92.54,住家用,鋼筋混凝土造,79年9月3日,003,一層 二層 三層
RPPNMLOJKHIFFGS98CA,22,212.31,住家用,鋼筋混凝土造,79年10月11日,004,一層 二層 三層 四層 屋頂突出物
RPROMLRJKHIFFGS96CA,19,85.20,住家用,鋼筋混凝土造,82年12月9日,006,五層
RPROMLRJKHIFFGS96CA,19,17.72,共有部份,鋼筋混凝土造,82年12月9日,006,
RPVNMLQLKHIFFGS37CA,,169.44,見其他登記事項,鋼筋混凝土造,101年9月25日,003,一層 二層 三層 屋頂突出物
RPWNMLLJKHIFFAE47DA,33,19.80,,鋼筋混凝土造,69年6月18日,十二層,九層
RPWNMLLJKHIFFAE47DA,25,9.90,,鋼筋混凝土造,76年10月23日,四層,一層 二層 三層 四層 騎樓
RPXPMLPJKHIFFAE18DA,42,92.52,,加強磚造,60年5月26日,三層,一層 二層 三層
RPOPMLOJKHIFFAE17DA,7,90.70,住家用,鋼筋混凝土造,94年11月29日,十五層,五層
RPOPMLOJKHIFFAE17DA,7,39.00,共有部分,鋼筋混凝土造,94年11月29日,十五層,
RPQQMLPJKHIFFAE57DA,18,70.90,住家用,鋼筋混凝土造,84年6月19日,十二層,六層
RPQQMLPJKHIFFAE57DA,18,15.96,見使用執照,鋼筋混凝土造,84年6月19日,十二層,
RPPNMLRJKHIFFBE47DA,18,20.72,住家用,鋼筋混凝土造,83年10月5日,十二層,七層
RPTPMLSJKHIFFAE08DA,7,83.92,住家用,鋼筋混凝土造,94年12月22日,十四層,十層
RPTPMLSJKHIFFAE08DA,7,46.92,共有部分,鋼筋混凝土造,94年12月22日,十四層,
RPXPMLLJKHIFFEE18DA,19,20.72,住家用,鋼筋混凝土造,83年5月30日,十六層,十層
RPXPMLLJKHIFFEE18DA,19,7.84,見使用執照,鋼筋混凝土造,83年5月30日,十六層,
RPPQMLRJKHIFFBE77DA,33,72.33,,鋼筋混凝土造,69年3月13日,十二層,二層
RPVOMLRJKHIFFDE38DA,18,114.80,住家用,鋼筋混凝土造,84年5月11日,二十三層,二十一層 電梯樓梯間
RPVOMLRJKHIFFDE38DA,18,34.60,見使用執照,鋼筋混凝土造,84年5月11日,二十三層,
RPVOMLRJKHIFFDE38DA,18,13.53,見使用執照,鋼筋混凝土造,84年5月11日,二十三層,
RPRPMLPJKHIFFEE97DA,22,88.78,住家用,鋼筋混凝土造,80年5月27日,七層,五層
RPRPMLPJKHIFFEE97DA,22,41.50,見使用執照,鋼筋混凝土造,80年5月27日,七層,
RPSOMLSKKHIFFBE08DA,29,280.02,,鋼筋混凝土造,73年4月11日,五層,一層 二層 三層 四層 五層 騎樓
RPSOMLSKKHIFFBE08DA,29,1.62,見使用執照,鋼筋混凝土造,73年4月11日,000,
RPTQMLPJKHIFFEE28DA,7,98.90,住家用,鋼筋混凝土造,95年3月6日,十五層,十三層
RPTQMLPJKHIFFEE28DA,7,66.01,見其它登記事項,鋼筋混凝土造,95年3月6日,十五層,
RPPOMLQJKHIFFEE77DA,20,74.22,住家用,鋼筋混凝土造,82年3月11日,十三層,十層
RPPOMLQJKHIFFEE77DA,20,16.03,見使用執照,鋼筋混凝土造,82年3月11日,十三層,
RPTNMLMJKHIFFAS68DA,18,150.61,住家用,鋼筋混凝土造,84年1月25日,004,
RPTPMLRJKHIFFEE38DA,20,90.40,住家用,鋼筋混凝土造,81年10月27日,十二層,十一層
RPTPMLRJKHIFFEE38DA,20,23.48,見使用執照,鋼筋混凝土造,81年10月27日,十二層,
RPUQMLOJKHIFFBS76DA,17,84.11,住家用,鋼筋混凝土造,84年7月12日,012,八層
RPUQMLOJKHIFFBS76DA,17,18.52,共有部份,鋼筋混凝土造,84年7月12日,012,
RPOQMLQJKHIFFEE87DA,10,61.23,住家用,見其它登記事項,91年9月30日,十四層,三層
RPOQMLQJKHIFFEE87DA,10,50.21,見使用執照,見使用執照,91年9月30日,十四層,
RPPNMLOJLHIFFAS68EA,27,130.03,住家用,鋼筋混凝土造,74年7月20日,005,一層 騎樓
