編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLPJKHIFFAM97CA,福助段,87.57,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLPJKHIFFAM38CA,南松嶺段,2383.03,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLRJKHIFFAM08CA,內轆段,110.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRJKHIFFAM08CA,內轆段,27.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLSJKHIFFAM28CA,新豐段,9.66,都市：商
RPPOMLSJKHIFFAM28CA,新豐段,.44,都市：商
RPPOMLSJKHIFFAM28CA,新豐段,1.08,都市：商
RPPOMLSJKHIFFAM28CA,新豐段,1.36,都市：商
RPPOMLSJKHIFFAM28CA,新豐段,75.66,都市：商
RPTOMLLLKHIFFAM18CA,包尾段,21.36,都市：住
RPRNMLPJKHIFFAM08CA,三塊厝段,81.00,都市：住
RPRNMLPJKHIFFAM08CA,三塊厝段,3.00,都市：住
RPQNMLRJKHIFFAM18CA,福溪段,93.43,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLKLKHIFFAM18CA,牛運堀段,129.00,都市：住
RPROMLOJKHIFFAM08CA,東仁段,584.35,非都市：特定農業區 ; 非都市編定：農牧用地
RPROMLOJKHIFFAM08CA,東仁段,685.62,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLOJKHIFFAM48CA,福興段,187.26,都市：住
RPTNMLRJKHIFFBM58CA,新僑光段,1016.01,非都市：特定農業區 ; 非都市編定：農牧用地
RPROMLMLKHIFFBM18CA,北投埔段,2830.00,都市：農
RPTNMLRJKHIFFCM68CA,大雁段,9961.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPXNMLMLKHIFFBM68CA,新光段,109.00,都市：農
RPXNMLMLKHIFFBM68CA,新光段,1362.00,都市：農
RPRNMLRJKHIFFCM48CA,牛尾段,2175.16,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQOMLQJKHIFFBM28CA,新永安段,3464.06,都市：農
RPSNMLPJKHIFFBM28CA,中興段,85.00,非都市： ; 非都市編定：
RPSNMLRJKHIFFCM58CA,大雁段,3790.00,非都市：山坡地保育區 ; 非都市編定：林業用地
