編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPTOMLMJNHIFFDA77DC,坡道平面,0,42.90
RPOPMLMJNHIFFDA27CC,升降機械,0,7.01
RPQPMLMJNHIFFDA47CC,升降機械,0,7.01
RPSOMLMJNHIFFBA37CC,升降機械,0,9.93
RPWOMLMJNHIFFEA08CC,坡道平面,0,
RPQQMLMJNHIFFEA67CC,其他,0,39.73
RPSOMLNJNHIFFCA57CC,坡道平面,0,29.68
RPWOMLNJNHIFFCA97CC,坡道平面,0,38.58
RPXOMLNJNHIFFCA08CC,坡道平面,0,36.68
RPVNMLNJNHIFFEA97CC,坡道平面,0,
RPSOMLNJNHIFFEA77CC,坡道平面,0,48.76
RPOQMLRJNHIFFCA77CC,升降平面,0,24.77
RPOVMLRJNHIFFCA28CC,升降平面,0,
RPUVMLRJNHIFFCA88CC,坡道平面,3000,36.52
RPPNMLSJNHIFFCA67CC,坡道平面,0,30.82
RPUTMLRJNHIFFCA68CC,坡道平面,0,19.85
RPUTMLRJNHIFFCA68CC,坡道平面,0,19.85
RPUTMLRJNHIFFCA68CC,坡道平面,0,19.85
RPVQMLTJNHIFFCA68CC,坡道平面,0,
RPQRMLTJNHIFFCA28CC,坡道平面,0,33.29
RPPSMLTJNHIFFCA28CC,坡道平面,0,
RPRRMLTJNHIFFCA38CC,坡道平面,0,39.18
RPOPMLTJNHIFFEA08CC,坡道平面,0,37.99
RPQPMLTJNHIFFDA18CC,坡道平面,0,
RPUOMLKKNHIFFEA77CC,坡道平面,0,44.97
RPOQMLKKNHIFFCA17CC,坡道平面,0,
RPOQMLKKNHIFFCA17CC,坡道平面,0,
RPOQMLKKNHIFFCA17CC,坡道平面,0,
RPPRMLNKNHIFFDA77CC,坡道平面,0,34.40
RPSNMLNKNHIFFEA77CC,坡道平面,0,28.98
RPSPMLKKNHIFFDA57CC,坡道機械,0,
RPWOMLNKNHIFFCA08CC,坡道平面,0,33.76
RPWOMLNKNHIFFCA08CC,坡道平面,0,33.76
RPROMLNKNHIFFFA87CC,坡道平面,0,38.90
RPUNMLOKNHIFFFA18CC,坡道平面,0,
RPROMLOKNHIFFCA67CC,坡道平面,0,31.51
RPVPMLOKNHIFFCA18CC,坡道平面,0,
RPVPMLOKNHIFFCA18CC,坡道平面,0,30.52
RPSSMLOKNHIFFCA18CC,坡道平面,5560,34.79
RPTSMLOKNHIFFCA28CC,坡道平面,0,
RPPOMLOKNHIFFBA37CC,升降平面,0,
RPUNMLOKNHIFFDA97CC,坡道平面,0,34.50
RPXPMLOKNHIFFCA38CC,坡道平面,0,
RPSOMLPKNHIFFCA87CC,坡道平面,0,14.14
RPSOMLPKNHIFFCA87CC,坡道平面,0,14.14
RPSOMLPKNHIFFCA87CC,坡道平面,0,14.14
RPTOMLPKNHIFFCA97CC,坡道平面,0,42.41
RPVOMLPKNHIFFCA18CC,坡道平面,0,36.40
RPUOMLQKNHIFFFA48CC,坡道平面,0,
RPUPMLQKNHIFFDA38CC,坡道平面,0,43.40
RPWNMLRKNHIFFDA48CC,坡道平面,0,38.18
RPVPMLRKNHIFFEA68CC,坡道平面,6000,
RPUNMLTKNHIFFAA18CC,坡道平面,0,32.44
RPOQMLRKNHIFFBA77CC,坡道平面,0,
RPROMLLLNHIFFFA77CC,升降平面,0,
RPOQMLLLNHIFFDA47CC,坡道平面,0,33.67
RPQQMLLLNHIFFCA57CC,坡道平面,0,
RPQQMLLLNHIFFCA57CC,坡道平面,0,
RPQQMLLLNHIFFCA57CC,坡道平面,0,
RPOSMLLLNHIFFCA57CC,坡道平面,0,30.27
RPUPMLMLNHIFFDA08CC,坡道平面,0,
RPUPMLMLNHIFFDA08CC,坡道平面,0,
RPXPMLMLNHIFFDA38CC,坡道平面,0,
RPUPMLLLNHIFFDA97CC,坡道平面,0,38.02
RPVOMLMLNHIFFFA28CC,坡道平面,0,
RPVOMLMLNHIFFFA28CC,坡道平面,0,
RPUQMLMLNHIFFCA08CC,坡道平面,0,
RPWOMLNLNHIFFEA48DC,坡道機械,0,30.58
RPTOMLNLNHIFFDA97CC,坡道平面,0,
RPUOMLNLNHIFFDA08CC,坡道平面,0,
RPXNMLNLNHIFFEA38CC,升降平面,0,28.34
RPVOMLNLNHIFFEA28CC,坡道平面,0,28.51
RPORMLNLNHIFFCA67CC,坡道平面,0,
RPTQMLNLNHIFFCA08CC,坡道平面,0,40.86
RPTQMLNLNHIFFCA08CC,坡道平面,0,40.86
RPXOMLRLNHIFFCA68CC,坡道平面,0,13.97
RPWOMLSLNHIFFFA98CC,坡道平面,0,
RPSNMLSLNHIFFDA28CC,升降平面,0,21.86
RPSQMLSLNHIFFDA58CC,坡道平面,0,
RPXQMLSLNHIFFEA56CC,坡道平面,0,41.57
RPSQMLSLNHIFFEA68CC,坡道平面,0,
RPUNMLSLNHIFFCA38CC,坡道平面,3000,33.16
RPUNMLSLNHIFFCA38CC,坡道平面,3000,33.16
RPUNMLSLNHIFFCA38CC,坡道平面,3000,33.16
RPUNMLSLNHIFFCA38CC,坡道平面,3000,33.16
RPOOMLSLNHIFFCA87CC,坡道平面,0,34.41
RPXNMLRLNHIFFEA78CC,坡道平面,0,79.14
RPXNMLRLNHIFFEA78CC,其他,0,9.89
RPSRMLSLNHIFFCA58CC,坡道平面,0,96.85
RPVSMLTLNHIFFCA09CC,坡道平面,0,12.97
RPPNMLPLNHIFFEA77CC,坡道平面,0,30.41
RPQPMLTLNHIFFDA38CC,坡道平面,0,40.60
RPWNMLKMNHIFFEA08CC,坡道平面,0,25.72
RPQQMLKMNHIFFBA47CC,坡道平面,0,41.43
RPXQMLLMNHIFFCA38CC,坡道平面,0,
RPXQMLLMNHIFFCA38CC,坡道平面,0,
RPXQMLLMNHIFFCA38CC,坡道平面,0,
RPPRMLLMNHIFFCA67CC,坡道平面,0,
RPXOMLLMNHIFFEA38CC,坡道平面,0,29.38
RPUPMLLMNHIFFEA18CC,坡道平面,4999,15.09
RPROMLLMNHIFFBA47CC,坡道平面,5000,41.77
RPQNMLLMNHIFFDA47CC,坡道平面,0,38.18
RPPSMLLMNHIFFCA77CC,坡道平面,0,
RPPOMLLMNHIFFFA67CC,坡道平面,0,
RPXPMLNJOHIFFCA28CC,坡道平面,0,33.14
RPXPMLNJOHIFFCA28CC,坡道平面,0,28.90
RPXPMLNJOHIFFCA28CC,坡道平面,0,33.14
RPPQMLOJOHIFFCA67CC,坡道平面,3000,32.25
RPPQMLOJOHIFFCA67CC,坡道平面,3000,32.25
RPSNMLPJOHIFFCA77CC,坡道平面,0,
RPUOMLPJOHIFFAA87CC,坡道機械,0,22.49
RPVSMLPJOHIFFCA58CC,坡道平面,0,29.45
RPVSMLPJOHIFFCA58CC,坡道平面,0,34.98
RPQRMLPJOHIFFCA97CC,坡道平面,3000,29.73
RPQRMLPJOHIFFCA97CC,坡道平面,3000,29.73
RPQRMLPJOHIFFCA97CC,坡道平面,3000,29.73
RPWSMLPJOHIFFCA68CC,坡道平面,0,
RPWSMLPJOHIFFCA68CC,坡道平面,0,
RPWNMLPJOHIFFEA38CC,坡道平面,0,106.74
RPVNMLQJOHIFFCA18CC,坡道平面,3000,42.41
RPTNMLSJOHIFFEA38CC,坡道平面,5655,14.12
RPQNMLSJOHIFFAA67CC,坡道機械,0,14.45
RPRNMLSJOHIFFDA08CC,坡道平面,0,43.60
RPUPMLKKOHIFFCA77CC,坡道機械,0,
RPWRMLKKOHIFFCA18CC,坡道平面,3000,
RPWRMLKKOHIFFCA18CC,坡道平面,3000,
RPWRMLKKOHIFFCA18CC,坡道平面,3000,
RPWRMLKKOHIFFCA18CC,坡道平面,3000,
RPUNMLLKOHIFFFA97CC,坡道機械,0,15.78
RPTPMLLKOHIFFFA18DC,坡道平面,0,
RPSPMLLKOHIFFEA87CC,坡道平面,0,33.44
RPQOMLNKOHIFFCA57CC,坡道平面,3500,12.00
RPRTMLNKOHIFFCA18CC,坡道平面,6000,29.45
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.83
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.83
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.83
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.59
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.59
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.59
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.83
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.83
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.59
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.59
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.59
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.59
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.59
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.59
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.59
RPTTMLNKOHIFFCA38CC,坡道平面,0,35.59
RPOOMLNKOHIFFBA27CC,坡道平面,9450,
RPOOMLNKOHIFFBA27CC,坡道平面,9450,
RPXOMLNKOHIFFEA48CC,坡道平面,0,15.60
RPUNMLOKOHIFFEA18CC,坡道機械,0,15.30
RPUNMLOKOHIFFEA18CC,坡道機械,0,15.30
RPQOMLOKOHIFFCA67CC,坡道平面,0,24.33
RPROMLOKOHIFFCA77CC,坡道平面,0,28.29
RPQNMLRKOHIFFCA87CC,坡道平面,0,71.03
RPQPMLRKOHIFFCA08CC,坡道平面,0,33.05
RPVRMLRKOHIFFCA78CC,坡道平面,3500,31.95
RPPRMLSKOHIFFCA28CC,坡道平面,0,
RPXNMLSKOHIFFDA78CC,坡道平面,4800,11.68
RPXQMLSKOHIFFCA98CC,坡道平面,0,
RPXQMLSKOHIFFCA98CC,坡道平面,0,
RPWNMLSKOHIFFDA68CC,坡道平面,0,41.88
RPOOMLSKOHIFFDA97CC,坡道平面,0,36.43
RPXOMLSKOHIFFCA88DC,坡道平面,0,
RPXOMLSKOHIFFCA88DC,坡道平面,0,
RPXNMLSKOHIFFEA88CC,坡道平面,0,51.44
RPVNMLSKOHIFFEA68CC,坡道平面,0,69.02
RPVPMLSKOHIFFEA88CC,坡道平面,0,34.46
RPRPMLTKOHIFFFA68CC,升降機械,0,
RPXNMLTKOHIFFEA09DC,坡道平面,0,
