編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPWNMLRLJIIFFAA87CB,升降機械,0,11.99
RPXNMLRLJIIFFAA97CB,升降機械,0,11.99
RPOOMLRLJIIFFAA17CB,升降機械,0,11.99
RPQOMLRLJIIFFAA37CB,升降機械,0,11.99
RPWQMLPLJIIFFCA28DB,升降機械,1500000,2.45
RPWQMLPLJIIFFCA28DB,升降機械,1500000,2.45
RPSOMLRLJIIFFAA57CB,升降機械,0,11.99
RPUOMLRLJIIFFAA77CB,升降機械,0,11.99
RPQPMLMJKIIFFAA86CB,坡道機械,0,
RPVOMLRLJIIFFAA87CB,升降機械,0,11.99
RPTOMLRLJIIFFAA67CB,升降機械,0,11.99
RPTPMLMJKIIFFAA17CB,坡道機械,0,
RPUPMLMJKIIFFAA27CB,坡道機械,0,
RPRPMLMJKIIFFAA96CB,坡道平面,0,
RPROMLRLJIIFFAA47CB,升降機械,0,11.99
RPPPMLMJKIIFFAA76CB,坡道機械,2000000,27.48
RPSPMLMJKIIFFAA07CB,坡道機械,0,
RPWPMLMJKIIFFAA47CB,坡道機械,0,
RPSRMLNLKIIFFEA97CB,坡道平面,2500000,39.69
RPSRMLNLKIIFFEA97CB,坡道平面,2500000,39.69
RPURMLNLKIIFFEA18CB,坡道平面,2700000,39.69
RPQRMLNLKIIFFEA77CB,坡道平面,2600000,39.69
RPXPMLMJKIIFFAA57CB,坡道平面,0,
RPVRMLNLKIIFFEA28CB,坡道平面,2700000,39.69
RPVRMLNLKIIFFEA28CB,坡道平面,2700000,39.69
RPTRMLNLKIIFFEA08CB,坡道平面,2750000,39.69
RPTRMLNLKIIFFEA08CB,坡道平面,2750000,39.69
RPPSMLNLKIIFFEA77CB,坡道平面,2400000,39.69
RPOSMLNLKIIFFEA67CB,坡道平面,2800000,39.69
RPOSMLNLKIIFFEA67CB,坡道平面,2950000,39.69
RPXRMLNLKIIFFEA48CB,坡道平面,2400000,39.69
RPXRMLNLKIIFFEA48CB,坡道平面,2400000,39.69
RPWRMLNLKIIFFEA38CB,坡道平面,2650000,39.69
RPWRMLNLKIIFFEA38CB,坡道平面,2650000,39.69
RPSSMLNLKIIFFEA08CB,坡道平面,2500000,39.69
RPSSMLNLKIIFFEA08CB,坡道平面,2500000,39.69
RPUSMLNLKIIFFEA28CB,坡道平面,2600000,39.69
RPQSMLNLKIIFFEA87CB,坡道平面,2500000,39.69
RPQSMLNLKIIFFEA87CB,坡道平面,2500000,39.69
RPTSMLNLKIIFFEA18CB,坡道平面,2500000,39.69
RPVSMLNLKIIFFEA38CB,坡道平面,2650000,39.69
RPVSMLNLKIIFFEA38CB,坡道平面,2650000,39.69
RPRSMLNLKIIFFEA97CB,坡道平面,2750000,39.69
RPWSMLNLKIIFFEA48CB,坡道平面,2500000,39.69
RPWSMLNLKIIFFEA48CB,坡道平面,2500000,39.69
RPPOMLPLKIIFFEA57CB,坡道平面,2800000,56.86
RPROMLPLKIIFFEA77CB,坡道機械,2000000,28.43
RPOOMLPLKIIFFEA47CB,坡道機械,1700000,28.43
RPWNMLPLKIIFFEA18CB,坡道機械,2000000,28.43
RPTOMLPLKIIFFEA97CB,坡道機械,2000000,28.43
RPRRMLNLKIIFFEA87CB,坡道平面,3100000,39.69
RPRRMLNLKIIFFEA87CB,坡道平面,3050000,39.69
RPSOMLPLKIIFFEA87CB,坡道機械,2000000,28.43
RPPPMLPLKIIFFEA67CB,坡道機械,2000000,28.43
RPXOMLPLKIIFFEA38CB,坡道機械,2000000,28.43
RPQPMLMJJHJFFCA96CB,升降機械,2200000,15.77
RPSPMLMJJHJFFCA17CB,升降機械,1500000,15.77
RPQQMLPLKIIFFEA87CB,坡道機械,1700000,28.43
RPUOMLPLKIIFFEA08CB,坡道機械,2000000,28.43
RPVOMLPLKIIFFEA18CB,坡道機械,1700000,28.43
RPVPMLMJJHJFFCA47CB,升降機械,200,15.77
RPUPMLMJJHJFFCA37CB,升降機械,1500000,15.77
RPXPMLMJJHJFFCA67CB,升降機械,2350000,15.77
RPOQMLMJJHJFFCA86CB,升降機械,2350000,15.77
RPWPMLMJJHJFFCA57CB,升降機械,2350000,15.77
RPSQMLMJJHJFFCA27CB,升降機械,1100000,15.77
RPTQMLMJJHJFFCA37CB,升降機械,160,15.77
RPTPMLMJJHJFFCA27CB,升降機械,920000,15.77
RPRQMLMJJHJFFCA17CB,升降機械,2100000,15.77
RPPQMLMJJHJFFCA96CB,升降機械,1000000,15.77
RPQQMLMJJHJFFCA07CB,升降機械,2170000,15.77
RPQQMLTLJHJFFAA77CB,升降機械,1900000,13.60
RPPQMLTLJHJFFAA67CB,升降機械,1800000,13.60
RPRQMLTLJHJFFAA87CB,升降機械,1900000,13.60
