編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLPJJIIFFBJ38CA,東華段,93.13,都市：住
RPQNMLSJJIIFFBJ08CA,莊敬段,662.91,都市：住
RPQNMLSJJIIFFBJ08CA,莊敬段,884.02,都市：住
RPUTMLLKJIIFFBJ48CA,麻園段,54.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUTMLLKJIIFFBJ48CA,麻園段,139.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXRMLRJJIIFFBJ09CA,社北段,122.28,都市：住
RPXRMLRJJIIFFBJ09CA,社北段,4.80,都市：住
RPPTMLLKJIIFFBJ97CA,翰林段,37.35,都市：住
RPTNMLSJJIIFFBJ38CA,世興段,40.54,都市：商
RPPNMLOKJIIFFBJ67CA,翰林段,4.55,都市：住
RPUNMLMKJIIFFBJ97CA,公園段,19.76,都市：商
RPQOMLRJJIIFFBJ08CA,東華段,18.97,都市：住
RPPPMLOJJIIFFBJ77CA,莊敬段,25.86,都市：商
RPOOMLOJJIIFFCJ67CA,中坑段赤柯寮小段,72.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVQMLLKJIIFFBJ28CA,隘興段,20.15,都市：住
RPUOMLNKJIIFFBJ18CA,隘興段,45.98,都市：住
RPRNMLPJJIIFFCJ97CA,軟橋段,360.10,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLPJJIIFFCJ97CA,軟橋段,360.11,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLPJJIIFFCJ97CA,軟橋段,360.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLPJJIIFFCJ97CA,軟橋段,360.10,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLPJJIIFFCJ97CA,軟橋段,360.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLPJJIIFFCJ97CA,軟橋段,299.99,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLPJJIIFFCJ97CA,軟橋段,300.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLPJJIIFFCJ97CA,軟橋段,300.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLPJJIIFFCJ97CA,軟橋段,300.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLPJJIIFFCJ97CA,軟橋段,300.10,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLPJJIIFFCJ97CA,軟橋段,300.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
