編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLNKKHJFFDK08CA,合興段,55.78,都市：住
RPQNMLNKKHJFFDK08CA,合興段,14.11,都市：其他
RPQNMLNKKHJFFDK08CA,合興段,.10,都市：其他
RPQNMLNKKHJFFDK08CA,合興段,.52,都市：其他
RPQNMLNKKHJFFDK08CA,合興段,2.30,都市：住
RPQNMLNKKHJFFDK08CA,合興段,.05,都市：其他
RPQNMLNKKHJFFDK08CA,合興段,10.05,都市：住
RPQNMLNKKHJFFDK08CA,合興段,6.00,都市：其他
RPQNMLNKKHJFFDK08CA,合興段,8.19,都市：其他
RPQNMLNKKHJFFDK08CA,合興段,.34,都市：其他
RPUNMLOLKHJFFCK58CA,藍田段,991.57,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLLKKHJFFDK28CA,中正段,10.39,都市：其他
RPUNMLLKKHJFFDK28CA,文化段,61.85,都市：其他
RPSNMLLKKHJFFDK08CA,竹南段一小段,21.90,都市：其他
RPQNMLRJKHJFFDK38CA,大山腳段,5.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLLKKHJFFDK48CA,竹南段三小段,22.90,都市：其他
RPQNMLRJKHJFFDK38CA,大山腳段,222.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLLKKHJFFDK48CA,龍鳳段,61.65,都市：其他
RPQNMLRJKHJFFDK38CA,大山腳段,47.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLLKKHJFFDK48CA,竹興段,67.21,都市：其他
RPQNMLRJKHJFFDK38CA,大山腳段,8.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLLKKHJFFDK48CA,仁德段,307.84,都市：其他
RPQNMLRJKHJFFDK38CA,大山腳段,59.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLRJKHJFFDK38CA,大山腳段,1.00,非都市：特定農業區 ; 非都市編定：國土保安用地
RPXNMLPJKHJFFFK09CA,銅鑼圈段大銅鑼圈小段,1629.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLPJKHJFFFK09CA,銅鑼圈段大銅鑼圈小段,262.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLOKKHJFFAK87CA,苗豐段,41.21,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLOKKHJFFAK87CA,苗豐段,59.57,都市：農
RPRNMLNKKHJFFDK18CA,龍鳳段,6.53,都市：其他
RPRNMLNKKHJFFDK18CA,龍鳳段,41.00,都市：其他
RPRNMLNKKHJFFDK18CA,龍鳳段,89.00,都市：其他
RPRNMLNKKHJFFDK18CA,龍鳳段,217.00,都市：其他
RPPNMLRJKHJFFCK18CA,苑西段,83.99,都市：住
RPQNMLQJKHJFFEK38CA,天神段,432.47,非都市：特定農業區 ; 非都市編定：農牧用地
