編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLKKKHJFFAU38CA,慶豐段,448.00,都市：住
RPPOMLMKKHJFFAU68CA,民意段,163.00,都市：住
RPQNMLQJKHJFFBU09CA,水廣段,683.28,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLQJKHJFFBU98CA,阿托莫段,516.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLQJKHJFFBU98CA,阿托莫段,1536.43,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLQJKHJFFAU88CA,主權段,16.88,都市：商
RPUNMLKKKHJFFAU88CA,太昌段,79.00,都市：住
RPRNMLNKKHJFFAU09EA,仁恥段,2645.00,都市：農
RPRNMLNKKHJFFAU09EA,仁恥段,67.00,都市：農
RPRNMLQJKHJFFCU86EA,大里段,423.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLMKKHJFFCU98EA,立山段,2286.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLTJKHJFFAU56CA,富國段,4.76,都市：住
RPTQMLQJLHJFFAU07CA,福祥段,67.00,都市：住
RPRPMLPLKHJFFAU76CA,仁愛段,142.24,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXPMLQJKHJFFAU47EA,政明段,222.99,都市：住
RPUOMLMKKHJFFAU76EA,興海段,2225.12,都市：農
RPSOMLPJLHJFFAU86EA,嘉南段,8.34,都市：住
RPSOMLPJLHJFFAU86EA,嘉南段,1.05,都市：其他
RPUOMLPJLHJFFAU07EA,嘉南段,8.34,都市：住
RPUOMLPJLHJFFAU07EA,嘉南段,1.05,都市：其他
RPPNMLRJKHJFFCU56CA,瑞美段,56.57,都市：商
RPOQMLRKKHJFFAU66CA,主權段,24.22,都市：住
RPOQMLRKKHJFFAU66CA,德安段,.23,都市：住
RPPNMLLKKHJFFBU58CA,榮開段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLQLKHJFFAU96CA,忠孝段,4080.03,都市：農
RPRPMLKKKHJFFAU88DA,民德段,9.00,都市：其他
RPRPMLKKKHJFFAU88DA,民德段,6.00,都市：其他
RPOOMLKKLHJFFAU48CA,慈雲段,1133.26,都市：農
RPVNMLNKKHJFFAU66CA,吳全段,9.04,都市：農
RPSNMLMKKHJFFAU88CA,國光段,211.00,都市：住
RPTNMLQLKHJFFAU86CA,慈惠段,60.14,都市：住
RPSNMLNJLHJFFAU98CA,天佑段,85.51,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSPMLKKKHJFFAU88CA,民意段,330.00,都市：住
RPWNMLNKKHJFFAU76CA,南埔段,1940.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNKKHJFFAU76CA,南埔段,1333.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPPMLPLKHJFFAU56CA,吳全段,6009.15,都市：農
RPXNMLSKKHJFFAU57EA,民享段,396.00,都市：商
RPWNMLSKKHJFFAU27CA,民享段,6.54,都市：住
RPTNMLSKKHJFFAU96CA,仁恥段,72.00,都市：住
RPVNMLQLKHJFFAU07CA,北濱段,70.00,都市：住
RPVNMLQLKHJFFAU07CA,北濱段,11.00,都市：其他
