編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSSMLLJNHJFFBF28CC,坡道平面,0,
RPWNMLLJNHJFFBF18CC,坡道平面,0,15.35
RPOPMLLJNHJFFEF87CC,坡道平面,0,31.91
RPWOMLLJNHJFFEF58CC,坡道平面,0,31.91
RPWNMLLJNHJFFIF88CC,坡道平面,0,33.19
RPUNMLMJNHJFFHF68CC,坡道平面,0,31.09
RPSPMLMJNHJFFHF68CC,坡道平面,0,40.48
RPOQMLMJNHJFFHF38CC,升降機械,0,31.64
RPQNMLNJNHJFFBF77CC,坡道平面,0,15.85
RPUNMLQJNHJFFBF48CC,坡道平面,0,15.00
RPUQMLSJNHJFFBF98CC,坡道平面,0,21.72
RPUQMLSJNHJFFBF98CC,坡道平面,0,21.72
RPUQMLSJNHJFFBF98CC,坡道平面,0,18.56
RPSNMLKKNHJFFBF77CC,坡道平面,0,50.81
RPQNMLKKNHJFFBF57CC,坡道平面,0,23.18
RPPOMLKKNHJFFIF28CC,坡道平面,0,36.93
RPSOMLTJNHJFFDF09EC,坡道機械,0,
RPVNMLMKNHJFFDF48CC,坡道機械,0,
RPUOMLMKNHJFFDF48CC,坡道機械,0,
RPWOMLMKNHJFFCF58CC,坡道平面,0,48.13
RPQOMLNKNHJFFDF18CC,坡道平面,0,
RPQOMLNKNHJFFDF18CC,坡道平面,0,
RPPVMLNKNHJFFBF58CC,坡道平面,0,36.90
RPQOMLKKNHJFFIF38CC,坡道平面,0,38.03
RPWVMLNKNHJFFBF66CC,坡道平面,0,15.85
RPPQMLNKNHJFFHF68CC,坡道平面,0,
RPPQMLNKNHJFFHF68CC,坡道平面,0,
RPPQMLNKNHJFFHF68CC,坡道平面,0,
RPVSMLOKNHJFFBF98CC,坡道平面,0,11.68
RPVSMLOKNHJFFBF98CC,坡道平面,0,11.68
RPTWMLNKNHJFFBF09CC,坡道平面,0,17.08
RPSOMLOKNHJFFIF98CC,坡道平面,0,27.80
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPOOMLQKNHJFFHF68CC,坡道平面,3500,47.76
RPSPMLQKNHJFFEF98DC,坡道平面,0,34.42
RPOPMLQKNHJFFEF58DC,坡道機械,0,24.45
RPQNMLRKNHJFFBF28CC,坡道平面,0,19.43
RPVOMLRKNHJFFBF88CC,坡道平面,0,17.08
