編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPORMLOJQHJFFBF18CA,坡道平面,0,17.52
RPSNMLPJQHJFFBF28CA,坡道平面,0,32.43
RPOQMLPJQHJFFBF18CA,坡道平面,0,17.81
RPUNMLPJQHJFFBF48CA,坡道平面,0,
RPROMLQJQHJFFBF38CA,坡道平面,0,
RPRTMLRJQHJFFBF98CA,坡道平面,1750000,21.84
RPRTMLRJQHJFFBF98CA,坡道平面,1850000,21.84
RPVTMLRJQHJFFBF76CA,坡道平面,1350000,21.84
RPVTMLRJQHJFFBF76CA,坡道平面,1250000,21.84
RPOUMLRJQHJFFBF78CA,坡道平面,1150000,21.84
RPOUMLRJQHJFFBF78CA,坡道平面,1250000,21.84
RPRUMLRJQHJFFBF09CA,坡道平面,1400000,21.84
RPRUMLRJQHJFFBF09CA,坡道平面,1400000,21.84
RPSWMLRJQHJFFBF76CA,坡道平面,1450000,21.84
RPSWMLRJQHJFFBF76CA,坡道平面,1450000,21.84
RPVWMLRJQHJFFBF07CA,坡道平面,1350000,21.84
RPVWMLRJQHJFFBF07CA,坡道平面,1650000,21.84
RPVUMLRJQHJFFBF86CA,坡道平面,1350000,21.84
RPVUMLRJQHJFFBF86CA,坡道平面,1350000,21.84
RPOSMLSJQHJFFBF68CA,坡道平面,0,
RPVOMLLKQHJFFBF38CA,坡道平面,1800000,29.41
RPVOMLLKQHJFFBF38CA,坡道平面,1900000,31.38
RPTOMLLKQHJFFBF18CA,坡道平面,1800000,31.38
RPTOMLLKQHJFFBF18CA,坡道平面,1800000,31.38
RPQOMLLKQHJFFBF87CA,坡道平面,1900000,29.41
RPQOMLLKQHJFFBF87CA,坡道平面,2000000,31.38
RPXOMLLKQHJFFBF58CA,坡道平面,2000000,31.38
RPXOMLLKQHJFFBF58CA,坡道平面,2000000,31.38
RPORMLMKQHJFFBF08CA,坡道平面,0,
RPTTMLMKQHJFFBF78CA,坡道平面,1900000,31.38
RPTTMLMKQHJFFBF78CA,坡道平面,1900000,31.38
RPXNMLNKQHJFFBF68CA,坡道平面,1600000,33.79
RPXNMLNKQHJFFBF68CA,坡道平面,1600000,33.79
RPSTMLNKQHJFFBF78CA,坡道平面,2000000,37.08
RPTSMLNKQHJFFBF78CA,坡道平面,2290000,37.08
RPWWMLNKQHJFFBF86CA,坡道平面,2300000,29.20
RPOQMLKLQHJFFBF87CA,坡道平面,1250000,21.84
RPPQMLKLQHJFFBF97CA,坡道平面,1450000,21.84
RPPQMLKLQHJFFBF97CA,坡道平面,1350000,21.84
RPUQMLKLQHJFFBF48CA,坡道平面,1650000,21.84
RPUQMLKLQHJFFBF48CA,坡道平面,1650000,21.84
RPWQMLKLQHJFFBF68CA,坡道平面,1550000,21.84
RPWQMLKLQHJFFBF68CA,坡道平面,1550000,21.84
RPURMLKLQHJFFBF58CA,坡道平面,1650000,21.84
RPURMLKLQHJFFBF58CA,坡道平面,1550000,21.84
RPURMLKLQHJFFBF58CA,坡道平面,1650000,21.84
RPQSMLKLQHJFFBF28CA,坡道平面,1650000,21.84
RPQSMLKLQHJFFBF28CA,坡道平面,1650000,21.84
RPORMLKLQHJFFBF97CA,坡道平面,1550000,21.84
RPSNMLLLQHJFFAF97CA,升降機械,600000,14.36
RPSNMLLLQHJFFAF97CA,升降機械,600000,14.36
RPQRMLKLQHJFFBF18CA,坡道平面,1550000,21.84
RPQRMLKLQHJFFBF18CA,坡道平面,1650000,21.84
RPXSMLLJQHJFFBF88CA,坡道平面,0,26.57
RPRQMLMLQHJFFBF38CA,坡道平面,0,
RPSSMLKLQHJFFBF48CA,坡道平面,1250000,21.84
RPSSMLKLQHJFFBF48CA,坡道平面,1150000,21.84
RPOOMLOJQHJFFCF97CA,坡道平面,0,
RPPNMLSJQHJFFCF38CA,升降機械,0,
RPXOMLOJQHJFFDF98CA,坡道平面,0,
RPXOMLOJQHJFFDF98CA,坡道平面,0,
RPSQMLOJQHJFFEF78CA,坡道平面,0,
RPUNMLOJQHJFFEF68CA,坡道機械,0,6.96
RPRNMLLKRHJFFDF18CA,坡道機械,0,16.28
RPPOMLOKQHJFFEF38CA,坡道平面,0,24.23
RPVNMLMLQHJFFEF78CA,坡道平面,0,31.83
RPSNMLOJQHJFFGF68CA,坡道平面,0,35.80
RPSPMLKKRHJFFEF48CA,升降機械,0,20.75
RPPOMLQJQHJFFGF68CA,坡道平面,1500000,24.77
RPSNMLQJQHJFFGF88CA,坡道平面,1500000,24.77
RPROMLQJQHJFFGF88CA,坡道平面,2150000,24.77
RPQOMLQJQHJFFGF78CA,坡道平面,0,24.77
RPQOMLQJQHJFFGF78CA,坡道平面,0,24.77
RPOOMLQJQHJFFGF58CA,坡道平面,0,24.77
RPOOMLQJQHJFFGF58CA,坡道平面,0,24.77
RPQOMLSJQHJFFGF98CA,坡道機械,0,
RPVPMLOJQHJFFHF66CA,坡道平面,0,32.08
RPTNMLSKQHJFFHF76CA,塔式車位,0,5.55
RPPNMLKLQHJFFHF28CA,塔式車位,0,5.55
RPPNMLOKQHJFFIF68CA,坡道平面,0,33.28
RPSNMLRJQHJFFIF56CA,坡道平面,0,39.04
RPXPMLQKRHJFFHF27CA,坡道平面,1600000,29.74
RPTNMLKMQHJFFIF88CA,坡道平面,0,41.32
RPRNMLSKQHJFFIF66CA,坡道平面,0,23.71
RPSRMLPJQHJFFBF78DA,坡道平面,0,40.19
RPQQMLQJQHJFFBF58DA,坡道平面,0,40.64
RPQRMLRJQHJFFBF78DA,坡道平面,0,21.45
RPSRMLRJQHJFFBF98DA,坡道平面,0,
RPQPMLRJQHJFFDF78DA,坡道平面,0,38.36
RPTRMLRJQHJFFBF09DA,坡道平面,0,
RPTRMLRJQHJFFBF09DA,坡道平面,0,
RPXNMLLKQHJFFDF78DA,升降平面,0,
RPXPMLLKQHJFFDF98DA,坡道平面,0,
RPTNMLMKQHJFFAF28EA,坡道平面,0,30.06
RPXOMLOJQHJFFBF98EA,坡道平面,1250000,36.19
RPQPMLOJQHJFFBF38EA,坡道平面,1150000,32.90
RPWOMLOJQHJFFBF88EA,坡道平面,1350000,36.19
RPPPMLOJQHJFFBF28EA,坡道平面,1250000,36.19
RPVPMLOJQHJFFBF88EA,坡道平面,1250000,36.19
RPRPMLOJQHJFFBF48EA,坡道平面,1250000,36.19
RPUPMLOJQHJFFBF78EA,坡道平面,1150000,32.90
RPSPMLOJQHJFFBF58EA,坡道平面,1300000,32.90
RPWPMLOJQHJFFBF98EA,坡道平面,1250000,36.19
RPOOMLLKRHJFFDF18EA,坡道平面,1100000,
RPTOMLTJRHJFFEF86EA,坡道平面,0,56.98
RPOPMLKKRHJFFHF58EA,坡道平面,0,19.87
RPOPMLKKRHJFFHF58EA,坡道平面,0,19.87
TPOPMLKKRHJFFHF78EA,坡道平面,2600000,19.87
RPXOMLPJRHJFFEF86EA,坡道平面,1215000,34.83
SPOPMLKKRHJFFHF68EA,坡道平面,0,19.87
SPOPMLKKRHJFFHF68EA,坡道平面,0,19.87
SPOPMLKKRHJFFHF68EA,坡道平面,0,19.87
SPOPMLKKRHJFFHF68EA,坡道平面,0,19.87
SPOPMLKKRHJFFHF68EA,坡道平面,0,19.87
RPWNMLQJQHJFFGF86EA,坡道平面,0,41.72
RPVQMLNKQHJFFEF66EA,坡道平面,0,40.59
RPPQMLNJRHJFFAF28EA,坡道平面,0,24.02
RPXOMLPJQHJFFGF86DA,坡道平面,0,28.27
RPRNMLTJQHJFFEF98DA,坡道平面,0,40.59
RPOPMLPKQHJFFDF48DA,坡道平面,0,29.56
RPTRMLPJQHJFFEF56DA,坡道平面,0,35.93
RPTRMLPJQHJFFEF56DA,坡道平面,0,35.93
RPRPMLQJQHJFFBF58DA,坡道平面,0,
RPUNMLRJQHJFFIF76CA,坡道機械,0,18.89
RPRNMLSJQHJFFIF56CA,坡道機械,0,24.36
RPRNMLSJQHJFFIF56CA,坡道機械,0,24.36
RPOOMLSLQHJFFHF09CA,升降機械,0,22.70
RPOQMLPKQHJFFHF88CA,坡道平面,0,32.20
RPVOMLPKQHJFFHF76CA,坡道平面,0,17.26
RPQOMLPJQHJFFHF78CA,塔式車位,1000000,1.53
RPSNMLOKQHJFFGF78CA,坡道平面,0,39.55
RPSNMLOKQHJFFGF78CA,坡道平面,0,39.55
RPOQMLKLQHJFFEF18CA,坡道平面,1400000,25.44
RPQPMLTKQHJFFGF66CA,坡道平面,0,
RPXPMLKLQHJFFEF98CA,坡道平面,1250000,25.44
RPPRMLTKQHJFFEF56CA,坡道平面,0,21.01
RPVOMLMKQHJFFEF78CA,坡道機械,0,10.18
RPQNMLPKQHJFFEF48CA,坡道平面,1900000,37.69
RPOOMLPKQHJFFEF38CA,坡道平面,0,
RPXQMLRJQHJFFEF96CA,坡道平面,0,20.98
RPXQMLRJQHJFFEF96CA,坡道平面,0,20.98
RPSTMLLKQHJFFEF88CA,坡道平面,0,
RPSNMLPJQHJFFDF48CA,坡道平面,850000,38.71
RPUNMLPJQHJFFDF68CA,坡道平面,850000,38.71
RPVNMLPJQHJFFDF78CA,坡道平面,850000,38.71
RPRNMLRJQHJFFDF58CA,坡道平面,0,30.20
RPQNMLQJQHJFFDF38CA,坡道機械,0,17.06
RPVOMLQJQHJFFCF88CA,坡道平面,0,26.42
RPQOMLLJRHJFFBF87CA,坡道平面,2000000,29.73
RPSNMLNKQHJFFBF18CA,坡道平面,0,
RPVPMLTKQHJFFBF66CA,坡道平面,0,36.65
RPPOMLLJRHJFFBF77CA,坡道平面,1800000,29.73
RPSOMLQLQHJFFBF68CA,坡道平面,0,24.75
RPTUMLOJQHJFFBF98CA,坡道平面,0,26.56
RPPUMLMJRHJFFBF48CA,坡道平面,0,29.73
RPPUMLMJRHJFFBF48CA,坡道平面,0,29.73
RPTOMLSJQHJFFAF68CA,坡道平面,1230000,22.85
RPQOMLRJQHJFFAF28CA,坡道平面,0,16.89
RPWQMLPKQHJFFAF98CA,坡道平面,0,36.74
RPQQMLPKQHJFFBF48CA,坡道平面,1500000,28.72
RPSRMLNKQHJFFBF58CA,坡道平面,0,27.30
RPQRMLNKQHJFFBF38CA,坡道平面,0,27.30
RPXOMLPKQHJFFBF98CA,坡道平面,1400000,28.72
RPOQMLPKQHJFFBF28CA,坡道平面,1500000,28.72
RPVQMLPKQHJFFBF98CA,坡道平面,1500000,20.71
RPXSMLOKQHJFFBF66CA,坡道平面,0,24.16
RPXSMLPKQHJFFBF76CA,坡道平面,1600000,20.71
RPOUMLOKQHJFFBF58CA,坡道平面,0,
RPROMLPKQHJFFBF38CA,坡道平面,1600000,26.98
RPOUMLPKQHJFFBF68CA,坡道平面,0,20.71
RPOUMLPKQHJFFBF68CA,坡道平面,0,20.71
RPXTMLPKQHJFFBF86CA,坡道平面,0,20.71
RPXTMLPKQHJFFBF86CA,坡道平面,0,20.71
RPTUMLPKQHJFFBF56CA,坡道平面,1600000,20.71
RPRTMLPKQHJFFBF88CA,坡道平面,1500000,20.71
RPTSMLPKQHJFFBF98CA,坡道平面,1600000,20.71
RPWUMLPKQHJFFBF86CA,坡道平面,1500000,18.33
RPXTMLMJRHJFFBF56CA,坡道平面,0,16.67
RPUNMLQJQHJFFCF68CA,坡道平面,0,32.50
RPVNMLQJQHJFFCF78CA,坡道平面,0,33.02
RPQRMLSKQHJFFBF88CA,坡道平面,0,41.19
RPWNMLQJQHJFFCF88CA,坡道平面,0,34.97
RPRUMLPKQHJFFBF98CA,坡道平面,0,18.33
RPRUMLPKQHJFFBF98CA,坡道平面,0,20.71
RPVOMLMKQHJFFCF58CA,坡道平面,0,31.82
RPQNMLSJQHJFFDF58CA,坡道平面,650000,36.95
RPOOMLQJQHJFFDF28CA,坡道平面,0,
RPSOMLTLQHJFFCF09CA,坡道平面,0,40.93
RPOPMLOKQHJFFEF38CA,坡道平面,0,
RPQOMLSLQHJFFCF78CA,坡道平面,0,
RPUPMLTJRHJFFEF86CA,坡道平面,750000,20.59
RPUPMLTJRHJFFEF86CA,坡道平面,0,20.59
RPSOMLQJQHJFFGF98CA,坡道平面,2150000,24.77
RPPPMLMKQHJFFGF48CA,坡道平面,1900000,30.64
RPPPMLMKQHJFFGF48CA,坡道平面,1900000,30.64
RPQRMLTKQHJFFEF66CA,坡道平面,0,34.05
RPXNMLRJQHJFFHF96CA,升降機械,0,25.80
RPVPMLRJQHJFFHF96CA,坡道機械,0,27.30
RPTPMLMKQHJFFBF48DA,坡道平面,0,19.12
RPTPMLMKQHJFFBF48DA,坡道機械,0,19.12
RPPNMLKKQHJFFBF67DA,坡道平面,0,19.06
RPPPMLSKQHJFFHF56CA,坡道平面,0,37.43
RPPPMLSKQHJFFHF56CA,坡道平面,0,37.43
RPRSMLPJQHJFFBF78DA,坡道平面,0,41.39
RPVOMLPKQHJFFDF09DA,坡道機械,0,
RPPNMLRJQHJFFDF48DA,坡道機械,0,
RPSNMLMKQHJFFHF78DA,坡道平面,0,23.32
RPTOMLKKRHJFFAF28EA,坡道平面,0,31.02
RPPPMLPJRHJFFEF78EA,坡道平面,0,25.11
RPROMLPKQHJFFGF09EA,坡道平面,0,43.75
RPROMLPKQHJFFGF09EA,坡道平面,0,45.05
RPTOMLQJQHJFFHF76EA,塔式車位,0,5.55
RPQPMLLKQHJFFHF78EA,塔式車位,0,5.55
RPXNMLQJIIJFFGF88EA,坡道平面,1500000,50.98
RPXOMLMKQHJFFGF76EA,升降機械,0,25.15
RPQSMLRJQHJFFBF98EA,坡道平面,1150000,36.19
RPPSMLRJQHJFFBF88EA,坡道平面,1350000,32.90
RPVOMLQLQHJFFDF76EA,坡道平面,0,
RPQPMLTJRHJFFEF66EA,坡道平面,0,9.48
RPOSMLRJQHJFFBF78EA,坡道平面,1300000,36.19
RPTRMLMJRHJFFBF78EA,坡道平面,0,
RPVSMLRJQHJFFBF86EA,坡道平面,1150000,32.90
RPXSMLRJQHJFFBF07EA,坡道平面,1250000,36.19
RPUNMLMKQHJFFHF98DA,升降機械,0,13.41
RPSNMLRJQHJFFAF58EA,坡道平面,0,33.00
RPPTMLRJQHJFFBF98EA,坡道平面,0,36.19
RPPTMLRJQHJFFBF98EA,坡道平面,0,36.19
RPVPMLRJQHJFFGF96DA,坡道平面,0,24.07
RPOOMLSJQHJFFDF58DA,升降機械,0,27.21
RPSNMLKLQHJFFDF28DA,坡道平面,0,
RPPTMLOKQHJFFBF68DA,坡道平面,0,26.52
RPPSMLLKQHJFFBF28DA,坡道平面,0,19.01
RPQOMLLJRHJFFIF58CA,坡道平面,1500000,45.67
RPQQMLRJQHJFFHF56CA,坡道平面,1800000,32.40
