編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLPJKHKFFAD37CA,1,88.01,見其他登記事項,見其他登記事項,102年11月25日,十四層,八層
RPPPMLPJKHKFFAD37CA,1,19.32,見其他登記事項,見其他登記事項,102年11月25日,十四層,
RPPPMLPJKHKFFAD37CA,1,53.49,見其他登記事項,見其他登記事項,102年11月25日,十四層,
RPUOMLMJKHKFFAD47CA,25,112.00,住家用,鋼筋混凝土造,79年6月15日,五層,四層 五層 屋頂突出物
RPUOMLMJKHKFFAD47CA,25,15.09,共有部分,鋼筋混凝土造,79年6月15日,四層,
RPUOMLMJKHKFFAD47CA,25,44.72,共有部分,鋼筋混凝土造,79年6月15日,六層,
RPPPMLMJKHKFFAD07CA,22,240.00,住家用,鋼筋混凝土造,81年10月15日,三層,一層 二層 三層 夾層
RPXOMLMJKHKFFAD77CA,21,80.31,住家用,鋼筋混凝土造,82年7月14日,七層,一層
RPXOMLMJKHKFFAD77CA,21,10.17,共有部分,鋼筋混凝土造,82年7月14日,七層,
RPXOMLMJKHKFFAD77CA,21,12.84,共有部分,鋼筋混凝土造,82年7月14日,七層,
RPOOMLMKKHKFFAD96CA,,109.51,商業用,磚造,,二層,
RPOOMLMKKHKFFAD96CA,65,156.73,工業用,磚造,38年9月5日,二層,
RPVOMLOJKHKFFAD77CA,17,84.83,見其他登記事項,鋼筋混凝土造,87年1月5日,二十六層,十七層
RPVOMLOJKHKFFAD77CA,17,5.48,共有部分,鋼筋混凝土造,87年1月5日,二十六層,
RPVOMLOJKHKFFAD77CA,17,17.08,共有部分,鋼筋混凝土造,87年1月5日,二十六層,
RPQOMLTJKHKFFAD77CA,19,54.75,住家用,鋼筋混凝土造,84年7月29日,十七層,九層
RPQOMLTJKHKFFAD77CA,19,34.35,共有部分,鋼筋混凝土造,84年7月29日,十七層,
RPQOMLTJKHKFFAD77CA,19,.04,見其他登記事項,鋼筋混凝土造,84年7月29日,十七層,
RPQOMLTJKHKFFAD77CA,19,14.48,共有部分,鋼筋混凝土造,84年7月29日,十七層,
RPQNMLOJKHKFFAD17CA,21,104.95,商業用,鋼筋混凝土造,82年7月24日,十二層,一層
