編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUQMLNJKHKFFAH18CA,中路段,45.36,都市：住
RPQSMLMJKHKFFAH87CA,大林段,.22,都市：工
RPWRMLMJKHKFFAH38CA,大林段,.22,都市：工
RPXNMLPJKHKFFAH38CA,中埔段,492.00,都市：農
RPPRMLNJKHKFFAH77CA,陸光段,27.89,都市：住
RPWOMLOJKHKFFAH28CA,大林段,7.48,都市：工
RPWOMLOJKHKFFAH28CA,大林段,.01,都市：工
RPXOMLNJKHKFFAH28CA,新埔段,27.85,都市：住
RPPPMLNJKHKFFAH57CA,富國段,17.77,都市：住
RPUQMLPJKHKFFAH38CA,興華段,271.00,都市：住
RPRQMLNJKHKFFAH87CA,慈文段,8.80,都市：住
RPRQMLPJKHKFFAH08CA,中路段,59.00,都市：工
RPRNMLQJKHKFFAH87CA,同安段,17.40,都市：住
RPVOMLQJKHKFFAH38CA,富國段,180.00,都市：住
RPSNMLPJKHKFFAH87CA,龍華段,18.57,都市：住
RPOOMLLKKHKFFAH27CA,富國段,.00,都市：住
RPOOMLLKKHKFFAH27CA,富國段,.79,都市：住
RPTPMLQJKHKFFAH28CA,新埔段,62.90,都市：住
RPVPMLQJKHKFFAH48CA,龍鳳段,15.74,都市：住
RPVPMLQJKHKFFAH48CA,龍鳳段,.33,都市：住
RPVPMLQJKHKFFAH48CA,龍鳳段,.68,都市：住
RPVPMLQJKHKFFAH48CA,龍鳳段,.15,都市：住
RPVNMLQJKHKFFAH28CA,大樹林段,24.38,都市：住
RPXRMLLKKHKFFAH48CA,蔗園段,47.40,都市：工
RPRRMLLKKHKFFAH87CA,蔗園段,39.83,都市：工
RPURMLLKKHKFFAH18CA,蔗園段,40.16,都市：工
RPSPMLLKKHKFFAH77CA,同安段,20.71,都市：住
RPSPMLLKKHKFFAH77CA,同安段,12.92,都市：住
RPVRMLLKKHKFFAH28CA,蔗園段,47.40,都市：工
