編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPQMLNJKHKFFAH87CC,坡道平面,0,
RPROMLOJKHKFFDH38DC,坡道平面,0,42.15
RPXNMLPJKHKFFEH56EC,坡道平面,0,38.60
RPXNMLPJKHKFFEH56EC,坡道平面,0,38.60
RPTOMLOJKHKFFFH78DC,坡道平面,0,
RPPPMLPJKHKFFAH18EC,坡道平面,0,34.65
RPTOMLPJKHKFFBH48DC,坡道機械,0,3.35
RPVNMLRJKHKFFAH58CC,升降機械,0,
RPRNMLSJKHKFFBH38CC,坡道平面,0,
RPOOMLRJKHKFFAH97CC,坡道平面,0,
RPQOMLNKKHKFFBH97CC,坡道平面,0,
RPPRMLMKKHKFFBH08CC,坡道平面,0,29.53
RPVOMLQKKHKFFBH78CC,坡道平面,0,17.01
RPRQMLOLKHKFFAH38CC,坡道平面,0,23.77
RPRQMLOLKHKFFAH38CC,坡道平面,0,23.77
RPXOMLPLKHKFFAH88CC,坡道平面,0,29.26
RPPNMLRLKHKFFBH38DC,坡道平面,0,28.09
RPUPMLMJLHKFFAH38DC,坡道平面,0,36.16
RPPTMLMJLHKFFEH68DC,坡道平面,0,30.77
RPQNMLRLKHKFFEH68CC,坡道平面,0,29.75
RPWSMLMJLHKFFEH66DC,坡道平面,0,23.05
RPWSMLMJLHKFFEH66DC,坡道平面,0,23.05
RPRNMLRLKHKFFEH78CC,坡道平面,0,30.74
RPSNMLTJLHKFFBH78DC,坡道平面,0,
RPTRMLKKLHKFFAH28CC,坡道平面,2100,31.69
RPPNMLKKLHKFFFH97CC,坡道平面,0,
RPUOMLKKLHKFFBH18CC,坡道平面,0,26.29
RPSOMLNKLHKFFEH68DC,坡道平面,0,26.45
RPPOMLNKLHKFFEH38DC,坡道平面,0,30.40
RPPOMLNKLHKFFEH38DC,坡道平面,0,30.40
RPXNMLSKLHKFFBH76EC,坡道平面,0,
RPQNMLTKLHKFFFH56EC,坡道平面,0,
RPQNMLRKLHKFFAH28CC,坡道平面,0,
RPWOMLKLLHKFFAH38CC,坡道平面,0,
RPUOMLKLLHKFFAH18CC,坡道平面,0,
RPPQMLKLLHKFFAH08EC,坡道平面,0,16.15
RPSNMLOLLHKFFAH38DC,坡道平面,0,
RPTOMLQLLHKFFBH78CC,坡道平面,0,
RPTOMLQLLHKFFBH78CC,坡道平面,0,
RPVNMLKMLHKFFEH68CC,坡道平面,0,35.62
RPROMLLJMHKFFEH28CC,坡道平面,0,25.96
RPPOMLLJMHKFFBH87DC,坡道平面,0,
RPUOMLLJMHKFFBH48EC,坡道平面,0,84.73
RPTOMLKMLHKFFEH68DC,坡道平面,0,30.05
RPRPMLMJMHKFFEH58DC,坡道平面,0,30.05
RPROMLRJMHKFFEH88CC,坡道平面,0,125.42
RPSPMLRJMHKFFAH68CC,坡道平面,0,140.58
RPPOMLSJMHKFFAH38CC,坡道平面,0,
RPOPMLSJMHKFFAH38CC,坡道平面,0,
RPWNMLTJMHKFFFH96CC,坡道平面,0,22.14
RPUNMLTJMHKFFAH88CC,坡道平面,0,25.27
RPPOMLTJMHKFFEH98DC,坡道平面,0,39.66
RPRNMLLKMHKFFAH87CC,坡道平面,0,25.27
RPORMLRKMHKFFAH68DC,坡道平面,0,36.00
RPPNMLTKMHKFFBH58CC,坡道平面,0,
RPTNMLKLMHKFFFH68DC,坡道平面,0,
RPPNMLKLMHKFFCH08EC,升降平面,0,26.45
RPROMLKLMHKFFEH48DC,坡道平面,0,34.12
RPPOMLLLMHKFFFH48DC,坡道機械,0,27.21
RPSNMLLLMHKFFGH88EC,坡道平面,0,
RPXOMLMLMHKFFAH78CC,坡道平面,0,32.08
RPXOMLMLMHKFFAH78CC,坡道平面,0,31.85
RPSNMLMLMHKFFEH58CC,坡道平面,0,25.53
RPVNMLOLMHKFFEH56DC,坡道平面,0,25.71
RPXNMLOLMHKFFEH76DC,坡道平面,0,27.81
RPOOMLOLMHKFFEH58DC,坡道平面,0,25.96
RPPOMLOLMHKFFEH68DC,坡道平面,0,23.53
RPWOMLTLMHKFFGH37CC,坡道平面,0,30.42
RPVNMLNLMHKFFEH98CC,坡道平面,0,32.97
RPUNMLTLMHKFFAH09CC,坡道平面,0,
RPSNMLTLMHKFFAH88CC,坡道平面,0,
RPVOMLTLMHKFFAH66CC,坡道平面,0,
RPTOMLKMMHKFFEH78DC,坡道平面,0,27.12
