編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLTKNHKFFAB77CA,,53.98,住家用,磚造,,二層,一層 二層
RPSNMLRJNHKFFAB77CA,16,51.85,住家用,鋼筋混凝土造,87年9月30日,十二層,五層
RPSNMLRJNHKFFAB77CA,16,14.09,共有部份,鋼筋混凝土造,87年9月30日,十三層,
RPXNMLQJNHKFFAB18CA,10,73.41,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,九層
RPXNMLQJNHKFFAB18CA,10,13.97,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,
RPXNMLQJNHKFFAB18CA,10,24.78,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,
RPPNMLKLNHKFFAB96CA,16,61.70,住家用,鋼筋混凝土造,87年12月19日,九層,九層
RPPNMLKLNHKFFAB96CA,16,8.20,共有部份,鋼筋混凝土造,87年12月19日,九層,
RPPNMLKLNHKFFAB96CA,16,35.42,共有部份,鋼筋混凝土造,87年12月19日,九層,
RPSOMLPJNHKFFAB67CA,20,19.09,住家用,鋼筋混凝土造,84年1月13日,十九層,四層
RPSOMLPJNHKFFAB67CA,20,3.14,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLPJNHKFFAB67CA,20,6.87,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLPJNHKFFAB67CA,20,23.31,住家用,鋼筋混凝土造,84年1月13日,十九層,四層
RPSOMLPJNHKFFAB67CA,20,3.84,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLPJNHKFFAB67CA,20,8.40,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLPJNHKFFAB67CA,20,17.33,住家用,鋼筋混凝土造,84年1月13日,十九層,五層
RPSOMLPJNHKFFAB67CA,20,2.84,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLPJNHKFFAB67CA,20,6.24,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPSPMLOJNHKFFAB67CA,19,23.28,見其他登記事項,鋼骨鋼筋混凝土造,85年5月20日,十九層,十四層
RPSPMLOJNHKFFAB67CA,19,5.12,見其他登記事項,鋼骨鋼筋混凝土造,85年5月20日,十九層,
