編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLTKNHKFFAB77CA,麻園頭段,63.00,都市：住
RPSNMLRJNHKFFAB77CA,下橋子頭段,10.98,都市：住
RPXNMLQJNHKFFAB18CA,下橋子頭段,4.23,都市：商
RPXNMLQJNHKFFAB18CA,下橋子頭段,3.48,都市：住
RPPNMLKLNHKFFAB96CA,樹子腳段,11.65,都市：住
RPPNMLKLNHKFFAB96CA,樹子腳段,1.60,都市：其他
RPPNMLKLNHKFFAB96CA,樹子腳段,.69,都市：其他
RPSOMLPJNHKFFAB67CA,公館段,3.78,都市：住
RPSOMLPJNHKFFAB67CA,公館段,3.27,都市：住
RPSPMLOJNHKFFAB67CA,中華段三小段,1.50,都市：商
RPXOMLPKNHKFFAB28CA,萬安段九小段,3.92,都市：住
RPQNMLQJNHKFFAB47CA,頂橋子頭段,21.26,都市：住
RPWOMLPJNHKFFAB08CA,土庫段,17.63,都市：住
RPSNMLSJNHKFFAB87CA,後子段,4.43,都市：住
RPSNMLSJNHKFFAB87CA,後子段,.28,都市：其他
RPUPMLRLNHKFFAB38CA,麻園頭段,15.00,都市：其他
RPUPMLRLNHKFFAB38CA,麻園頭段,36.00,都市：其他
RPUPMLRLNHKFFAB38CA,麻園頭段,22.00,都市：其他
RPUPMLRLNHKFFAB38CA,麻園頭段,78.00,都市：其他
RPWNMLNLNHKFFAB97CA,東勢子段,24.89,都市：住
RPPOMLOJNHKFFBB37CA,水湳段,19.00,都市：住
RPPOMLOJNHKFFBB37CA,水湳段,19.00,都市：住
RPSNMLPJNHKFFBB67CA,同榮段,109.24,都市：住
RPSNMLPJNHKFFBB67CA,同榮段,2.60,都市：住
RPSNMLPJNHKFFBB67CA,同榮段,22.32,都市：住
RPSNMLPJNHKFFBB67CA,同榮段,17.94,都市：住
RPSNMLPJNHKFFBB67CA,同榮段,19.53,都市：住
RPSNMLPJNHKFFBB67CA,同榮段,21.62,都市：住
RPRRMLKLNHKFFAB57CA,下橋子頭段,138.00,都市：住
RPVNMLLLNHKFFAB67CA,樹子腳段,12.64,都市：住
RPVNMLLLNHKFFAB67CA,樹子腳段,3.19,都市：住
RPRPMLOJNHKFFBB67CA,仁德段,20.82,都市：住
RPRPMLOJNHKFFBB67CA,陳平段,6.42,都市：住
RPTOMLOJNHKFFBB77CA,太順段,100.00,都市：住
RPXOMLPJNHKFFBB28CA,仁美段,149.00,都市：農
RPXOMLPJNHKFFBB28CA,仁美段,40.40,都市：農
RPUOMLPJNHKFFBB97CA,邱厝子段,11.41,都市：住
RPRPMLPJNHKFFBB77CA,東峰段,10.25,都市：住
RPPNMLMLNHKFFAB17CA,旱溪段,30.23,都市：住
RPPNMLMLNHKFFAB17CA,旱溪段,3.71,都市：住
RPWNMLLLNHKFFAB77CA,樹子腳段,13.31,都市：住
RPWNMLLLNHKFFAB77CA,樹子腳段,3.36,都市：住
RPQPMLPJNHKFFBB67CA,中清段,23.74,都市：住
RPVNMLRJNHKFFBB18CA,松竹段,23.29,都市：住
RPWNMLRJNHKFFBB28CA,松竹段,23.29,都市：住
RPUNMLRJNHKFFBB08CA,松竹段,23.29,都市：住
RPXOMLRJNHKFFBB48CA,錦村段,17.53,都市：住
RPPSMLRJNHKFFBB08CA,陳平段,16.54,都市：住
RPXNMLRJNHKFFBB38CA,松竹段,23.29,都市：住
RPPPMLRJNHKFFBB77CA,建安段,20.75,都市：住
RPSPMLSJNHKFFBB18CA,太和段,21.32,都市：住
RPXPMLSJNHKFFBB68CA,陳平段,3.95,都市：住
RPXPMLSJNHKFFBB68CA,陳平段,5.20,都市：住
RPXPMLSJNHKFFBB68CA,陳平段,.51,都市：住
RPXPMLSJNHKFFBB68CA,陳平段,.03,都市：住
RPUOMLSJNHKFFBB28CA,東義段,33.17,都市：住
RPSPMLMKNHKFFBB67CA,昌平段,30.99,都市：住
RPUPMLMKNHKFFBB87CA,昌平段,30.48,都市：住
RPPOMLKLNHKFFBB17CA,松茂段,193.25,都市：其他
RPWNMLMKNHKFFBB87CA,昌平段,23.21,都市：住
RPXPMLLKNHKFFBB08CA,大豐段,9.06,都市：其他
RPXPMLLKNHKFFBB08CA,大豐段,4.21,都市：其他
RPXPMLLKNHKFFBB08CA,大豐段,4.84,都市：其他
RPQOMLKLNHKFFBB27CA,松茂段,64.42,都市：其他
RPQOMLKLNHKFFBB27CA,松茂段,128.83,都市：其他
RPVPMLPKNHKFFBB28CA,中德段,72.00,都市：住
RPUPMLPKNHKFFBB18CA,平田段,17.38,都市：住
RPWOMLMKNHKFFBB97CA,昌平段,28.22,都市：住
RPUPMLLJNHKFFCB77CA,西屯段,18.00,都市：其他
RPUPMLLJNHKFFCB77CA,西屯段,12.00,都市：其他
RPVPMLMLNHKFFBB08CA,乾溝子段,15.62,都市：住
RPUUMLRLNHKFFBB98CA,賴厝段,2.86,都市：住
RPPNMLMJNHKFFCB17CA,中義段,29.76,都市：住
RPQOMLOJNHKFFCB57CA,信安段,9.09,都市：住
RPVUMLRLNHKFFBB09CA,賴厝段,2.86,都市：住
RPTQMLMLNHKFFBB97CA,東信段,17.14,都市：住
RPWOMLOJNHKFFCB18CA,永定段,23.82,都市：住
RPXNMLSLNHKFFBB68CA,賴厝段,6.74,都市：住
RPTOMLNJNHKFFCB77CA,南屯段,15.25,都市：商
RPOPMLOJNHKFFCB47CA,惠來厝段,9.91,都市：住
RPUNMLPJNHKFFCB97CA,新富段,143.97,都市：住
RPXNMLPJNHKFFCB28CA,福星段,14.65,都市：住
RPVOMLQJNHKFFCB28CA,三塊厝段,11.85,都市：住
RPVNMLPJNHKFFCB08CA,福星段,14.65,都市：住
RPOOMLPJNHKFFCB47CA,新富段,189.69,都市：住
RPSPMLRJNHKFFCB18CA,上石碑段,10.27,都市：商
RPROMLRJNHKFFCB97CA,中仁段,12.47,都市：住
RPROMLRJNHKFFCB97CA,中仁段,7.53,都市：住
RPPSMLRJNHKFFCB18CA,上石碑段,16.97,都市：住
RPVRMLRJNHKFFCB68CA,惠智段,9.76,都市：住
RPURMLRJNHKFFCB58CA,國安段,26.03,都市：住
RPUNMLLKNHKFFCB67CA,知高段,1.69,都市：工
RPUNMLLKNHKFFCB67CA,知高段,16.08,都市：其他
RPUNMLLKNHKFFCB67CA,知高段,12.81,都市：其他
RPUNMLLKNHKFFCB67CA,知高段,.95,都市：工
RPUNMLLKNHKFFCB67CA,知高段,44.69,都市：其他
RPUNMLLKNHKFFCB67CA,知高段,3.78,都市：工
RPUNMLLKNHKFFCB67CA,知高段,6.02,都市：工
RPUNMLLKNHKFFCB67CA,知高段,2.25,都市：其他
RPUNMLLKNHKFFCB67CA,知高段,.85,都市：工
RPUNMLLKNHKFFCB67CA,知高段,3.95,都市：其他
RPUNMLLKNHKFFCB67CA,知高段,13.62,都市：其他
RPQOMLSJNHKFFCB97CA,田心段,21.11,都市：住
RPWPMLSJNHKFFCB68CA,豐功段,171.15,都市：住
RPWQMLNKNHKFFCB38CA,大新段,219.39,都市：住
RPVPMLSKNHKFFCB68CA,保安段,93.00,都市：住
RPVPMLSKNHKFFCB68CA,保安段,.50,都市：住
RPVPMLSKNHKFFCB68CA,保安段,8.77,都市：住
RPVPMLSKNHKFFCB68CA,保安段,.29,都市：住
RPVPMLSKNHKFFCB68CA,保安段,4.25,都市：住
RPVPMLSKNHKFFCB68CA,保安段,.19,都市：住
RPUQMLOKNHKFFCB28CA,何安段,6.08,都市：住
RPVNMLQKNHKFFCB28CA,中和段,9.73,都市：商
RPRNMLQKNHKFFCB87CA,國安段,24.38,都市：住
RPTPMLLKNHKFFCB77CA,上石碑段,14.04,都市：商
RPPRMLTKNHKFFCB38CA,三塊厝段,14.19,都市：住
RPQOMLOKNHKFFCB67CA,寶山段,30.65,都市：住
RPSSMLSKNHKFFCB68CA,田心段,11.05,都市：住
RPVQMLRLNHKFFCB78CA,西屯段,48.20,都市：其他
RPPVMLTKNHKFFCB78CA,福星段,20.89,都市：住
