編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLNJKHLFFAV09CA,建成段,101.50,都市：住
RPQNMLNJKHLFFAV98CA,岩灣段,184.45,都市：住
RPPNMLMJKHLFFCV98CA,新福段,19.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLOJKHLFFCV66CA,大原段,2337.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLPJKHLFFBV86CA,長光段,459.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOJKHLFFAV96DA,馬蘭段,45.08,都市：住
RPPOMLMJKHLFFAV88CA,台東段,15.33,都市：住
RPSNMLMJKHLFFAV09CA,豐樂段,758.00,都市：工
RPQNMLMJKHLFFCV56DA,牧野段,915.84,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLMJKHLFFAV09DA,台東段,9.58,都市：住
RPPNMLQLKHLFFBV96DA,忠智段,150.88,都市：住
RPPNMLQLKHLFFBV96DA,忠智段,571.32,都市：住
RPRNMLLJKHLFFDV56CA,北橋段,83.49,都市：住
RPRNMLLJLHLFFBV09CA,東柄段,79.24,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLLJLHLFFBV88CA,東柄段,410.41,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLPJKHLFFBV76CA,仰光段,54.66,都市：住
RPUNMLNJKHLFFAV76CA,煙草間段,5.17,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLNJKHLFFAV76CA,煙草間段,2.78,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLNJKHLFFAV76CA,煙草間段,21.30,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLNJKHLFFAV76CA,煙草間段,93.58,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLMJKHLFFAV86CA,豐年段,140.67,都市：住
RPXNMLMJKHLFFAV96CA,豐里段,3116.66,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLPJKHLFFAV96CA,下賓朗段,21.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
