編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUOMLKLNHLFFAO98CA,新港段,18.20,都市：商
RPXPMLNJNHLFFAO86CA,國道段,15.20,都市：商
RPWPMLNJNHLFFAO76CA,民富段,56.53,都市：住
RPWPMLNJNHLFFAO76CA,民富段,4.65,都市：住
RPOQMLNJNHLFFAO68CA,國道段,14.64,都市：商
RPXNMLOJNHLFFAO76CA,東香段,14.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXNMLOJNHLFFAO76CA,東香段,.47,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWOMLKLNHLFFAO56CA,新港段,18.21,都市：商
RPQPMLNJNHLFFAO78CA,西濱段,29.41,都市：住
RPXNMLSKNHLFFAO27CA,民主段,130.39,都市：其他
RPPOMLQKNHLFFAO98CA,東濱段,65.74,都市：住
RPWOMLQLNHLFFAO37EA,光華段,3.00,都市：商
RPWOMLQLNHLFFAO37EA,光華段,6.00,都市：住
RPSQMLKLNHLFFAO98CA,新港段,18.20,都市：商
RPTQMLKLNHLFFAO09CA,新港段,18.21,都市：商
RPXNMLNJNHLFFAO76DA,新興段一小段,9.83,都市：住
RPPOMLPKQHLFFAO76EA,民富段,.63,都市：住
RPPOMLPKQHLFFAO76EA,民富段,10.13,都市：商
RPPOMLPKQHLFFAO76EA,民富段,.04,都市：住
RPRQMLKLNHLFFAO88CA,新港段,18.21,都市：商
RPORMLQLNHLFFAO66CA,民富段,70.00,都市：住
RPWNMLNLNHLFFAO76CA,中山段三小段,17.31,都市：商
RPUNMLNLNHLFFAO56CA,中山段三小段,17.31,都市：商
RPPNMLNLNHLFFAO68CA,光華段,77.00,都市：住
RPXNMLNLNHLFFAO86CA,中山段三小段,23.68,都市：商
RPVNMLNLNHLFFAO66CA,中山段三小段,17.31,都市：商
RPOTMLRLNHLFFAO96CA,北門段,200.00,都市：商
RPQOMLNLNHLFFAO88CA,中山段三小段,20.49,都市：商
RPPOMLNLNHLFFAO78CA,中山段三小段,24.14,都市：商
RPQQMLKLNHLFFAO78CA,新港段,18.21,都市：商
RPOOMLNLNHLFFAO68CA,中山段三小段,23.68,都市：商
RPQQMLNLNHLFFAO09CA,水源段,34.67,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLMLNHLFFAO58CA,長春段,26.80,都市：住
RPSNMLOLNHLFFAO09CA,中山段三小段,16.39,都市：商
RPQNMLOLNHLFFAO88CA,中山段三小段,14.57,都市：商
RPROMLNLNHLFFAO98CA,中山段三小段,13.66,都市：商
RPPNMLOLNHLFFAO78CA,中山段三小段,23.23,都市：商
RPTNMLOLNHLFFAO56CA,中山段三小段,23.68,都市：商
RPRNMLOLNHLFFAO98CA,中山段三小段,24.59,都市：商
RPPNMLPLNHLFFAO88CA,中山段三小段,44.17,都市：商
RPPQMLNLNHLFFAO98CA,成德段,81.18,都市：住
RPPQMLNLNHLFFAO98CA,成德段,19.60,都市：住
RPPQMLNLNHLFFAO98CA,成德段,17.63,都市：住
