編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOPMLLJQHLFFBJ48CC,豆子埔段,.00,都市：住
RPOOMLOJQHLFFBJ68CC,公園段,.00,都市：商
RPPOMLOJQHLFFBJ78CC,永興段,.00,都市：商
RPSOMLOJQHLFFBJ09CC,縣福段,.00,都市：商
RPWNMLOJQHLFFBJ76CC,隘興段,.00,都市：住
RPQOMLOJQHLFFBJ88CC,公園段,.00,都市：住
RPROMLOJQHLFFBJ98CC,大學段,.00,都市：住
RPXNMLOJQHLFFBJ86CC,隘興段,.00,都市：住
RPXNMLLKQHLFFBJ76DC,家興段,1686.74,都市：住
RPXNMLKKQHLFFBJ56CC,公園段,.00,都市：住
RPTOMLOJQHLFFBJ56CC,莊敬段,.00,都市：住
RPSVMLSKQHLFFBJ67CC,永興段,.00,都市：住
RPVPMLMKQHLFFBJ76CC,永興段,.00,非都市： ; 非都市編定：
RPSOMLMKQHLFFBJ98CC,自強段,.00,都市：住
RPUNMLOJQHLFFBJ56CC,台科段,.00,非都市： ; 非都市編定：
RPTNMLOJQHLFFBJ09CC,縣福段,.00,都市：商
RPQPMLMKQHLFFBJ88CC,台元段,90.00,都市：工
RPRPMLMKQHLFFBJ98CC,自強段,.00,都市：商
RPWPMLMKQHLFFBJ86CC,永興段,.00,非都市： ; 非都市編定：
RPRPMLTJQHLFFBJ96CC,隘興段,.00,都市：住
RPPOMLMKQHLFFBJ68CC,公園段,.00,都市：住
RPRNMLLLQHLFFCJ88CC,下員段,620.33,都市：農
RPTNMLNLQHLFFBJ66DC,公園段,.00,都市：商
RPSNMLQLQHLFFBJ76CC,公園段,.00,都市：住
RPPNMLNLQHLFFBJ78CC,隘興段,98.63,都市：住
RPRNMLMLQHLFFBJ88CC,隘興段,20.15,都市：住
RPTNMLQLQHLFFBJ86CC,隘興段,.00,都市：住
RPVNMLMLQHLFFBJ66CC,公園段,.00,都市：商
RPXOMLQLQHLFFBJ37CC,大學段,.00,都市：住
RPOPMLQLQHLFFBJ56CC,莊敬段,.00,都市：住
RPQPMLQLQHLFFBJ76CC,水瀧段,.00,都市：住
RPSPMLQLQHLFFBJ96CC,永興段,.00,都市：商
RPRPMLQLQHLFFBJ86CC,莊敬段,.00,都市：住
RPVNMLQLQHLFFBJ07CC,隘興段,.00,都市：住
RPTPMLQLQHLFFBJ07CC,隘興段,.00,都市：住
RPXNMLQLQHLFFBJ27CC,隘興段,.00,都市：住
RPWNMLQLQHLFFBJ17CC,莊敬段,.00,都市：住
RPPOMLQLQHLFFBJ56CC,大學段,.00,都市：住
RPUPMLQLQHLFFBJ17CC,永興段,.00,都市：住
RPRNMLQLQHLFFBJ66CC,永興段,.00,都市：住
RPUNMLKMQHLFFBJ09CC,大學段,.00,都市：住
RPVPMLQLQHLFFBJ27CC,大學段,.00,都市：住
RPPOMLLJRHLFFBJ58CC,縣福段,.00,都市：住
RPPQMLQLQHLFFBJ76CC,站前段,.00,都市：住
RPPPMLQJRHLFFBJ56CC,世興段,.00,都市：商
RPWOMLQJRHLFFBJ17CC,公園段,.00,都市：住
RPVNMLPJRHLFFBJ86CC,新國段,134.48,都市：住
RPVNMLPJRHLFFBJ86CC,新國段,139.31,都市：住
RPVNMLPJRHLFFBJ86CC,新國段,116.61,都市：住
RPWPMLQJRHLFFBJ27CC,家興段,.00,都市：住
RPVPMLQJRHLFFBJ17CC,隘興段,.00,非都市： ; 非都市編定：
RPRNMLRJRHLFFDJ96DC,忠信段,.00,都市：住
RPRNMLRJRHLFFDJ96DC,忠信段,.00,都市：住
RPWNMLQJRHLFFBJ17DC,大學段,19.44,都市：商
RPWRMLRJRHLFFBJ57CC,翰林段,.00,都市：住
RPSNMLSJRHLFFBJ86CC,莊敬段,.00,都市：商
RPOQMLQLQHLFFBJ66CC,家興段,.00,都市：住
RPWNMLMKRHLFFDJ07DC,忠信段,.00,都市：住
RPWNMLMKRHLFFDJ07DC,忠信段,.00,都市：住
RPVRMLTJRHLFFBJ67CC,永興段,.00,都市：商
RPXNMLKKRHLFFBJ66CC,三崁店段三崁店小段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLNKRHLFFCJ07CC,資源段,.00,都市：住
RPXNMLNKRHLFFCJ07CC,資源段,.00,都市：住
RPQSMLNKRHLFFBJ76CC,站後段,.00,都市：住
RPQOMLNJIILFFBJ08CC,家興段,.00,都市：住
RPXNMLNJIILFFBJ68CC,隘興段,.00,都市：住
RPUNMLLLRHLFFDJ86DC,成功段,13.86,都市：工
RPUNMLLLRHLFFDJ86DC,成功段,347.40,都市：工
RPUNMLLLRHLFFDJ86DC,成功段,386.12,都市：工
RPUNMLLLRHLFFDJ86DC,成功段,3127.89,都市：工
RPUNMLLLRHLFFDJ86DC,成功段,1652.90,都市：工
RPUNMLLLRHLFFDJ86DC,成功段,76.43,都市：工
RPUNMLLLRHLFFDJ86DC,成功段,158.71,都市：工
RPWNMLLLRHLFFBJ76CC,世興段,.00,都市：商
RPQQMLOKRHLFFBJ66CC,永興段,.00,非都市： ; 非都市編定：
RPSOMLNJIILFFBJ28CC,家興段,.00,都市：住
RPXOMLNJIILFFBJ78CC,大學段,.00,都市：住
RPSPMLNJIILFFBJ38CC,自強段,.00,都市：住
RPVPMLNJIILFFBJ68CC,大學段,.00,都市：住
RPORMLNJIILFFBJ18CC,大學段,.00,都市：住
RPRRMLNJIILFFBJ48CC,大學段,.00,都市：住
RPVRMLNJIILFFBJ88CC,莊敬段,.00,都市：住
RPXPMLNJIILFFBJ88CC,永興段,.00,都市：住
RPSQMLNJIILFFBJ48CC,永興段,.00,都市：住
RPXQMLNJIILFFBJ98CC,隘興段,.00,都市：住
RPOSMLNJIILFFBJ28CC,自強段,.00,都市：住
RPTOMLOJIILFFBJ48CC,家興段,598.16,都市：住
RPVNMLOJIILFFBJ58CC,縣華段,.00,都市：住
RPOOMLRJIILFFBJ28CC,莊敬段,.00,都市：住
RPSNMLMKIILFFCJ28CC,洽水段,504.99,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOOMLNKIILFFBJ97CC,國義段,.00,非都市： ; 非都市編定：
RPVPMLMKIILFFBJ78DC,自強段,.00,都市：住
RPXOMLMKIILFFBJ78CC,隘興段,.00,非都市： ; 非都市編定：
RPWNMLOKIILFFBJ78CC,隘興段,.00,都市：住
RPVNMLSKIILFFBJ09CC,翰林段,.00,非都市： ; 非都市編定：
RPROMLTKIILFFBJ88CC,公園段,.00,都市：住
RPVOMLSKIILFFBJ56CC,中正段,.00,都市：住
RPWNMLLLIILFFBJ58CC,大學段,.00,都市：住
RPSOMLTKIILFFBJ98CC,大學段,.00,都市：商
RPWOMLTKIILFFBJ76CC,大學段,.00,都市：住
RPUOMLTKIILFFBJ56CC,大學段,.00,都市：住
RPVNMLLLIILFFBJ48CC,家興段,.00,都市：住
RPWOMLSKIILFFBJ66CC,中正段,.00,都市：住
RPPOMLLLIILFFBJ97CC,大學段,.00,都市：住
RPSNMLSKIILFFBJ88DC,豆子埔段,.00,都市：住
RPQOMLLLIILFFBJ08CC,台科段,.00,都市：住
RPROMLLLIILFFBJ18CC,永興段,.00,都市：住
RPSOMLLLIILFFBJ28CC,永興段,.00,都市：住
RPUPMLLLIILFFBJ58CC,永興段,.00,都市：商
RPVPMLLLIILFFBJ68CC,站前段,.00,都市：商
RPWNMLPLIILFFBJ98CC,台科段,.00,都市：住
RPWPMLLLIILFFBJ78CC,翰林段,.00,都市：住
RPOQMLLLIILFFBJ08CC,大學段,.00,都市：商
RPQQMLLLIILFFBJ28CC,家興段,.00,都市：住
RPOOMLPLIILFFBJ28CC,台科段,389.21,都市：住
RPOOMLPLIILFFBJ28CC,台科段,539.92,都市：住
RPQNMLKMIILFFCJ08CC,富貴段,.00,非都市： ; 非都市編定：
RPUNMLLLIILFFDJ58CC,建興段建興小段,1705.00,非都市：工業區 ; 非都市編定：丁種建築用地
