編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXOMLTJJHMFFDK07CB,坡道平面,0,20.83
RPTQMLTJJHMFFDK86CB,坡道平面,0,20.83
RPQQMLTJJHMFFDK56CB,坡道平面,0,20.83
RPQNMLKKJHMFFDK08CB,坡道平面,0,20.83
RPRNMLKKJHMFFDK18CB,坡道平面,0,19.50
RPWNMLTJJHMFFDK86CB,坡道平面,0,20.83
RPSQMLTJJHMFFDK76CB,坡道平面,0,20.82
RPORMLTJJHMFFDK09CB,坡道平面,0,21.82
RPVNMLTJJHMFFDK76CB,坡道平面,0,20.83
RPSOMLTJJHMFFDK56CB,坡道平面,0,19.50
RPTNMLKKJHMFFDK38CB,坡道平面,0,20.83
RPSOMLKKJHMFFDK38CB,坡道平面,0,20.83
RPUNMLKKJHMFFDK48CB,坡道平面,0,21.82
RPOOMLKKJHMFFDK97CB,坡道平面,0,20.83
RPTOMLKKJHMFFDK48CB,坡道平面,0,19.50
RPWNMLKKJHMFFDK68CB,坡道平面,0,20.83
RPVNMLKKJHMFFDK58CB,坡道平面,0,20.83
RPROMLKKJHMFFDK28CB,坡道平面,0,19.50
RPSNMLKKJHMFFDK28CB,坡道平面,0,20.83
RPPOMLKKJHMFFDK08CB,坡道平面,0,20.83
RPUOMLKKJHMFFDK58CB,坡道平面,0,25.12
RPVOMLKKJHMFFDK68CB,坡道平面,0,20.83
RPPPMLKKJHMFFDK18CB,坡道平面,0,20.83
RPQPMLKKJHMFFDK28CB,坡道平面,0,20.83
RPOPMLKKJHMFFDK08CB,坡道平面,0,20.83
RPUPMLKKJHMFFDK68CB,坡道平面,0,20.83
RPVPMLKKJHMFFDK78CB,坡道平面,0,21.82
RPWOMLKKJHMFFDK78CB,坡道平面,0,20.83
RPRPMLKKJHMFFDK38CB,坡道平面,0,19.50
RPTPMLKKJHMFFDK58CB,坡道平面,0,20.83
RPSPMLKKJHMFFDK48CB,坡道平面,0,20.83
RPXOMLKKJHMFFDK88CB,坡道平面,0,20.83
RPWPMLKKJHMFFDK88CB,坡道平面,0,20.83
RPXPMLKKJHMFFDK98CB,坡道平面,0,20.83
RPOQMLKKJHMFFDK18CB,坡道平面,0,20.83
RPOQMLKKJHMFFDK18CB,坡道平面,0,22.48
RPPQMLKKJHMFFDK28CB,坡道平面,0,20.83
