編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPUOMLRLIIMFFBB28CB,坡道平面,1450000,32.26
RPPQMLRLIIMFFBB97CB,坡道平面,1450000,32.27
RPRNMLSLIIMFFBB97CB,坡道機械,850000,24.45
RPOQMLRLIIMFFBB87CB,坡道平面,1450000,32.26
RPPOMLRLIIMFFBB77CB,坡道平面,1450000,32.26
RPSOMLRLIIMFFBB08CB,坡道平面,1450000,32.26
RPQQMLRLIIMFFBB08CB,坡道平面,1500000,32.26
RPQQMLRLIIMFFBB08CB,坡道平面,1450000,30.32
RPSNMLSLIIMFFBB08CB,坡道平面,1450000,30.30
RPQOMLRLIIMFFBB87CB,坡道平面,1500000,32.26
RPVNMLSLIIMFFBB38CB,坡道平面,1450000,32.26
RPQOMLSLIIMFFBB97CB,坡道平面,1450000,32.27
RPTNMLSLIIMFFBB18CB,坡道平面,1450000,32.26
RPUOMLSLIIMFFBB38CB,坡道平面,1400000,32.26
RPRQMLRLIIMFFBB18CB,坡道平面,1500000,32.26
RPVOMLSLIIMFFBB48CB,坡道平面,1450000,32.26
RPROMLSLIIMFFBB08CB,坡道平面,1450000,32.27
RPWOMLSLIIMFFBB58CB,坡道平面,1450000,32.27
RPWOMLSLIIMFFBB58CB,坡道平面,1450000,32.27
RPUNMLSLIIMFFBB28CB,坡道平面,1450000,32.27
RPSQMLRLIIMFFBB28CB,坡道平面,1400000,30.32
RPUOMLKMIIMFFBB67CB,坡道平面,1450000,32.27
RPSOMLKMIIMFFBB47CB,坡道機械,650000,24.44
RPTPMLKMIIMFFBB67CB,坡道機械,650000,24.45
RPSOMLSLIIMFFBB18CB,坡道機械,850000,24.44
RPWOMLKMIIMFFBB87CB,坡道機械,850000,24.45
RPVOMLKMIIMFFBB77CB,坡道機械,850000,24.45
RPTOMLKMIIMFFBB57CB,坡道平面,1450000,32.27
RPWOMLMJJIMFFBB87CB,坡道機械,850000,24.45
RPQRMLMJJIMFFBB57CB,坡道平面,1400000,32.27
RPOPMLMJJIMFFBB17CB,坡道機械,850000,24.45
RPRRMLMJJIMFFBB67CB,坡道機械,650000,24.45
RPVQMLMJJIMFFBB97CB,坡道機械,650000,24.45
RPOPMLKMIIMFFBB17CB,坡道平面,1400000,32.27
RPWQMLMJJIMFFBB08CB,坡道平面,1450000,32.27
RPSRMLMJJIMFFBB77CB,坡道平面,1350000,30.32
RPURMLMJJIMFFBB97CB,坡道機械,650000,24.45
RPURMLMJJIMFFBB97CB,坡道機械,850000,24.45
RPQPMLOJJIMFFBB57CB,坡道機械,650000,24.45
RPORMLMJJIMFFBB37CB,坡道機械,650000,24.45
RPPRMLMJJIMFFBB47CB,坡道機械,850000,24.45
RPVRMLMJJIMFFBB08CB,坡道機械,650000,24.45
RPWPMLOJJIMFFBB18CB,坡道平面,1350000,30.30
RPQQMLOJJIMFFBB67CB,坡道平面,1350000,30.32
RPUPMLOJJIMFFBB97CB,坡道平面,1450000,32.27
RPTPMLOJJIMFFBB87CB,坡道平面,1450000,32.27
RPRPMLOJJIMFFBB67CB,坡道平面,1450000,32.27
RPSPMLOJJIMFFBB77CB,坡道機械,650000,24.45
RPSPMLOJJIMFFBB77CB,坡道機械,850000,24.45
RPXPMLOJJIMFFBB28CB,坡道機械,650000,24.45
RPPQMLOJJIMFFBB57CB,坡道機械,650000,24.45
RPVNMLPJJIMFFBB97CB,坡道機械,650000,24.45
RPPNMLPJJIMFFBB37CB,坡道平面,1450000,32.27
RPUNMLPJJIMFFBB87CB,坡道機械,650000,24.45
RPOQMLOJJIMFFBB47CB,坡道機械,650000,24.45
RPVPMLOJJIMFFBB08CB,坡道機械,850000,24.45
RPQNMLPJJIMFFBB47CB,坡道機械,850000,24.45
RPTNMLPJJIMFFBB77CB,坡道機械,650000,24.45
RPSNMLPJJIMFFBB67CB,坡道機械,850000,24.45
RPPOMLPJJIMFFBB47CB,坡道平面,1400000,32.27
RPRNMLPJJIMFFBB57CB,坡道機械,650000,24.45
RPRNMLPJJIMFFBB57CB,坡道機械,850000,24.45
RPXNMLPJJIMFFBB18CB,坡道機械,850000,24.45
RPOOMLPJJIMFFBB37CB,坡道機械,850000,24.45
RPOTMLQJJIMFFBB97CB,坡道平面,1400000,32.27
RPWNMLPJJIMFFBB08CB,坡道平面,1350000,30.32
RPQTMLQJJIMFFBB18CB,坡道平面,1400000,32.27
RPXSMLQJJIMFFBB78CB,坡道平面,1350000,30.32
RPTTMLQJJIMFFBB48CB,坡道平面,1400000,32.26
RPVTMLQJJIMFFBB68CB,坡道平面,850000,24.44
RPUTMLQJJIMFFBB58CB,坡道平面,1500000,32.27
RPSTMLQJJIMFFBB38CB,坡道機械,650000,24.45
RPXTMLQJJIMFFBB88CB,坡道平面,1450000,32.27
RPUPMLKKJIMFFBB67CB,坡道平面,1500000,38.14
RPXPMLKKJIMFFBB97CB,坡道平面,1450000,30.32
RPVPMLKKJIMFFBB77CB,坡道平面,650000,24.45
RPVPMLKKJIMFFBB77CB,坡道平面,1450000,32.27
RPSPMLKKJIMFFBB47CB,坡道平面,1450000,32.27
RPPQMLKKJIMFFBB27CB,坡道機械,850000,24.44
RPRQMLKKJIMFFBB47CB,坡道機械,850000,24.45
RPWSMLQJJIMFFBB68CB,坡道機械,650000,24.45
RPRTMLQJJIMFFBB28CB,坡道機械,850000,24.44
RPSQMLKKJIMFFBB57CB,坡道平面,1400000,32.27
RPSQMLKKJIMFFBB57CB,坡道機械,850000,24.45
RPPTMLQJJIMFFBB08CB,坡道機械,650000,24.44
RPOUMLQJJIMFFBB08CB,坡道平面,1450000,32.27
RPWTMLQJJIMFFBB78CB,坡道平面,1450000,32.26
RPWTMLQJJIMFFBB78CB,坡道平面,1450000,32.26
RPPUMLQJJIMFFBB18CB,坡道平面,1500000,32.26
RPPUMLQJJIMFFBB18CB,坡道機械,650000,24.45
RPPUMLQJJIMFFBB18CB,坡道機械,850000,24.45
