編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLLJQHMFFHF68CC,瓦段,19.88,都市：住
RPQRMLLJQHMFFEF88CC,公司田段,31.78,都市：住
RPSTMLLJQHMFFBF98CC,副都心段五小段,10.37,都市：住
RPSNMLLJQHMFFBF38CC,芳洲段,.00,都市：住
RPVNMLLJQHMFFBF68CC,泰林段,.00,都市：住
RPTOMLLJQHMFFBF58CC,國宅段,145.34,都市：住
RPOPMLLJQHMFFEF48CC,大義段,14.47,都市：其他
RPOPMLLJQHMFFEF48CC,大義段,17.24,都市：其他
RPPOMLLJQHMFFAF08CC,江子翠段第二崁小段,11.26,都市：住
RPOPMLLJQHMFFAF08CC,介壽段,.00,都市：商
RPPOMLLJQHMFFHF78CC,瓦段,19.88,都市：住
RPUNMLLJQHMFFBF58CC,成福段,.00,都市：住
RPROMLLJQHMFFHF98CC,瓦段,18.15,都市：住
RPRPMLMJQHMFFBF58CC,榮富段,12.46,都市：住
RPSNMLMJQHMFFBF48CC,副都心段一小段,34.40,都市：商
RPOOMLMJQHMFFBF18CC,光明段,.00,都市：住
RPOPMLMJQHMFFBF28CC,同興段,23.28,都市：住
RPTOMLLJQHMFFHF56CC,廟美段,20.17,都市：住
RPSOMLLJQHMFFHF09CC,瓦段,18.44,都市：住
RPRNMLMJQHMFFEF68CC,水仙段,2.26,都市：住
RPRNMLMJQHMFFEF68CC,水仙段,.42,都市：住
RPQNMLMJQHMFFEF58CC,海天段,.02,都市：住
RPQNMLMJQHMFFEF58CC,海天段,2.91,都市：住
RPQNMLMJQHMFFEF58CC,海天段,.00,都市：住
RPQNMLMJQHMFFEF58CC,海天段,.21,都市：住
RPQNMLMJQHMFFEF58CC,海天段,.01,都市：住
RPRNMLLJQHMFFDF58DC,大同段,12.36,都市：商
RPVQMLMJQHMFFBF09CC,楓江段,17.99,都市：住
RPWNMLMJQHMFFGF76CC,興德段,.00,都市：工
RPPRMLMJQHMFFBF58CC,昌隆段,15.57,都市：住
RPXQMLMJQHMFFBF66CC,信華段一小段,20.91,都市：住
RPORMLMJQHMFFBF48CC,和平段,17.85,都市：住
RPWPMLMJQHMFFBF09CC,副都心段一小段,14.11,都市：商
RPSQMLMJQHMFFBF78CC,榮富段,11.33,都市：住
RPVNMLNJQHMFFEF56CC,新巿段,.00,都市：住
RPVNMLNJQHMFFBF88CC,副都心段一小段,.00,都市：商
RPWNMLNJQHMFFEF66CC,淡海段,.00,都市：住
RPVOMLNJQHMFFAF88CC,新興段,.00,都市：住
RPTPMLMJQHMFFBF78CC,中原段,30.16,都市：住
RPSPMLNJQHMFFAF68CC,幸福段,.00,都市：商
RPUNMLMJQHMFFIF76CC,十三添段打鐵坑小段,5.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLMJQHMFFIF76CC,十三添段打鐵坑小段,3.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLMJQHMFFIF76CC,十三添段打鐵坑小段,41.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLMJQHMFFIF76CC,十三添段打鐵坑小段,41.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPPMLNJQHMFFEF78CC,海天段,13.55,都市：商
RPSQMLNJQHMFFAF78CC,埔墘段,.00,都市：住
RPQNMLOJQHMFFAF38CC,沛陂段,4667.23,都市：工
RPPNMLOJQHMFFEF68CC,新巿段,22.45,都市：住
RPPOMLNJQHMFFDF58CC,同新段,.73,都市：工
RPPOMLNJQHMFFDF58CC,昊天段,8.30,都市：工
RPTNMLMJQHMFFDF98EC,保長段,5.43,都市：住
RPQNMLOJQHMFFDF68CC,智興段,.00,都市：商
RPQOMLOJQHMFFBF58CC,力行段,19.94,都市：住
RPXNMLNJQHMFFDF66CC,同新段,.73,都市：工
RPXNMLNJQHMFFDF66CC,昊天段,8.30,都市：工
RPVNMLPJQHMFFBF09CC,榮富段,15.31,都市：住
RPPNMLPJQHMFFBF48CC,中原段,40.43,都市：住
RPSNMLOJQHMFFAF58CC,重慶段,.00,都市：其他
RPSNMLOJQHMFFDF88CC,智興段,.00,都市：商
RPSNMLOJQHMFFDF88CC,智興段,.00,都市：住
RPRNMLPJQHMFFBF68CC,副都心段一小段,184.27,都市：商
RPQNMLPJQHMFFBF58CC,榮富段,15.84,都市：住
RPOPMLOJQHMFFAF38CC,城林段,130.84,都市：工
RPQNMLOJQHMFFCF58CC,寶元段,.00,都市：工
RPSOMLPJQHMFFBF88CC,中原段,20.14,都市：住
RPQOMLPJQHMFFBF68CC,復興段,.00,都市：住
RPPNMLQJQHMFFEF88CC,正德段,6.10,都市：其他
RPPOMLPJQHMFFBF58CC,思賢段,.00,都市：住
RPXNMLOJQHMFFIF27CC,永昌段,41.76,都市：住
RPWNMLPJQHMFFBF56CC,貴和段,14.29,都市：住
RPOOMLPJQHMFFBF48CC,思賢段,45.47,都市：住
RPQNMLQJQHMFFEF98CC,新巿段,18.32,都市：其他
RPROMLPJQHMFFBF78CC,立言段,5.18,都市：住
RPWPMLRJQHMFFEF27CC,滬尾段,.00,非都市： ; 非都市編定：
RPWPMLRJQHMFFEF27CC,滬尾段,.00,非都市： ; 非都市編定：
RPPOMLRJQHMFFDF98CC,智興段,6.00,都市：住
RPSOMLRJQHMFFDF66CC,智興段,8.10,都市：住
RPROMLRJQHMFFDF56CC,中正段,9.70,都市：住
RPUPMLRJQHMFFDF96CC,昊天段,11.43,都市：工
RPUPMLRJQHMFFDF96CC,同新段,.36,都市：工
RPVPMLRJQHMFFEF17CC,海鷗段,.00,非都市： ; 非都市編定：
RPXOMLRJQHMFFEF27CC,公司田段,44.00,都市：住
RPTOMLRJQHMFFAF09CC,運校段,.00,都市：住
RPXOMLRJQHMFFIF67CC,大學段一小段,10.07,都市：商
RPPNMLQJQHMFFIF66CC,大學段二小段,19.24,都市：商
RPTOMLRJQHMFFIF27CC,大學段二小段,16.67,都市：商
RPQPMLRJQHMFFIF07CC,大學段一小段,5.34,都市：住
RPSNMLRJQHMFFDF56CC,智興段,.00,都市：商
RPSNMLRJQHMFFDF56CC,智興段,.00,都市：其他
RPSPMLRJQHMFFIF27CC,大學段一小段,21.66,都市：住
RPTNMLRJQHMFFCF56CC,北宜段,.00,都市：其他
RPXNMLRJQHMFFHF47CC,林森段,.00,都市：住
RPPPMLRJQHMFFHF86CC,仁愛段,.00,都市：商
RPRPMLRJQHMFFHF07CC,秀山段,4.36,都市：住
RPQOMLRJQHMFFHF86CC,健康段,.00,都市：工
