編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPQNMLNKKHNFFAD47CA,坡道平面,0,32.55
RPTQMLNKKHNFFAD08CA,坡道平面,0,
RPUOMLNKKHNFFAD97CA,其他,700000,10.01
RPWNMLNKKHNFFAD08CA,坡道機械,0,
RPPOMLRLKHNFFAD97CA,坡道平面,1040000,36.33
RPSOMLSJLHNFFAD28CA,坡道平面,0,
RPWOMLNKKHNFFCD38CA,坡道平面,0,
RPTPMLQJLHNFFAD28CA,坡道機械,0,23.34
RPVOMLQLKHNFFCD68CA,坡道平面,0,
RPUNMLPJLHNFFCD28CA,坡道平面,0,24.87
RPQOMLMKLHNFFCD77CA,坡道平面,1000000,35.53
RPROMLMKLHNFFCD87CA,坡道平面,1000000,35.53
RPROMLMKLHNFFCD87CA,坡道平面,1000000,35.53
RPSOMLMKLHNFFCD97CA,坡道平面,1000000,35.53
RPXNMLLLKHNFFDD38CA,坡道平面,0,
RPUOMLNKKHNFFHD68CA,一樓平面,0,
RPSOMLNKKHNFFHD48CA,一樓平面,0,
RPXOMLLLKHNFFKD56CA,坡道平面,0,
RPQOMLNKKHNFFCD87DA,坡道機械,0,
RPQNMLOKKHNFFCD87DA,坡道平面,0,
RPQNMLRJLHNFFCD18DA,坡道平面,0,
RPQNMLNJLHNFFKD48CA,坡道平面,780000,22.39
RPQNMLOJLHNFFKD58CA,坡道平面,860000,22.39
RPRNMLNJLHNFFKD58CA,坡道平面,780000,22.39
RPPNMLOJLHNFFKD48CA,坡道平面,780000,22.39
RPSNMLOJLHNFFKD78CA,坡道平面,780000,20.49
RPTNMLOJLHNFFKD88CA,坡道平面,780000,22.39
RPVNMLOJLHNFFKD09CA,坡道平面,780000,20.49
RPWNMLOJLHNFFKD56CA,坡道平面,860000,22.39
RPXNMLOJLHNFFKD66CA,坡道平面,780000,22.39
RPRNMLOJLHNFFKD68CA,坡道平面,780000,22.39
RPUNMLOJLHNFFKD98CA,坡道平面,780000,22.39
RPPNMLOKKHNFFKD48CA,坡道機械,0,
RPOPMLLLKHNFFKD38CA,坡道平面,0,
RPOOMLOJLHNFFKD48CA,坡道平面,780000,22.39
RPSNMLOJLHNFFID58CA,坡道平面,0,
RPUNMLSJLHNFFCD58CA,坡道平面,0,31.40
RPUNMLSJLHNFFCD58CA,坡道平面,0,31.40
RPVNMLSJLHNFFCD68CA,坡道平面,0,31.40
RPVNMLSJLHNFFCD68CA,坡道平面,0,31.40
RPQNMLOKLHNFFCD87CA,坡道平面,0,
RPTOMLMKLHNFFCD08CA,坡道平面,1000000,35.54
RPVNMLLLKHNFFCD08CA,坡道機械,0,
RPQPMLLJLHNFFCD67CA,坡道平面,0,
RPRNMLPJLHNFFBD87CA,坡道平面,0,
RPPQMLQJLHNFFAD97CA,坡道平面,1050000,33.40
RPPQMLQJLHNFFAD97CA,坡道平面,1050000,33.40
RPXNMLSJLHNFFAD68CA,坡道平面,1050000,33.40
RPWPMLQJLHNFFAD58CA,坡道平面,950000,33.40
RPXPMLQJLHNFFAD68CA,坡道平面,1050000,33.40
RPUNMLSJLHNFFAD38CA,坡道平面,1150000,34.70
RPTNMLSJLHNFFAD28CA,坡道平面,1150000,33.40
RPTNMLSJLHNFFAD28CA,坡道平面,1150000,33.40
RPWNMLSJLHNFFAD58CA,坡道平面,1050000,33.40
RPVNMLSJLHNFFAD48CA,坡道平面,950000,33.40
RPRNMLQJLHNFFAD87CA,坡道平面,1100000,24.80
RPUPMLQJLHNFFAD38CA,坡道平面,1050000,33.40
RPSNMLQJLHNFFAD97CA,坡道平面,1100000,24.80
RPTOMLQJLHNFFAD18CA,坡道平面,1100000,24.80
RPVOMLQJLHNFFAD38CA,坡道平面,1200000,24.80
RPPOMLPJLHNFFAD67CA,坡道平面,1000000,24.80
RPPOMLPJLHNFFAD67CA,坡道平面,1000000,24.80
RPWOMLOKKHNFFAD28CA,坡道平面,0,32.55
RPPNMLQLKHNFFAD77CA,坡道平面,0,
RPTNMLNLKHNFFAD87CA,坡道平面,0,
RPPPMLMJLHNFFAD47CA,坡道平面,0,32.55
RPTNMLNLKHNFFCD08CA,坡道平面,0,25.79
RPUOMLRJLHNFFCD58CA,塔式車位,0,
RPRNMLRLKHNFFKD09CA,坡道平面,0,
RPRNMLRLKHNFFKD09CA,坡道平面,2000000,60.52
RPQNMLRLKHNFFKD98CA,坡道平面,0,
RPQNMLRLKHNFFKD98CA,坡道平面,2000000,60.52
RPQOMLOJLHNFFKD68CA,坡道平面,860000,22.39
RPROMLOJLHNFFKD78CA,坡道平面,700000,20.49
RPPOMLOJLHNFFKD58CA,坡道平面,780000,20.49
RPRNMLMJLHNFFKD48CA,坡道機械,0,
RPTOMLOJLHNFFKD98CA,坡道平面,780000,20.49
RPVOMLOJLHNFFKD56CA,坡道平面,860000,22.39
RPXOMLOJLHNFFKD76CA,坡道平面,780000,20.49
RPUOMLOJLHNFFKD09CA,坡道平面,780000,22.39
RPWOMLOJLHNFFKD66CA,坡道平面,780000,22.39
RPOPMLOJLHNFFKD58CA,坡道平面,780000,22.39
RPPPMLOJLHNFFKD68CA,坡道平面,860000,22.39
RPRNMLMLLHNFFKD68CA,坡道平面,0,
RPOOMLTKLHNFFID88CA,坡道平面,0,
RPWNMLTJLHNFFHD76CA,坡道平面,850000,27.57
RPPNMLSKLHNFFCD18CA,坡道平面,0,25.33
RPPNMLSLKHNFFAD97CA,坡道平面,0,33.74
RPPQMLMLKHNFFAD67CA,坡道機械,0,
RPSNMLNKLHNFFAD77CA,坡道平面,1050000,27.34
RPSNMLNKLHNFFAD77CA,坡道平面,1050000,27.34
RPTOMLMKLHNFFAD87CA,坡道平面,1050000,27.34
RPTOMLMKLHNFFAD87CA,坡道平面,1050000,27.34
RPRNMLNKLHNFFAD67CA,坡道平面,1150000,27.34
RPRNMLNKLHNFFAD67CA,坡道平面,1100000,23.58
RPSNMLQLKHNFFCD28CA,坡道平面,0,
RPUOMLLJLHNFFCD97CA,坡道平面,0,24.43
RPPOMLTJLHNFFHD78CA,坡道平面,900000,27.57
RPQNMLRLKHNFFHD68CA,一樓平面,0,
RPQNMLRLKHNFFHD68CA,一樓平面,0,
RPQOMLTJLHNFFHD88CA,坡道平面,850000,23.78
RPQNMLMLLHNFFID38CA,坡道機械,0,
RPQNMLNKLHNFFKD58CA,坡道平面,0,
RPQPMLOJLHNFFKD78CA,坡道平面,860000,22.39
RPTPMLOJLHNFFKD09CA,坡道平面,780000,22.39
RPWPMLOJLHNFFKD76CA,坡道平面,780000,22.39
RPVPMLOJLHNFFKD66CA,坡道平面,780000,22.39
RPXPMLOJLHNFFKD86CA,坡道平面,700000,20.49
RPWNMLSJLHNFFKD96CA,坡道平面,0,35.70
RPPQMLOJLHNFFKD78CA,坡道平面,780000,22.39
RPOQMLOJLHNFFKD68CA,坡道平面,780000,22.39
RPSPMLOJLHNFFKD98CA,坡道平面,780000,22.39
RPQQMLOJLHNFFKD88CA,坡道平面,860000,22.39
RPUPMLOJLHNFFKD56CA,坡道平面,860000,22.39
RPVNMLNLLHNFFKD66DA,坡道平面,0,
RPWRMLOJLHNFFKD96CA,坡道平面,860000,22.39
RPURMLOJLHNFFKD76CA,坡道平面,860000,22.39
RPVRMLOJLHNFFKD86CA,坡道平面,780000,20.49
RPTNMLNJLHNFFKD78CA,坡道平面,800000,
RPXRMLOJLHNFFKD07CA,坡道平面,780000,20.49
RPPSMLOJLHNFFKD98CA,坡道平面,780000,22.39
RPRQMLOJLHNFFKD98CA,坡道平面,780000,22.39
RPSQMLOJLHNFFKD09CA,坡道平面,860000,22.39
RPTQMLOJLHNFFKD56CA,坡道平面,780000,22.39
RPORMLOJLHNFFKD78CA,坡道平面,860000,22.39
RPPRMLOJLHNFFKD88CA,坡道平面,860000,22.39
RPUQMLOJLHNFFKD66CA,坡道平面,800000,24.67
RPWQMLOJLHNFFKD86CA,坡道平面,780000,22.39
RPQRMLOJLHNFFKD98CA,坡道平面,780000,22.39
RPXQMLOJLHNFFKD96CA,坡道平面,800000,22.39
RPRNMLQLKHNFFKD98CA,坡道平面,0,
RPVPMLLJLHNFFID78CA,坡道平面,0,
RPPNMLRKLHNFFHD58CA,坡道平面,0,
RPPNMLQJLHNFFCD87CA,坡道機械,0,
RPVNMLMLLHNFFCD28CA,坡道平面,0,
RPVOMLLJLHNFFCD08CA,坡道平面,0,24.43
RPWOMLLJLHNFFCD18CA,坡道平面,0,24.43
RPUNMLNJLHNFFAD87CA,坡道平面,0,
RPVNMLLJLHNFFAD77CA,坡道機械,0,13.17
RPVNMLNJLHNFFAD97CA,坡道平面,0,
RPOOMLRLKHNFFAD87CA,坡道機械,0,
RPPNMLLJLHNFFAD17CA,坡道平面,0,
RPPNMLLJLHNFFAD17CA,坡道平面,0,
RPVNMLQLKHNFFAD38CA,坡道平面,1100000,
RPTNMLQLKHNFFAD18CA,坡道平面,930000,
RPTNMLQLKHNFFAD18CA,坡道平面,930000,
RPVNMLNKLHNFFAD08CA,坡道平面,950000,27.34
RPVNMLNKLHNFFAD08CA,坡道平面,950000,27.34
RPTOMLLJLHNFFAD67CA,坡道平面,0,31.47
RPXNMLRLKHNFFAD68CA,坡道平面,0,28.99
RPXNMLRLKHNFFAD68CA,坡道平面,0,28.99
RPQOMLLJLHNFFAD37CA,坡道平面,930000,
RPQOMLLJLHNFFAD37CA,坡道平面,930000,
RPSNMLRKLHNFFCD38CA,坡道平面,0,
RPWNMLOKLHNFFCD48CA,坡道平面,0,
RPQNMLMKLHNFFCD67CA,坡道機械,0,9.82
RPSOMLQJLHNFFCD28CA,坡道機械,0,
RPTNMLNJLHNFFHD48CA,一樓平面,880000,14.27
RPQNMLNJLHNFFHD18CA,一樓平面,1000000,12.72
RPUOMLRJLHNFFHD09CA,坡道機械,0,
RPSOMLTJLHNFFKD76CA,坡道機械,0,
RPTRMLOJLHNFFKD66CA,坡道平面,780000,22.39
RPSNMLRJLHNFFKD09CA,其他,0,
RPUNMLLJLHNFFKD68CA,坡道平面,0,
RPPNMLNJLHNFFKD38CA,坡道平面,860000,22.39
RPSNMLRLKHNFFKD66DA,一樓平面,0,
RPXNMLPJLHNFFAD58EA,坡道平面,330000,
RPOOMLLJLHNFFKD28DA,一樓平面,0,
RPSNMLRJLHNFFCD38DA,一樓平面,0,
RPOOMLQJLHNFFKD68CA,坡道平面,0,35.70
RPUNMLQJLHNFFKD56CA,坡道平面,0,35.70
RPWNMLQJLHNFFKD76CA,坡道平面,0,35.70
RPUNMLQJLHNFFKD56CA,坡道平面,0,35.70
RPRNMLNKLHNFFKD68CA,坡道平面,0,
RPTNMLLJLHNFFJD48CA,一樓平面,0,
RPSNMLLJLHNFFJD38CA,一樓平面,0,
RPRNMLLJLHNFFJD28CA,一樓平面,0,
RPUNMLLJLHNFFJD58CA,一樓平面,0,
RPRNMLNJLHNFFHD28CA,一樓平面,800000,10.19
RPXOMLOKLHNFFCD68CA,坡道平面,0,
RPTNMLRKLHNFFCD48CA,升降機械,0,
RPUNMLRJLHNFFCD48CA,坡道機械,0,
RPQPMLQJLHNFFAD97CA,坡道平面,1180000,
RPPNMLNJLHNFFAD37CA,其他,700000,10.01
RPSNMLQKLHNFFAD08CA,坡道平面,0,
RPUOMLLLLHNFFAD97CA,坡道平面,1200000,24.80
RPUOMLLLLHNFFAD97CA,坡道平面,1200000,24.80
RPUOMLMKLHNFFAD97CA,坡道機械,0,
RPTNMLLLLHNFFAD77CA,坡道平面,0,
RPWNMLLLLHNFFAD08CA,坡道平面,1050000,33.40
RPTQMLQJLHNFFAD38CA,坡道平面,1200000,24.19
RPVNMLQKLHNFFCD58CA,坡道平面,0,27.64
RPTOMLRJLHNFFCD48CA,坡道平面,0,
RPPNMLTJLHNFFAD97CA,坡道平面,760000,30.66
RPVNMLRLLHNFFCD78CA,坡道平面,0,27.64
RPXNMLRLLHNFFCD98CA,坡道平面,0,27.64
RPRNMLTKLHNFFCD48CA,坡道平面,960000,21.33
RPSOMLTLLHNFFCD78CA,坡道平面,0,25.54
RPSOMLTLLHNFFCD78CA,坡道平面,0,25.54
RPSOMLTLLHNFFCD78CA,坡道平面,0,25.54
RPQNMLQJLHNFFHD48CA,一樓平面,0,
RPQNMLQJLHNFFHD48CA,一樓平面,0,
RPXNMLRJLHNFFID76CA,一樓平面,0,
RPXQMLMJLHNFFKD76CA,坡道平面,700000,
RPUNMLNJLHNFFKD88CA,坡道平面,1000000,26.25
RPOOMLRLLHNFFID78CA,一樓平面,0,
RPRNMLQJLHNFFGD58DA,坡道平面,0,
RPVOMLTKLHNFFKD17CA,坡道平面,0,
RPPNMLKMLHNFFID18CA,坡道平面,0,
RPVOMLQKLHNFFCD78DA,坡道平面,0,
RPVOMLQKLHNFFCD78DA,坡道平面,0,
RPVOMLQKLHNFFCD78DA,坡道機械,0,
RPVNMLKLLHNFFHD58CA,坡道平面,700000,31.43
RPUNMLQJLHNFFHD88CA,坡道平面,0,
RPWNMLKLLHNFFHD68CA,坡道平面,800000,31.43
RPWNMLRLLHNFFCD88CA,坡道平面,0,27.64
RPPOMLOKLHNFFCD87CA,坡道機械,400000,
RPUPMLKLLHNFFCD18CA,坡道平面,0,
RPRPMLQJLHNFFAD08CA,坡道平面,0,
RPUOMLPJLHNFFAD18CA,坡道機械,0,10.36
RPQQMLMJLHNFFAD67CA,坡道平面,1200000,44.77
RPQQMLMJLHNFFAD67CA,坡道平面,1200000,44.77
RPROMLQKLHNFFAD08CA,坡道平面,1100000,38.74
RPSOMLQKLHNFFAD18CA,坡道平面,1300000,38.74
RPSOMLQKLHNFFAD18CA,坡道平面,1200000,32.97
RPUNMLMKLHNFFAD87CA,坡道平面,860000,30.66
RPVNMLMKLHNFFAD97CA,坡道平面,960000,30.66
RPXOMLRLLHNFFAD88CA,坡道平面,450000,
RPQPMLQLLHNFFAD18CA,坡道平面,0,
RPRQMLQJLHNFFAD18CA,坡道機械,0,
RPOPMLRLLHNFFAD08CA,坡道平面,480000,
RPQOMLTJLHNFFAD18CA,坡道平面,700000,26.54
RPPNMLMKLHNFFAD37CA,坡道平面,960000,30.66
RPQNMLRKLHNFFCD18CA,坡道平面,0,
RPQOMLRKLHNFFCD28CA,坡道平面,0,
RPPOMLTKLHNFFCD38CA,升降機械,0,
RPRPMLKMLHNFFCD97CA,坡道平面,0,25.33
RPVPMLLMLHNFFID09CA,坡道平面,0,
RPSNMLMKLHNFFKD68CA,升降機械,0,9.85
RPOOMLQJLHNFFAD77DA,坡道平面,550000,
RPTOMLSJLHNFFKD76CA,坡道平面,0,
RPPOMLRLLHNFFID88CA,坡道平面,0,
RPUNMLKLLHNFFID58CA,坡道平面,0,
RPVNMLRJLHNFFHD09CA,一樓平面,0,
RPVNMLRJLHNFFHD09CA,一樓平面,0,
RPUNMLRJLHNFFDD58CA,一樓平面,0,
RPQOMLTKLHNFFBD38CA,坡道平面,0,
RPSPMLKMLHNFFCD08CA,坡道平面,0,25.33
RPTOMLLLLHNFFAD87CA,坡道平面,0,
RPROMLQLLHNFFAD18CA,坡道平面,0,
RPTOMLQKLHNFFAD28CA,坡道平面,1100000,38.74
RPTOMLQKLHNFFAD28CA,坡道平面,1300000,38.74
RPWNMLPKLHNFFAD38CA,坡道平面,0,
RPWNMLPKLHNFFAD38CA,升降平面,0,
RPTNMLPLLHNFFAD18CA,坡道平面,0,
RPSOMLOLLHNFFAD08CA,坡道平面,0,
RPRNMLMLLHNFFAD67CA,坡道平面,1100000,24.80
RPRNMLMLLHNFFAD67CA,坡道平面,1100000,24.80
RPWNMLMLLHNFFAD18CA,坡道平面,1100000,24.80
RPWNMLKLLHNFFAD97CA,坡道平面,0,28.19
RPXNMLMLLHNFFAD28CA,坡道平面,1050000,24.80
RPXNMLMLLHNFFAD28CA,坡道平面,1050000,24.80
RPTOMLSJLHNFFAD38CA,坡道機械,0,
RPXOMLQLLHNFFAD78CA,坡道平面,0,
RPQNMLSLLHNFFAD18CA,坡道平面,550000,
RPQNMLSLLHNFFAD18CA,坡道平面,550000,
RPPNMLKKLHNFFCD37CA,坡道平面,0,
RPVNMLNJMHNFFCD28CA,坡道平面,0,
RPTOMLSJLHNFFCD58CA,坡道平面,0,
RPVNMLQLLHNFFCD68CA,坡道平面,0,
RPQNMLKMLHNFFCD67CA,坡道平面,630000,29.01
RPRNMLTJLHNFFGD78CA,坡道平面,0,
RPUNMLNLLHNFFHD78CA,坡道平面,900000,27.57
RPQNMLSJLHNFFHD68CA,一樓平面,0,
RPQNMLSJLHNFFHD68CA,一樓平面,0,
RPVNMLTJLHNFFID76CA,坡道平面,800000,
RPRNMLSJLHNFFKD09CA,升降機械,0,
RPXNMLMLLHNFFID09CA,升降平面,500000,23.75
RPXNMLMLLHNFFID09CA,升降平面,500000,23.75
RPSOMLKLLHNFFHD38CA,坡道平面,0,
RPUNMLNKLHNFFHD68CA,坡道機械,450000,
RPWNMLNKLHNFFHD88CA,坡道機械,450000,
RPTNMLSJLHNFFHD98CA,坡道機械,0,
RPXNMLQLLHNFFHD76CA,一樓平面,0,
RPSPMLNLLHNFFCD28CA,坡道平面,0,
RPPNMLNLLHNFFCD77CA,坡道平面,0,31.40
RPPNMLNLLHNFFCD77CA,坡道平面,0,31.40
RPUOMLLMLHNFFCD28CA,坡道平面,1000000,35.53
RPUOMLMLLHNFFCD28CA,坡道平面,0,25.54
RPUOMLMLLHNFFCD28CA,坡道平面,0,25.54
RPUOMLMLLHNFFCD28CA,坡道平面,0,25.54
RPOOMLRLLHNFFCD18CA,坡道平面,1030000,24.43
RPOOMLNKLHNFFCD67CA,坡道平面,0,24.43
RPVOMLLMLHNFFCD38CA,坡道平面,1000000,35.53
RPPOMLNKLHNFFCD77CA,坡道平面,0,32.15
RPXNMLLMLHNFFCD48CA,坡道平面,1000000,35.53
RPXNMLLMLHNFFCD48CA,坡道平面,1000000,35.53
RPVOMLSJLHNFFCD78CA,坡道機械,0,
RPQNMLNKLHNFFBD67CA,坡道平面,0,
RPSNMLLLLHNFFCD87CA,坡道平面,0,38.56
RPPNMLLKLHNFFBD37CA,一樓平面,0,
RPSQMLRLLHNFFAD58CA,坡道平面,900000,
RPSQMLRLLHNFFAD58CA,坡道平面,900000,
RPUQMLRLLHNFFAD78CA,坡道平面,450000,
RPUQMLRLLHNFFAD78CA,坡道平面,450000,
RPTQMLRLLHNFFAD68CA,坡道平面,500000,
RPTQMLRLLHNFFAD68CA,坡道平面,500000,
RPWQMLRLLHNFFAD98CA,坡道平面,1000000,
RPWQMLRLLHNFFAD98CA,坡道平面,1000000,
RPXNMLOLLHNFFAD48CA,坡道平面,1000000,
RPXNMLOLLHNFFAD48CA,坡道平面,1000000,
RPOOMLMKLHNFFAD37CA,坡道平面,1200000,33.80
RPOOMLMKLHNFFAD37CA,坡道平面,1200000,33.80
RPTNMLTKLHNFFAD48CA,坡道平面,0,30.66
RPORMLRLLHNFFAD28CA,坡道平面,0,
RPORMLRLLHNFFAD28CA,坡道平面,0,
RPVQMLRLLHNFFAD88CA,坡道平面,1100000,
RPVQMLRLLHNFFAD88CA,坡道平面,1100000,
RPXOMLMLLHNFFCD58CA,坡道平面,0,31.40
RPXOMLMLLHNFFCD58CA,坡道平面,0,31.40
RPQNMLNLLHNFFCD87CA,坡道平面,0,31.40
RPQNMLNLLHNFFCD87CA,坡道平面,0,31.40
RPSNMLNKLHNFFHD48CA,坡道機械,450000,
RPQOMLNKLHNFFHD38CA,坡道機械,450000,
