編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLLKNHNFFGH78CC,平東段,175.02,都市：住
RPQNMLLKNHNFFGH78CC,平東段,19.10,都市：住
RPQNMLLKNHNFFGH78CC,平東段,9.94,都市：住
RPTOMLLKNHNFFEH98CC,錦明段,297.33,都市：工
RPTOMLLKNHNFFEH98CC,錦明段,35.36,都市：工
RPTOMLLKNHNFFEH98CC,錦明段,62.86,都市：工
RPTOMLLKNHNFFEH98CC,錦明段,1283.78,都市：工
RPWNMLLKNHNFFAH78CC,玉山段,.00,都市：工
RPWNMLLKNHNFFAH78CC,玉山段,.00,都市：工
RPPNMLLKNHNFFDH38CC,大金山下段大金山下小段,.00,都市：住
RPXRMLLKNHNFFAH66CC,慈文段,20.20,都市：住
RPPPMLLKNHNFFEH68CC,長發段,638.22,都市：農
RPPPMLLKNHNFFEH68CC,長發段,739.78,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQNMLLKNHNFFDH48CC,大金山下段大金山下小段,.00,都市：住
RPVNMLLKNHNFFBH78CC,振興段,.00,都市：住
RPUNMLOKNHNFFCH09CC,仁善段,23.81,都市：住
RPWPMLOKNHNFFAH86EC,國聖段,.00,都市：住
RPWNMLLKNHNFFBH88CC,藍埔段,.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLOKNHNFFGH86CC,平鎮段,35.80,都市：住
RPSNMLOKNHNFFFH56CC,興仁段,15.01,都市：住
RPRPMLLKNHNFFAH68EC,中山段,20.56,都市：住
RPRNMLOKNHNFFHH66CC,自強段,.00,都市：商
RPWNMLOKNHNFFBH66DC,忠福段,155.00,都市：住
RPUNMLLKNHNFFAH58CC,龍安段,.00,都市：住
RPXNMLOKNHNFFBH76DC,興南段中壢老小段,44.00,都市：商
RPXNMLOKNHNFFBH76DC,興南段中壢老小段,12.00,都市：商
RPRQMLOKNHNFFAH98DC,中德段,67.72,都市：工
RPSOMLOKNHNFFAH78CC,新埔段,.00,都市：住
RPXNMLPKNHNFFEH07CC,六福段,.00,都市：工
RPTOMLOKNHNFFDH66DC,大金山下段大金山下小段,14.40,都市：住
RPQRMLPKNHNFFBH09CC,青芝段,21.73,都市：住
RPPOMLOKNHNFFEH88CC,客運一段,.00,非都市： ; 非都市編定：
RPTNMLOKNHNFFAH78CC,同安段,67.00,都市：住
RPWRMLPKNHNFFBH07CC,三座屋段三座屋小段,95.41,都市：住
RPUOMLOKNHNFFAH98CC,埔子段埔子小段,18.87,都市：住
RPOPMLPKNHNFFBH68CC,普義段,.00,都市：住
RPPOMLPKNHNFFEH98CC,五塊厝段大埔小段,2216.99,非都市：特定農業區 ; 非都市編定：農牧用地
RPXQMLPKNHNFFBH17DC,三座屋段三座屋小段,1038.00,都市：住
RPPOMLPKNHNFFAH78EC,寶山段,16.19,都市：住
RPQQMLPKNHNFFBH09DC,石頭段,55.33,都市：商
RPSNMLPKNHNFFGH76CC,平東段,.00,都市：住
RPROMLPKNHNFFAH98EC,慈文段,95.00,都市：住
RPQNMLPKNHNFFEH56EC,長安段,287.83,都市：工
RPQOMLPKNHNFFAH88EC,寶山段,16.19,都市：住
RPUNMLPKNHNFFFH07EC,茄明段,18.13,都市：住
RPVNMLPKNHNFFFH17EC,福興段,.00,都市：住
RPOOMLPKNHNFFAH68EC,寶山段,16.26,都市：住
RPQNMLQKNHNFFGH66CC,金鍊段,.00,都市：住
RPWNMLPKNHNFFFH27EC,大安段,2461.69,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPUNMLQKNHNFFGH07CC,廣豐段,22.21,都市：住
RPQNMLQKNHNFFBH78CC,忠福段,.00,都市：住
RPXNMLQKNHNFFCH96CC,潛龍段,29.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLQKNHNFFCH96CC,潛龍段,.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLQKNHNFFAH78DC,大有段,31.06,都市：住
RPOOMLQKNHNFFFH09CC,興豐段,70.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLQKNHNFFBH68CC,三座屋段舊社小段,.00,都市：住
RPTNMLQKNHNFFBH09CC,興南段興南小段,.00,都市：商
RPQNMLQKNHNFFAH68CC,國聖段,.00,都市：工
RPQNMLRKNHNFFEH56CC,竹中段,.00,都市：住
RPQNMLRKNHNFFAH78CC,寶山段,.00,都市：住
RPXOMLRKNHNFFEH37CC,河底段,14.00,都市：商
RPRNMLRKNHNFFEH66CC,大新段,.00,都市：住
RPRRMLRKNHNFFBH76CC,福德段,60.16,都市：住
RPXQMLRKNHNFFBH27CC,復興段,5.18,都市：住
RPXQMLRKNHNFFBH27CC,復興段,25.58,都市：住
RPSOMLRKNHNFFEH86CC,大新段,15.60,都市：住
RPVOMLRKNHNFFBH96DC,青昇段,26.13,都市：商
RPPPMLRKNHNFFHH96CC,精忠段,37.13,都市：住
RPPNMLRKNHNFFFH56CC,明智段,.00,都市：住
RPXOMLRKNHNFFHH67CC,大同段,8.75,都市：住
RPXOMLRKNHNFFHH67CC,大同段,1.75,都市：住
RPXOMLRKNHNFFHH67CC,大同段,7.75,都市：住
RPXOMLRKNHNFFHH67CC,大同段,7.00,都市：其他
RPVQMLRKNHNFFBH07CC,復興段,5.18,都市：住
RPVQMLRKNHNFFBH07CC,復興段,25.58,都市：住
RPRNMLRKNHNFFHH96CC,興華段,14.71,都市：商
RPROMLSKNHNFFAH66EC,龍祥段,11.40,都市：商
RPVNMLRKNHNFFGH27CC,忠貞段,17.72,都市：商
RPOPMLRKNHNFFAH98EC,龍祥段,13.59,都市：商
RPTOMLSKNHNFFGH37DC,廣仁段,21.69,都市：商
RPSNMLRKNHNFFFH96DC,豐田段,31.66,都市：住
RPPNMLSKNHNFFFH66CC,廣隆段,.00,都市：住
RPPNMLTKNHNFFHH96CC,大同段,6.33,都市：住
RPQNMLTKNHNFFHH07CC,大同段,6.36,都市：住
RPVOMLSKNHNFFBH96CC,普義段,99.18,都市：住
RPQQMLSKNHNFFBH66CC,石頭段,124.50,都市：商
RPQOMLLLNHNFFHH09CC,南上段,30.14,都市：工
RPTNMLLLNHNFFCH88DC,南龍段,3786.84,都市：住
RPUOMLLLNHNFFAH98EC,慈文段,.00,都市：商
RPUOMLLLNHNFFAH98EC,慈文段,.00,都市：住
RPUOMLLLNHNFFAH98EC,慈文段,.00,都市：住
RPRPMLLLNHNFFEH09DC,青峰段,47.88,都市：住
RPWNMLLLNHNFFBH98CC,榮民段,.00,都市：其他
RPRPMLLLNHNFFAH78EC,大興段,43.81,都市：住
RPRPMLLLNHNFFAH78EC,大興段,27.98,都市：其他
RPROMLLLNHNFFBH58CC,復興段,.00,都市：住
RPXNMLLLNHNFFBH09CC,忠孝段,.00,都市：住
RPTNMLLLNHNFFBH68CC,環東段,.00,都市：住
RPTNMLLLNHNFFBH68CC,環東段,.00,都市：住
RPPNMLLLNHNFFFH78DC,大庄段,24.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLLLNHNFFBH48CC,復興段,.00,都市：住
RPWOMLLLNHNFFBH09CC,遠東段,.00,都市：住
RPQNMLMLNHNFFBH48CC,健行段,.00,都市：住
RPQNMLMLNHNFFBH48CC,健行段,.00,都市：住
RPOPMLLLNHNFFBH38CC,遠東段,.00,都市：住
RPPQMLLLNHNFFBH58CC,三座屋段三座屋小段,22.38,都市：住
RPROMLMLNHNFFBH68CC,興南段興南小段,.00,都市：商
RPRNMLMLNHNFFBH58CC,榮民段,.00,都市：住
RPPPMLMLNHNFFBH58CC,富強段,33.75,都市：住
RPQPMLMLNHNFFBH68CC,富強段,33.75,都市：住
RPRPMLLLNHNFFBH68CC,普仁段,.00,都市：其他
RPRPMLLLNHNFFBH68CC,普仁段,.00,都市：其他
