編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXOMLRKNHNFFAO57CB,坡道平面,1300000,34.59
RPOPMLRKNHNFFAO76CB,坡道平面,1200000,34.59
RPRPMLRKNHNFFAO07CB,坡道平面,1200000,34.59
RPWPMLRKNHNFFAO57CB,坡道平面,1200000,34.59
RPPPMLRKNHNFFAO86CB,坡道平面,1300000,34.59
RPTPMLRKNHNFFAO27CB,坡道平面,1200000,34.59
RPVPMLRKNHNFFAO47CB,坡道平面,1300000,34.59
RPSPMLRKNHNFFAO17CB,坡道平面,1300000,34.59
RPXPMLRKNHNFFAO67CB,坡道平面,1300000,34.59
RPROMLTJPHNFFAO47EB,坡道平面,1000000,18.59
RPPQMLRKNHNFFAO96CB,坡道平面,1200000,34.59
RPQPMLRKNHNFFAO96CB,坡道平面,1200000,34.59
RPUOMLTJPHNFFAO77EB,坡道平面,1000000,18.59
RPOQMLRKNHNFFAO86CB,坡道平面,1300000,34.59
RPXNMLMKPHNFFAO37EB,坡道平面,950000,18.59
RPUPMLRKNHNFFAO37CB,坡道平面,1200000,34.59
RPPOMLMKPHNFFAO66EB,坡道平面,1000000,18.58
RPOOMLMKPHNFFAO56EB,坡道平面,1000000,18.59
RPQOMLMKPHNFFAO76EB,坡道平面,1000000,18.59
RPROMLMKPHNFFAO86EB,坡道平面,1000000,18.59
RPXOMLRKPHNFFAO97EB,一樓平面,1000000,18.59
RPSOMLRKPHNFFAO47EB,坡道平面,1000000,18.59
RPTOMLRKPHNFFAO57EB,坡道平面,1050000,22.30
RPXNMLRKPHNFFAO87EB,坡道平面,1000000,18.59
RPTNMLTKPHNFFAO67EB,一樓平面,1000000,18.59
RPUNMLTKPHNFFAO77EB,其他,580000,11.15
RPROMLSKPHNFFAO47EB,坡道平面,950000,18.57
RPQOMLTKPHNFFAO47EB,坡道平面,1000000,18.59
RPWNMLTKPHNFFAO97EB,坡道平面,1000000,18.59
RPVNMLTKPHNFFAO87EB,一樓平面,1000000,18.59
RPTOMLOLPHNFFAO37EB,坡道平面,1000000,18.59
RPSOMLOLPHNFFAO27EB,一樓平面,1000000,18.59
RPUOMLOLPHNFFAO47EB,其他,580000,11.15
RPOPMLOLPHNFFAO96EB,坡道平面,1050000,22.30
RPSPMLQLPHNFFAO57EB,坡道平面,950000,18.59
RPTOMLQLPHNFFAO57EB,坡道平面,1000000,18.59
RPRPMLQLPHNFFAO47EB,坡道平面,1000000,18.59
RPWOMLQLPHNFFAO87EB,坡道平面,950000,18.59
RPQNMLKMPHNFFAO66EB,坡道平面,950000,18.59
RPPNMLKMPHNFFAO56EB,一樓平面,1000000,18.59
RPTNMLKMPHNFFAO96EB,其他,580000,11.14
RPPOMLKMPHNFFAO66EB,其他,580000,11.15
RPPOMLLMPHNFFAO76EB,坡道平面,1000000,18.59
RPXNMLLMPHNFFAO47EB,坡道平面,950000,18.59
RPSOMLLMPHNFFAO07EB,坡道平面,1000000,18.59
RPWOMLKMPHNFFAO37EB,坡道平面,1000000,18.59
RPXOMLLMPHNFFAO57EB,其他,580000,11.15
RPVOMLKMPHNFFAO27EB,坡道平面,1000000,18.59
RPPPMLLJQHNFFAO66EB,坡道平面,1000000,18.59
RPTOMLLJQHNFFAO96EB,其他,580000,11.15
RPUOMLLJQHNFFAO07EB,其他,580000,11.15
RPVOMLLJQHNFFAO17EB,其他,580000,11.15
RPOPMLLJQHNFFAO56EB,其他,580000,11.15
