編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOPMLQKQHNFFAD38CA,北安段,192.70,都市：住
RPOPMLQKQHNFFAD38CA,北安段,192.70,都市：住
RPWNMLOKQHNFFAD78CA,自強段,77.00,都市：商
RPXPMLOKQHNFFAD09CA,北元段,96.66,都市：住
RPWOMLNLQHNFFAD88CA,新南段,28.97,都市：住
RPVNMLOKQHNFFAD68CA,立人段,7.11,都市：住
RPQNMLRKQHNFFAD48CA,立人段,3.99,都市：住
RPQNMLMJRHNFFAD97CA,頂美段,15.85,都市：住
RPPPMLNKQHNFFAD18CA,金華段,15.05,都市：住
RPSNMLLJRHNFFAD08CA,金城段,25.20,都市：住
RPOQMLOKQHNFFAD28CA,正興段,14.56,都市：商
RPRNMLMJRHNFFAD08CA,頂美段,13.68,都市：住
RPSNMLMJRHNFFAD18CA,頂美段,17.10,都市：住
RPTNMLMJRHNFFAD28CA,頂美段,16.48,都市：住
RPVNMLMJRHNFFAD48CA,立人段,30.05,都市：住
RPVNMLMJRHNFFAD48CA,立人段,.12,都市：其他
RPVNMLMJRHNFFAD48CA,立人段,.12,都市：其他
RPVNMLMJRHNFFAD48CA,立人段,.12,都市：其他
RPSNMLTJRHNFFAD88CA,頂美段,17.10,都市：住
RPUPMLPJRHNFFAD88CA,白金段,57.84,都市：商
RPUPMLPJRHNFFAD88CA,白金段,57.70,都市：商
RPUPMLPJRHNFFAD88CA,白金段,58.04,都市：商
RPTNMLTJRHNFFAD98CA,頂美段,20.52,都市：住
RPROMLMJRHNFFAD18CA,頂美段,16.48,都市：住
RPRNMLTJRHNFFAD78CA,頂美段,15.85,都市：住
RPQNMLTJRHNFFAD68CA,頂美段,15.85,都市：住
RPWNMLTJRHNFFAD66CA,頂美段,15.85,都市：住
RPVNMLTJRHNFFAD56CA,頂美段,12.12,都市：住
RPPOMLOKQHNFFBD28CA,安慶段,5.00,都市：其他
RPOOMLPKQHNFFBD28CA,和農段,2236.65,都市：農
RPQOMLPKQHNFFBD48CA,和農段,114.59,都市：農
RPQOMLPKQHNFFBD48CA,和農段,582.60,都市：農
RPXNMLPKQHNFFBD09CA,和農段,103.77,都市：農
RPXNMLPKQHNFFBD09CA,和農段,1101.00,都市：農
RPXNMLPKQHNFFBD09CA,和農段,89.45,都市：農
RPPNMLOKQHNFFBD18CA,怡北段,18.49,都市：住
RPPNMLOKQHNFFBD18CA,怡北段,153.45,都市：住
RPQOMLOKQHNFFBD38CA,安中段,102.82,都市：住
RPUNMLTJRHNFFAD09CA,頂美段,12.43,都市：住
RPQNMLTKQHNFFBD78CA,新順段,32.59,都市：住
RPRNMLTKQHNFFBD88CA,新順段,20.45,都市：住
RPPNMLPKQHNFFCD38CA,鹽埕段,196.00,都市：住
RPPNMLQLQHNFFBD48CA,溪墘段,186.12,都市：住
RPWNMLLLQHNFFBD68CA,學東段,72.71,都市：住
RPUNMLMLQHNFFBD58CA,學東段,82.57,都市：住
RPPOMLLLQHNFFBD08CA,幸福段,92.50,都市：住
RPXNMLOKQHNFFCD09CA,精忠段,61.00,都市：住
RPVOMLPKQHNFFCD09CA,大山段,28.11,都市：住
RPWOMLPKQHNFFCD56CA,大山段,32.35,都市：住
RPXNMLRKQHNFFCD76CA,大同段,249.31,都市：其他
RPSNMLRKQHNFFCD88CA,竹篙厝段,14.46,都市：住
RPOOMLLLQHNFFCD08CA,東寧段,10.36,都市：其他
RPOOMLLLQHNFFCD08CA,東寧段,1.52,都市：住
RPOOMLLLQHNFFCD08CA,東寧段,.02,都市：其他
RPOOMLLLQHNFFCD08CA,東寧段,8.69,都市：其他
RPOOMLLLQHNFFCD08CA,東寧段,.02,都市：住
RPOOMLLLQHNFFCD08CA,東寧段,.17,都市：其他
RPPNMLTKQHNFFCD78CA,光明段,.07,都市：住
RPPNMLTKQHNFFCD78CA,光明段,30.53,都市：住
RPTNMLTLQHNFFDD76CA,雙和段,1093.56,都市：其他
RPTNMLTLQHNFFDD76CA,雙和段,1093.48,都市：其他
RPTNMLTLQHNFFDD76CA,雙和段,1094.39,都市：其他
RPTNMLTLQHNFFDD76CA,雙和段,1094.25,都市：其他
RPRNMLKKRHNFFCD18CA,水交社段,9.99,都市：住
RPRNMLKKRHNFFCD18CA,水交社段,4.91,都市：住
RPRNMLKKRHNFFCD18CA,水交社段,4.86,都市：住
RPOOMLPKQHNFFDD48CA,新茄苳段,1068.54,都市：其他
RPRNMLOKQHNFFFD78CA,磚子井段,103.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOKQHNFFFD78CA,磚子井段,579.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOKQHNFFFD78CA,磚子井段,178.00,非都市：鄉村區 ; 非都市編定：交通用地
RPRNMLQKQHNFFED88CA,竹子門段,1387.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOKQHNFFED78CA,吉貝耍段,1948.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLNLQHNFFCD09CA,府東段,28.63,都市：住
RPXNMLNLQHNFFCD09CA,府東段,.00,都市：其他
RPXNMLNLQHNFFCD09CA,府東段,.06,都市：其他
RPXNMLNLQHNFFCD09CA,府東段,.04,都市：其他
RPXNMLNLQHNFFCD09CA,府東段,.06,都市：其他
RPVNMLKKRHNFFCD58CA,水交社段,12.32,都市：住
RPVNMLKKRHNFFCD58CA,水交社段,6.06,都市：住
RPVNMLKKRHNFFCD58CA,水交社段,5.99,都市：住
RPPNMLOKQHNFFFD58CA,新建段,8.20,都市：住
RPPNMLOKQHNFFFD58CA,新建段,5.80,都市：住
RPTNMLLLQHNFFCD48CA,新東段,28.64,都市：住
RPTNMLLLQHNFFCD48CA,新東段,.59,都市：其他
RPSNMLLMQHNFFFD78CA,朝天段,1933.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPROMLQKQHNFFFD09CA,民權段,74.19,都市：住
RPROMLQKQHNFFFD09CA,民權段,73.75,都市：住
RPTNMLKMQHNFFFD78CA,茅港尾段,33.50,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLKMQHNFFFD78CA,茅港尾段,147.25,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLKMQHNFFFD78CA,茅港尾段,705.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLOKQHNFFFD68CA,文正段,58.40,都市：住
RPQNMLRJRHNFFFD98CA,茅港尾段,31.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLOKQHNFFGD88CA,忠興段,148.00,非都市：特定農業區 ; 非都市編定：農牧用地
