編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRPMLLMIINFFEE28CB,援中段一小段,13.28,都市：商
RPTOMLLMIINFFEE38CB,援中段一小段,14.14,都市：商
RPOPMLLMIINFFEE97CB,援中段一小段,13.28,都市：商
RPSPMLLMIINFFEE38CB,援中段一小段,13.28,都市：商
RPPPMLLMIINFFEE08CB,援中段一小段,13.28,都市：商
RPQPMLLMIINFFEE18CB,援中段一小段,13.56,都市：商
RPVPMLLMIINFFEE68CB,援中段一小段,13.56,都市：商
RPUOMLLMIINFFEE48CB,援中段一小段,13.28,都市：商
RPUPMLLMIINFFEE58CB,援中段一小段,13.28,都市：商
RPXOMLLMIINFFEE78CB,援中段一小段,13.28,都市：商
RPWOMLLMIINFFEE68CB,援中段一小段,13.28,都市：商
RPUQMLLMIINFFEE68CB,援中段一小段,10.42,都市：商
RPWPMLLMIINFFEE78CB,援中段一小段,13.56,都市：商
RPXPMLLMIINFFEE88CB,援中段一小段,13.42,都市：商
RPOQMLLMIINFFEE08CB,援中段一小段,13.56,都市：商
RPVQMLLMIINFFEE78CB,援中段一小段,10.42,都市：商
RPRRMLLMIINFFEE48CB,援中段一小段,10.42,都市：商
RPXOMLLJJINFFEE58CB,援中段一小段,10.42,都市：商
RPOPMLLJJINFFEE77CB,援中段一小段,10.42,都市：商
RPWOMLLJJINFFEE48CB,援中段一小段,10.42,都市：商
RPSPMLLJJINFFEE18CB,援中段一小段,10.42,都市：商
RPUPMLLJJINFFEE38CB,援中段一小段,13.71,都市：商
RPRPMLLJJINFFEE08CB,援中段一小段,10.42,都市：商
RPWNMLMJJINFFEE48CB,援中段一小段,13.85,都市：商
RPWPMLLJJINFFEE58CB,援中段一小段,13.85,都市：商
RPTPMLMJJINFFEE38CB,援中段一小段,13.99,都市：商
RPUNMLMJJINFFEE28CB,援中段一小段,13.85,都市：商
RPXNMLMJJINFFEE58CB,援中段一小段,13.99,都市：商
RPXPMLLJJINFFEE68CB,援中段一小段,13.99,都市：商
RPVNMLMJJINFFEE38CB,援中段一小段,13.85,都市：商
RPQPMLMJJINFFEE08CB,援中段一小段,13.99,都市：商
RPOPMLRJJINFFEE38CB,援中段一小段,13.99,都市：商
RPWPMLMJJINFFEE68CB,援中段一小段,13.85,都市：商
RPUPMLMJJINFFEE48CB,援中段一小段,13.85,都市：商
RPRPMLRJJINFFEE68CB,援中段一小段,13.99,都市：商
RPQPMLRJJINFFEE58CB,援中段一小段,13.99,都市：商
RPXOMLSJJINFFEE66CB,援中段一小段,10.42,都市：商
RPWOMLSJJINFFEE56CB,援中段一小段,10.42,都市：商
RPTPMLRJJINFFEE88CB,援中段一小段,13.99,都市：商
RPSQMLRJJINFFEE88CB,援中段一小段,10.42,都市：商
RPRQMLRJJINFFEE78CB,援中段一小段,10.42,都市：商
RPSPMLRJJINFFEE78CB,援中段一小段,13.99,都市：商
RPOPMLSJJINFFEE48CB,援中段一小段,10.42,都市：商
RPPPMLSJJINFFEE58CB,援中段一小段,10.42,都市：商
RPVPMLSJJINFFEE56CB,援中段一小段,12.28,都市：商
RPQPMLSJJINFFEE68CB,援中段一小段,10.42,都市：商
RPSPMLSJJINFFEE88CB,援中段一小段,12.28,都市：商
RPXPMLSJJINFFEE76CB,援中段一小段,13.71,都市：商
RPUPMLSJJINFFEE09CB,援中段一小段,12.42,都市：商
RPRPMLSJJINFFEE78CB,援中段一小段,10.42,都市：商
RPQQMLSJJINFFEE78CB,援中段一小段,13.56,都市：商
RPTPMLSJJINFFEE98CB,援中段一小段,12.28,都市：商
RPUQMLSJJINFFEE56CB,援中段一小段,13.42,都市：商
RPSQMLSJJINFFEE98CB,援中段一小段,13.56,都市：商
RPVQMLSJJINFFEE66CB,援中段一小段,13.56,都市：商
RPXQMLSJJINFFEE86CB,援中段一小段,13.56,都市：商
RPWQMLSJJINFFEE76CB,援中段一小段,13.42,都市：商
RPRQMLSJJINFFEE88CB,援中段一小段,13.56,都市：商
