編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPTOMLLMIINFFEE38CB,坡道平面,1250000,33.79
RPQPMLLMIINFFEE18CB,坡道平面,1300000,33.79
RPVPMLLMIINFFEE68CB,坡道平面,1300000,33.79
RPWPMLLMIINFFEE78CB,坡道平面,1300000,33.79
RPXPMLLMIINFFEE88CB,坡道機械,880000,24.53
RPOQMLLMIINFFEE08CB,坡道平面,1300000,33.79
RPWNMLMJJINFFEE48CB,坡道機械,820000,24.53
RPWPMLLJJINFFEE58CB,坡道機械,880000,24.53
RPUNMLMJJINFFEE28CB,坡道機械,880000,24.53
RPXNMLMJJINFFEE58CB,坡道平面,1300000,33.79
RPXPMLLJJINFFEE68CB,坡道平面,1300000,33.79
RPVNMLMJJINFFEE38CB,坡道機械,820000,26.29
RPQPMLMJJINFFEE08CB,坡道平面,1250000,33.79
RPOPMLRJJINFFEE38CB,坡道機械,820000,24.53
RPRPMLRJJINFFEE68CB,坡道機械,880000,24.53
RPQPMLRJJINFFEE58CB,坡道機械,820000,24.53
RPTPMLRJJINFFEE88CB,坡道機械,820000,24.53
RPSPMLRJJINFFEE78CB,坡道機械,880000,24.53
RPXPMLSJJINFFEE76CB,坡道平面,1300000,33.79
RPUPMLSJJINFFEE09CB,坡道機械,820000,24.53
RPQQMLSJJINFFEE78CB,坡道平面,1300000,33.79
RPUQMLSJJINFFEE56CB,坡道機械,820000,24.53
RPSQMLSJJINFFEE98CB,坡道平面,1300000,33.79
RPVQMLSJJINFFEE66CB,坡道平面,1300000,33.79
RPXQMLSJJINFFEE86CB,坡道平面,1350000,33.79
RPWQMLSJJINFFEE76CB,坡道機械,820000,24.53
RPRQMLSJJINFFEE88CB,坡道平面,1250000,33.79
