編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLLKQHNFFCE38CC,瑞崗段四小段,2.00,都市：商
RPQNMLLKQHNFFCE38CC,瑞崗段四小段,55.00,都市：住
RPQNMLLKQHNFFCE38CC,瑞崗段四小段,1.00,都市：商
RPPNMLMKQHNFFIE09DC,新後港西段,88.11,都市：住
RPPNMLMKQHNFFIE09DC,新後港西段,2.65,都市：住
RPTNMLLKQHNFFGE09CC,青年段,.00,都市：住
RPUNMLLKQHNFFGE56CC,七老爺段一甲小段,.00,都市：住
RPRNMLLKQHNFFCE48CC,憲德段,186.00,都市：商
RPSNMLLKQHNFFGE98CC,文山段,.00,都市：住
RPPOMLNKQHNFFCE58CC,愛群段,17.17,都市：商
RPQNMLMKQHNFFIE56DC,新後港西段,88.11,都市：住
RPPOMLNKQHNFFCE58CC,愛群段,.02,都市：商
RPQNMLMKQHNFFIE56DC,新後港西段,2.60,都市：住
RPRNMLNKQHNFFBE58CC,林德官段一小段,6.25,都市：商
RPPNMLLKQHNFFEE48CC,左東段,14.78,都市：住
RPVNMLNKQHNFFBE98CC,林德官段二小段,57.33,都市：住
RPXNMLOKQHNFFBE66CC,新興段二小段,.00,非都市： ; 非都市編定：
RPSNMLOKQHNFFBE78CC,苓東段,64.00,都市：商
RPOOMLOKQHNFFBE48CC,大統段一小段,73.00,都市：商
RPTNMLOKQHNFFBE88CC,苓東段,64.00,都市：商
RPWOMLNKQHNFFEE86CC,福民段,9.49,都市：住
RPQNMLOKQHNFFBE58CC,林德官段二小段,59.74,都市：住
RPQOMLOKQHNFFBE68CC,大統段一小段,57.15,都市：商
RPPOMLOKQHNFFAE48CC,東金段,77.23,都市：商
RPOPMLNKQHNFFEE78CC,楠梓段三小段,.00,都市：住
RPROMLOKQHNFFAE68CC,青海段,27.13,都市：住
RPOOMLOKQHNFFAE38CC,前金段,3.00,都市：商
RPOPMLOKQHNFFDE78CC,大港段三小段,261.00,都市：商
