編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPVNMLNKQHNFFBG98CA,坡道平面,0,
RPSOMLSLQHNFFAG66CA,升降機械,0,
RPWNMLMLQHNFFBG09CA,坡道平面,0,
RPTNMLKLQHNFFAG48CA,坡道平面,0,
RPRNMLMLQHNFFBG58CA,一樓平面,760000,33.95
RPXOMLLLQHNFFBG56CA,坡道平面,0,
RPSNMLRJRHNFFAG98CA,坡道平面,0,
RPTNMLMLQHNFFAG68CA,一樓平面,0,
RPWNMLNJRHNFFAG98CA,升降機械,0,
RPPNMLPLQHNFFAG58CA,坡道平面,0,
RPPNMLPLQHNFFAG58CA,坡道平面,0,
RPPNMLRLQHNFFAG78CA,坡道平面,0,
RPUNMLPJRHNFFAG98CA,一樓平面,0,31.40
RPTPMLKMQHNFFBG88CA,坡道平面,1100000,52.96
RPQNMLTLQHNFFBG76EA,一樓平面,0,
RPPOMLRLQHNFFBG98CA,坡道平面,0,
RPRNMLSLQHNFFBG56CA,坡道平面,0,
RPOOMLRLQHNFFAG78CA,一樓平面,0,
RPQNMLLMQHNFFAG38CA,坡道平面,0,
RPSNMLTLQHNFFAG66CA,坡道平面,0,
RPXNMLOJRHNFFAG56CA,一樓平面,0,
RPRNMLKMQHNFFBG48CA,坡道平面,900000,31.40
RPUNMLKMQHNFFBG78CA,坡道平面,1000000,31.40
RPTNMLOJRHNFFAG78CA,坡道平面,0,
RPXOMLQJRHNFFAG86CA,一樓平面,0,
RPTNMLMLIINFFBG08CA,坡道平面,0,
RPTNMLMLIINFFBG08CA,坡道平面,0,
RPPOMLOJRHNFFBG58CA,坡道平面,0,
RPPOMLOJRHNFFBG58CA,坡道平面,0,
RPPOMLOJRHNFFBG58CA,坡道平面,0,
RPOQMLPJRHNFFBG78CA,坡道平面,1100000,45.85
RPOQMLPJRHNFFBG78CA,坡道平面,1100000,52.96
RPQOMLOJRHNFFBG68CA,坡道平面,0,
RPQOMLOJRHNFFAG78EA,坡道平面,0,
RPUNMLMKRHNFFBG88CA,坡道平面,0,
RPVNMLQJRHNFFAG56CA,升降機械,0,
RPXNMLLKRHNFFAG98CA,坡道平面,0,
RPXNMLLKRHNFFAG98CA,坡道平面,0,
RPVNMLSKRHNFFAG86CA,坡道平面,0,
RPVNMLSKRHNFFAG86CA,坡道平面,0,
RPSNMLMKRHNFFBG68CA,坡道平面,0,
RPWNMLSKRHNFFAG96CA,坡道平面,0,
RPWNMLSKRHNFFAG96CA,坡道平面,0,
