編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXOMLPJRHNFFAO57CA,坡道平面,1200000,
RPXOMLNJRHNFFAO37CA,坡道平面,0,
RPVNMLNJRHNFFAO07CA,坡道平面,0,29.38
RPSNMLKMQHNFFAO66CA,坡道平面,0,
RPSNMLKMQHNFFAO66CA,坡道平面,0,
RPVRMLPKQHNFFAO67CA,坡道平面,0,29.43
RPOOMLQKQHNFFAO76CA,坡道平面,0,
RPXNMLOLQHNFFAO47CA,坡道平面,550000,21.68
RPPPMLKLQHNFFAO09CA,坡道平面,0,
RPPPMLKLQHNFFAO09CA,坡道平面,0,
RPPPMLKLQHNFFAO09CA,坡道平面,0,
RPSSMLLLQHNFFAO17CA,坡道平面,0,
RPQNMLTKQHNFFAO17CA,坡道平面,0,33.07
RPTPMLRKQHNFFAO47CA,坡道平面,1300000,21.74
RPVPMLRKQHNFFAO67CA,坡道機械,680000,
RPXPMLOJRHNFFAO57CA,坡道機械,0,
RPVNMLLLQHNFFAO17EA,坡道機械,0,
RPVNMLLLQHNFFAO17EA,坡道機械,0,
RPSRMLSLRHNFFAO08EA,一樓平面,0,
RPORMLOJRHNFFAO86CA,升降機械,0,
RPSRMLOJRHNFFAO27CA,坡道平面,0,
RPXPMLRKQHNFFAO87CA,坡道平面,0,38.30
RPXPMLRKQHNFFAO87CA,坡道平面,0,38.30
RPRNMLOJRHNFFAO76CA,坡道平面,0,35.42
RPRNMLOJRHNFFAO76CA,坡道平面,0,35.42
RPQOMLMLQHNFFAO66CA,坡道平面,0,
RPSOMLKLQHNFFAO66CA,坡道平面,0,34.91
RPROMLNLQHNFFAO86CA,坡道平面,1550000,40.38
RPQPMLOKRHNFFAO96CA,坡道平面,0,
RPQOMLTKQHNFFAO27CA,坡道平面,0,
RPTNMLKLQHNFFAO66CA,坡道平面,0,
RPUNMLMJRHNFFAO86CA,坡道平面,0,31.52
RPQOMLNLQHNFFAO86DA,坡道平面,0,
RPRRMLOJRHNFFAO17CA,升降機械,0,
RPXOMLQJRHNFFAO67CA,坡道平面,0,
RPXQMLOJRHNFFAO67CA,坡道平面,0,
RPVPMLLLQHNFFAO17CA,坡道平面,0,
RPRSMLLLQHNFFAO07CA,坡道平面,950000,29.29
RPRSMLLLQHNFFAO07CA,坡道平面,950000,29.29
RPQNMLOLQHNFFAO76CA,坡道平面,1200000,31.22
RPSNMLOLQHNFFAO96CA,坡道平面,1100000,25.24
RPXOMLMLQHNFFAO37CA,坡道機械,0,
RPOOMLMJRHNFFAO98CA,坡道平面,0,28.26
RPVNMLMJRHNFFAO96CA,坡道平面,0,28.26
RPXNMLMJRHNFFAO17CA,坡道平面,0,26.03
RPPOMLMJRHNFFAO09CA,坡道平面,0,28.26
RPOPMLSLQHNFFAO17CA,一樓平面,0,
RPROMLMJRHNFFAO66CA,坡道平面,0,28.26
RPUOMLMJRHNFFAO96CA,坡道平面,0,28.26
RPSOMLMJRHNFFAO76CA,坡道平面,0,28.26
RPVOMLMJRHNFFAO07CA,坡道平面,0,28.26
RPVOMLMJRHNFFAO07CA,坡道平面,0,28.26
RPSNMLMJRHNFFAO66CA,坡道平面,0,28.26
RPTOMLMJRHNFFAO86CA,坡道平面,0,28.26
SPTNMLMJRHNFFAO86CA,坡道平面,0,28.26
RPTNMLMJRHNFFAO76CA,坡道平面,0,28.26
RPPNMLSJIINFFAO98EA,坡道機械,0,
RPUPMLTKRHNFFAO87CA,坡道平面,0,33.71
RPUPMLTKRHNFFAO87CA,坡道平面,0,33.71
RPTPMLSKRHNFFAO67CA,坡道平面,0,24.09
RPPNMLPJRHNFFAO66CA,坡道平面,0,
RPTNMLSLQHNFFAO47CA,坡道平面,0,
RPSOMLOLQHNFFAO07CA,坡道平面,0,
RPQQMLSLQHNFFAO47CA,坡道機械,0,
RPOQMLSLQHNFFAO27CA,坡道平面,0,
RPOQMLSLQHNFFAO27CA,坡道平面,0,
RPXPMLKMQHNFFAO37CA,坡道機械,270000,19.13
RPSQMLTLQHNFFAO77CA,坡道平面,520000,38.27
RPRQMLTLQHNFFAO67CA,坡道機械,280000,19.13
RPOQMLKMQHNFFAO56CA,坡道機械,270000,19.13
RPQQMLTLQHNFFAO57CA,坡道機械,270000,19.13
RPPOMLKMQHNFFAO09CA,坡道平面,0,
RPQSMLSLQHNFFAO67CA,坡道機械,270000,19.13
RPPNMLTJRHNFFAO07CA,坡道平面,1300000,25.24
RPUQMLOJRHNFFAO37CA,一樓平面,0,44.82
RPUNMLKKRHNFFAO76CA,坡道平面,0,
RPPOMLRJRHNFFAO96CA,坡道平面,0,
RPQOMLRJRHNFFAO07CA,坡道平面,0,
RPRNMLTJRHNFFAO27CA,坡道平面,0,
RPQRMLOJRHNFFAO07CA,坡道機械,0,
RPRNMLPJRHNFFAO86CA,坡道平面,0,33.07
RPSPMLOJRHNFFAO07CA,坡道機械,0,
RPPRMLSLQHNFFAO47CA,坡道平面,0,
RPPRMLSLQHNFFAO47CA,坡道平面,0,
RPSNMLPJRHNFFAO96CA,坡道平面,0,
RPUNMLOLQHNFFAO17CA,坡道平面,0,
RPSNMLSLQHNFFAO37CA,坡道平面,0,
RPXNMLLKIINFFAO56EA,升降平面,0,
RPWRMLKLRHNFFAO47CA,一樓平面,0,
RPVNMLPLRHNFFAO47CA,坡道機械,800000,7.00
RPPOMLSLQHNFFAO17CA,坡道平面,0,29.76
RPPOMLSLQHNFFAO17CA,坡道平面,0,29.76
RPQOMLSLQHNFFAO27CA,坡道平面,0,39.91
RPWOMLSLQHNFFAO87CA,坡道機械,0,
RPQOMLKMQHNFFAO56CA,坡道平面,0,25.24
RPXNMLTLQHNFFAO97CA,坡道平面,0,
RPXNMLTLQHNFFAO97CA,坡道平面,0,
RPWNMLTLQHNFFAO87CA,坡道平面,0,
RPWNMLTLQHNFFAO87CA,坡道平面,0,
RPWNMLTLQHNFFAO87CA,坡道平面,0,
RPRPMLSLQHNFFAO47CA,坡道平面,1450000,29.29
RPRPMLSLQHNFFAO47CA,坡道平面,1450000,29.29
RPTNMLLJRHNFFAO66CA,坡道平面,0,
RPRRMLSLQHNFFAO67CA,坡道機械,0,
RPXNMLNJRHNFFAO27CA,坡道平面,0,
RPOPMLNJRHNFFAO56CA,坡道平面,0,
RPQOMLOJRHNFFAO76CA,坡道平面,0,
RPXNMLOJRHNFFAO37CA,坡道平面,0,
RPVOMLOJRHNFFAO27CA,升降平面,0,
RPPQMLOJRHNFFAO86CA,坡道平面,0,
RPPQMLOJRHNFFAO86CA,坡道平面,0,
RPTPMLPJRHNFFAO27CA,坡道平面,0,
RPWPMLKMQHNFFAO27CA,坡道機械,0,
RPVQMLKLRHNFFAO27CA,坡道平面,0,
RPVOMLRKRHNFFAO67CA,坡道平面,0,33.07
