編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPQNMLLLQHNFFAX37CA,坡道平面,0,
RPRNMLTLQHNFFAX28CA,坡道機械,0,
RPPNMLNKRHNFFAX47CA,坡道平面,500000,23.03
RPPNMLNKRHNFFAX47CA,坡道平面,500000,23.03
RPPNMLNKRHNFFAX47CA,坡道平面,500000,23.03
RPPNMLNKRHNFFAX47CA,坡道平面,500000,23.03
RPQNMLNKRHNFFAX57CA,坡道平面,500000,23.03
RPQNMLNKRHNFFAX57CA,坡道平面,500000,23.03
RPQNMLNKRHNFFAX57CA,坡道平面,500000,23.03
RPPOMLNKRHNFFAX57CA,一樓平面,600000,23.03
RPPOMLNKRHNFFAX57CA,一樓平面,600000,23.03
RPPOMLNKRHNFFAX57CA,一樓平面,600000,23.03
RPQNMLSJIINFFAX27DA,坡道機械,0,
RPVNMLQLIINFFAX67CA,一樓平面,0,
RPPNMLTLIINFFAX37CA,坡道平面,0,
