編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLMKJINFFBC47CC,忠義段六小段,.00,都市：住
RPPNMLMKJINFFBC47CC,忠義段六小段,.00,都市：其他
RPPOMLPKJINFFCC97CC,大華段,.00,都市：商
RPOOMLNKJINFFBC57CC,延平段,3.17,都市：商
RPSOMLRLJINFFBC48CC,延年段,75.00,都市：住
RPQNMLMKJINFFBC57CC,調和段,.00,都市：住
RPQNMLRLKINFFBC28CC,深澳段,24.51,都市：住
RPVNMLQKJHOFFCC68DC,麥金段,14.28,都市：住
RPVNMLQKJHOFFCC68DC,麥金段,.55,都市：住
RPVNMLQKJHOFFCC68DC,麥金段,.32,都市：住
RPVNMLQKJHOFFCC68DC,麥金段,.29,都市：其他
RPVNMLQKJHOFFCC68DC,麥金段,.03,都市：住
RPVNMLQKJHOFFCC68DC,麥金段,.02,都市：住
RPVNMLQKJHOFFCC68DC,麥金段,.00,都市：住
RPVNMLQKJHOFFCC68DC,麥金段,.00,都市：住
