編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXOMLMKKHOFFAH78CB,坡道平面,1800000,40.77
RPOPMLMKKHOFFAH97CB,坡道平面,1650000,39.68
RPPPMLMKKHOFFAH08CB,坡道平面,1700000,40.77
RPVOMLMKKHOFFAH58CB,坡道平面,1700000,39.68
RPRPMLMKKHOFFAH28CB,坡道平面,1650000,40.77
RPQPMLMKKHOFFAH18CB,坡道平面,1700000,40.77
RPWOMLMKKHOFFAH68CB,坡道平面,1700000,40.77
RPUPMLMKKHOFFAH58CB,坡道平面,1650000,40.77
RPTPMLMKKHOFFAH48CB,坡道平面,1450000,40.77
RPTPMLMKKHOFFAH48CB,坡道平面,1450000,40.77
RPVPMLMKKHOFFAH68CB,坡道平面,1700000,39.68
RPOQMLMKKHOFFAH08CB,坡道平面,1700000,40.77
RPSPMLMKKHOFFAH38CB,坡道平面,1750000,40.77
RPPQMLMKKHOFFAH18CB,坡道平面,1750000,40.77
RPXPMLMKKHOFFAH88CB,坡道平面,1750000,40.77
RPSQMLMKKHOFFAH48CB,坡道平面,1750000,40.77
RPRQMLMKKHOFFAH38CB,坡道平面,1700000,40.77
RPWPMLMKKHOFFAH78CB,坡道平面,1750000,40.77
RPQQMLMKKHOFFAH28CB,坡道平面,1750000,40.77
RPUQMLMKKHOFFAH68CB,坡道平面,1700000,40.77
RPXQMLMKKHOFFAH98CB,坡道平面,1650000,40.77
RPVQMLMKKHOFFAH78CB,坡道平面,1800000,40.77
RPTOMLMLKHOFFBH58CB,坡道平面,1500000,24.54
RPXNMLPKKHOFFDH66CB,坡道平面,1100000,31.70
RPWQMLMKKHOFFAH88CB,坡道平面,1750000,40.77
RPWNMLPKKHOFFDH56CB,坡道平面,1232000,29.20
RPTQMLMKKHOFFAH58CB,坡道平面,1750000,40.77
RPVOMLMLKHOFFBH78CB,坡道平面,1400000,24.54
RPOPMLMLKHOFFBH18CB,坡道平面,1400000,24.54
RPXOMLMLKHOFFBH98CB,坡道平面,1400000,24.54
RPPPMLMLKHOFFBH28CB,坡道平面,1500000,24.54
RPOQMLMLKHOFFBH28CB,坡道平面,1500000,24.54
RPVPMLMLKHOFFBH88CB,坡道平面,1400000,24.54
RPPQMLMLKHOFFBH38CB,坡道平面,1500000,24.54
RPWPMLMLKHOFFBH98CB,坡道平面,1500000,24.54
RPQQMLMLKHOFFBH48CB,坡道平面,1400000,24.54
RPRQMLMLKHOFFBH58CB,坡道平面,1500000,24.54
RPXNMLKKMHOFFAH68CB,升降機械,900000,14.62
RPQOMLKKMHOFFAH08CB,坡道平面,1700000,22.34
RPUOMLKKMHOFFAH48CB,坡道平面,1800000,22.34
RPROMLKKMHOFFAH18CB,坡道平面,1700000,22.34
RPTOMLKKMHOFFAH38CB,坡道平面,1700000,21.23
RPVOMLKKMHOFFAH58CB,升降機械,950000,14.15
RPSOMLKKMHOFFAH28CB,坡道平面,1600000,22.34
RPWNMLKKMHOFFAH58CB,升降機械,850000,13.59
RPOPMLKKMHOFFAH97CB,升降機械,900000,13.78
RPXOMLKKMHOFFAH78CB,升降機械,850000,13.78
RPPPMLKKMHOFFAH08CB,坡道平面,1700000,22.34
RPTPMLKKMHOFFAH48CB,升降機械,900000,14.24
RPSPMLKKMHOFFAH38CB,升降機械,900000,13.78
RPUPMLKKMHOFFAH58CB,升降機械,850000,14.62
RPVPMLKKMHOFFAH68CB,升降機械,850000,13.78
RPWPMLKKMHOFFAH78CB,升降機械,900000,13.78
RPOQMLKKMHOFFAH08CB,升降機械,900000,14.24
RPXPMLKKMHOFFAH88CB,坡道平面,1600000,21.23
RPQQMLKKMHOFFAH28CB,坡道平面,1700000,21.23
RPPQMLKKMHOFFAH18CB,升降機械,850000,14.24
RPSQMLKKMHOFFAH48CB,升降機械,950000,14.06
RPRQMLKKMHOFFAH38CB,坡道平面,1700000,22.34
RPRRMLKKMHOFFAH48CB,坡道平面,1700000,22.34
RPQRMLKKMHOFFAH38CB,坡道平面,1700000,22.34
RPORMLKKMHOFFAH18CB,升降機械,900000,13.59
RPWQMLKKMHOFFAH88CB,升降機械,850000,13.78
RPWRMLKKMHOFFAH98CB,升降機械,900000,14.24
RPSRMLKKMHOFFAH58CB,升降機械,900000,13.59
RPTRMLKKMHOFFAH68CB,升降機械,950000,14.24
RPVRMLKKMHOFFAH88CB,升降機械,900000,14.24
RPURMLKKMHOFFAH78CB,升降機械,950000,13.78
RPPSMLKKMHOFFAH38CB,升降機械,850000,13.78
RPOSMLKKMHOFFAH28CB,升降機械,900000,14.06
RPQSMLKKMHOFFAH48CB,坡道平面,1800000,22.34
RPSSMLKKMHOFFAH68CB,坡道平面,1700000,22.34
RPUSMLKKMHOFFAH88CB,升降機械,850000,14.15
RPTSMLKKMHOFFAH78CB,升降機械,900000,14.06
RPPTMLKKMHOFFAH48CB,升降機械,900000,14.15
RPWSMLKKMHOFFAH09CB,升降機械,900000,13.59
RPRSMLKKMHOFFAH58CB,坡道平面,1800000,22.34
RPVTMLKKMHOFFAH09CB,升降機械,950000,13.78
RPUTMLKKMHOFFAH98CB,坡道平面,1700000,22.34
RPRTMLKKMHOFFAH68CB,升降機械,900000,13.78
RPQTMLKKMHOFFAH58CB,坡道平面,1700000,22.34
RPWTMLKKMHOFFAH56CB,升降機械,620000,21.23
RPUUMLKKMHOFFAH09CB,升降機械,850000,14.06
RPOUMLKKMHOFFAH48CB,升降機械,900000,14.24
RPPUMLKKMHOFFAH58CB,升降機械,900000,14.15
RPWUMLKKMHOFFAH66CB,升降機械,900000,13.78
RPRUMLKKMHOFFAH78CB,坡道平面,1700000,22.34
RPVUMLKKMHOFFAH56CB,升降機械,1800000,22.34
RPSUMLKKMHOFFAH88CB,升降機械,850000,13.78
RPTUMLKKMHOFFAH98CB,坡道平面,1700000,22.34
RPOVMLKKMHOFFAH58CB,坡道平面,1700000,22.34
RPRVMLKKMHOFFAH88CB,坡道平面,1600000,22.34
RPTVMLKKMHOFFAH09CB,升降機械,900000,14.06
RPSVMLKKMHOFFAH98CB,坡道平面,1700000,22.34
RPPWMLKKMHOFFAH78CB,坡道平面,1700000,21.23
RPUVMLKKMHOFFAH56CB,坡道平面,1600000,21.23
RPOWMLKKMHOFFAH68CB,升降機械,900000,13.78
RPVVMLKKMHOFFAH66CB,升降機械,900000,14.24
RPXVMLKKMHOFFAH86CB,坡道平面,1700000,21.23
RPQWMLKKMHOFFAH88CB,坡道平面,1800000,22.34
RPPVMLKKMHOFFAH68CB,升降機械,900000,13.78
RPSWMLKKMHOFFAH09CB,升降機械,950000,13.59
RPWVMLKKMHOFFAH76CB,坡道平面,1600000,22.65
RPTWMLKKMHOFFAH56CB,坡道平面,1800000,22.34
RPVWMLKKMHOFFAH76CB,坡道平面,1700000,22.34
RPUWMLKKMHOFFAH66CB,坡道平面,1700000,22.34
RPWWMLKKMHOFFAH86CB,升降機械,850000,13.78
RPONNLKKMHOFFAH87CB,升降機械,900000,13.78
RPPNNLKKMHOFFAH97CB,坡道平面,1700000,22.34
RPXWMLKKMHOFFAH96CB,升降機械,950000,14.24
RPRNNLKKMHOFFAH18CB,坡道平面,1800000,22.34
RPTNNLKKMHOFFAH38CB,坡道平面,1700000,21.23
RPVNNLKKMHOFFAH58CB,升降機械,950000,13.59
RPUNNLKKMHOFFAH48CB,坡道平面,1700000,22.34
RPQNNLKKMHOFFAH08CB,升降機械,850000,14.06
RPOONLKKMHOFFAH97CB,坡道平面,1800000,22.34
RPXNNLKKMHOFFAH78CB,升降機械,950000,13.78
RPWNNLKKMHOFFAH68CB,坡道平面,1700000,22.34
RPPONLKKMHOFFAH08CB,坡道平面,1800000,22.34
RPRONLKKMHOFFAH28CB,坡道平面,1800000,22.34
RPSNNLKKMHOFFAH28CB,坡道平面,1700000,21.23
RPTONLKKMHOFFAH48CB,升降機械,850000,14.62
RPVONLKKMHOFFAH68CB,坡道平面,1700000,21.23
RPXONLKKMHOFFAH88CB,坡道平面,1600000,21.23
RPWONLKKMHOFFAH78CB,坡道平面,1800000,22.34
RPOPNLKKMHOFFAH08CB,坡道平面,1800000,22.34
RPQPNLKKMHOFFAH28CB,升降機械,850000,13.78
RPSPNLKKMHOFFAH48CB,升降機械,850000,14.06
RPTPNLKKMHOFFAH58CB,升降機械,850000,14.62
RPUPNLKKMHOFFAH68CB,升降機械,850000,14.06
RPXPNLKKMHOFFAH98CB,升降機械,900000,14.24
RPWPNLKKMHOFFAH88CB,坡道平面,1700000,22.34
RPPQNLKKMHOFFAH28CB,升降機械,850000,13.78
RPTQNLKKMHOFFAH68CB,坡道平面,1700000,22.34
RPORNLKKMHOFFAH28CB,升降機械,900000,14.62
RPXQNLKKMHOFFAH09CB,坡道平面,1800000,22.34
RPUQNLKKMHOFFAH78CB,升降機械,900000,14.62
RPQRNLKKMHOFFAH48CB,坡道平面,1800000,22.34
RPPRNLKKMHOFFAH38CB,升降機械,850000,14.62
RPSRNLKKMHOFFAH68CB,坡道平面,1600000,22.34
RPTRNLKKMHOFFAH78CB,坡道平面,1800000,22.34
RPRRNLKKMHOFFAH58CB,坡道平面,1700000,22.34
RPWRNLKKMHOFFAH09CB,升降機械,950000,13.78
RPURNLKKMHOFFAH88CB,升降機械,850000,14.24
RPRSNLKKMHOFFAH68CB,升降機械,850000,14.15
RPSSNLKKMHOFFAH78CB,升降機械,850000,14.24
RPPSNLKKMHOFFAH48CB,升降機械,950000,14.62
RPVRNLKKMHOFFAH98CB,升降機械,850000,14.24
RPXRNLKKMHOFFAH56CB,坡道平面,1700000,22.34
RPXSNLKKMHOFFAH66CB,升降機械,900000,13.59
RPRTNLKKMHOFFAH78CB,升降機械,950000,14.62
RPWSNLKKMHOFFAH56CB,坡道平面,1700000,22.34
RPQTNLKKMHOFFAH68CB,升降機械,950000,14.24
