編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPTOMLOKKHOFFBJ98CC,坡道機械,0,37.25
RPWOMLNKKHOFFBJ56CC,坡道平面,0,
RPSQMLSKKHOFFBJ96DC,坡道平面,0,13.40
RPPNMLNKKHOFFBJ38CC,坡道平面,0,35.69
RPVNMLPKKHOFFBJ56CC,坡道機械,0,
RPVNMLPKKHOFFBJ56CC,坡道機械,0,
RPVNMLPKKHOFFBJ56CC,坡道機械,0,
RPVOMLLLKHOFFBJ98CC,坡道平面,0,
RPVOMLLLKHOFFBJ98CC,坡道平面,0,
RPSOMLQLKHOFFBJ56CC,坡道平面,0,
RPSOMLMLKHOFFBJ78CC,坡道平面,0,
RPTOMLQLKHOFFBJ66CC,坡道平面,0,
RPVNMLLJLHOFFBJ78CC,坡道平面,0,38.62
RPRNMLLJLHOFFBJ38CC,坡道平面,0,22.39
RPSNMLOJLHOFFBJ78CC,坡道平面,0,
RPWOMLQJLHOFFBJ86CC,坡道平面,0,38.55
RPUOMLQJLHOFFBJ66CC,坡道平面,0,
RPTRMLSJLHOFFBJ07CC,坡道機械,0,
RPTRMLSJLHOFFBJ07CC,坡道機械,0,
RPTRMLSJLHOFFBJ07CC,坡道機械,0,
RPPPMLNKLHOFFBJ68CC,坡道平面,0,45.05
RPTNMLTKLHOFFBJ86CC,坡道平面,0,
RPSNMLTKLHOFFBJ76CC,坡道平面,0,
RPTOMLKLLHOFFBJ78CC,坡道平面,0,
RPPNMLSLLHOFFBJ09CC,坡道平面,0,
RPVOMLKLLHOFFBJ98CC,坡道平面,0,
RPVOMLKLLHOFFBJ98CC,坡道平面,0,
RPSONLRLLHOFFBJ86CC,坡道平面,0,33.43
RPQNMLSLLHOFFBJ56CC,坡道平面,0,
RPVNMLTLLHOFFBJ27DC,坡道平面,0,
RPRNMLSLLHOFFBJ66CC,坡道平面,0,
RPSNMLSLLHOFFBJ76CC,坡道平面,0,
RPSNMLSLLHOFFBJ76CC,坡道平面,0,
RPUQMLSLLHOFFBJ27CC,坡道平面,0,
RPOOMLTLLHOFFBJ66DC,坡道平面,0,
RPPNMLOJMHOFFBJ58CC,坡道機械,0,
RPRRMLNJMHOFFBJ09CC,坡道平面,0,25.02
RPRRMLNJMHOFFBJ09CC,坡道平面,0,25.02
RPSNMLLMLHOFFBJ78CC,坡道平面,0,
RPSOMLTJMHOFFBJ86CC,坡道平面,0,
RPQPMLSJMHOFFBJ66CC,坡道平面,0,32.51
RPWOMLMKMHOFFBJ66CC,坡道平面,0,29.26
RPOPMLMLMHOFFBJ68CC,坡道平面,0,
RPTNMLQKMHOFFBJ66CC,坡道平面,0,35.69
RPTNMLQKMHOFFBJ66CC,坡道平面,0,35.69
RPTNMLQKMHOFFBJ66CC,坡道平面,0,35.69
RPQPMLQKMHOFFBJ56CC,坡道平面,0,
RPPPMLMLMHOFFBJ78CC,坡道平面,0,
RPPPMLMLMHOFFBJ78CC,坡道平面,0,
RPUNMLQKMHOFFBJ76CC,坡道平面,0,43.26
RPUNMLQKMHOFFBJ76CC,坡道平面,0,43.26
RPUNMLQKMHOFFBJ76CC,坡道平面,0,43.26
RPPOMLRKMHOFFBJ56DC,坡道平面,0,32.61
RPPOMLRKMHOFFBJ56DC,坡道平面,0,29.81
RPXNMLKMMHOFFBJ66CC,坡道平面,0,32.73
RPXNMLKMMHOFFBJ66CC,坡道平面,0,32.73
RPXNMLKMMHOFFBJ66CC,坡道平面,0,32.73
RPXNMLKMMHOFFBJ66CC,坡道平面,0,32.73
RPSQMLPLMHOFFBJ86CC,坡道平面,0,
RPRNMLMJNHOFFBJ68CC,坡道平面,0,
RPXNMLTLMHOFFBJ47CC,其他,0,
RPXNMLTLMHOFFBJ47CC,其他,0,
RPXNMLTLMHOFFBJ47CC,其他,0,
RPXNMLTLMHOFFBJ47CC,其他,0,
RPXNMLTLMHOFFBJ47CC,其他,0,
RPROMLOLMHOFFBJ09CC,坡道平面,0,
RPWNMLQLMHOFFBJ17DC,坡道平面,0,
RPWNMLQLMHOFFBJ17DC,坡道平面,0,
RPUNMLMJNHOFFBJ98CC,坡道平面,0,
RPXNMLMJNHOFFBJ66CC,坡道平面,0,
RPSNMLSJNHOFFCJ86CC,坡道平面,0,28.76
RPVOMLRJNHOFFBJ07CC,坡道平面,0,42.25
RPSNMLMJNHOFFBJ78CC,坡道平面,0,
