編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVPMLPLKHOFFAO27CC,親仁段二小段,.00,都市：住
RPSOMLMLKHOFFAO56CC,崙子段,.00,都市：住
RPPPMLLLKHOFFAO88CC,科學段一小段,.00,都市：住
RPPPMLPKKHOFFAO56CC,聚吉段,.00,都市：商
RPPPMLPKKHOFFAO56CC,聚吉段,.00,都市：商
RPPPMLPKKHOFFAO56CC,聚吉段,.00,都市：商
RPPQMLKLKHOFFAO88CC,榮光段一小段,.00,都市：商
RPUOMLMLKHOFFAO76CC,東山段一小段,.00,都市：商
RPOQMLMLKHOFFAO98CC,親仁段二小段,.00,都市：住
RPQQMLKLKHOFFAO98CC,東光段,.00,都市：其他
RPVOMLMLKHOFFAO86CC,民富段,.00,都市：住
RPSNMLTKKHOFFAO07CC,科學段一小段,.00,都市：住
RPXOMLSJLHOFFAO57CC,新興段,.00,都市：住
RPOPMLSJLHOFFAO76CC,長春段,.00,都市：住
RPVNMLRJLHOFFAO17CC,長春段,.00,都市：住
RPVNMLRJLHOFFAO17CC,長春段,.00,都市：住
RPVNMLRJLHOFFAO17CC,長春段,.00,都市：其他
RPRNMLQJLHOFFAO66CC,聚吉段,.00,都市：商
RPWOMLSJLHOFFAO57DC,復中段,.00,都市：商
RPXOMLLKLHOFFAO96CC,民主段一小段,.00,都市：商
RPWNMLMKLHOFFAO86CC,榮光段一小段,.00,都市：商
RPPPMLSJLHOFFAO86CC,東明段,.00,都市：商
RPQOMLOKLHOFFAO56CC,南湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLOKLHOFFAO56CC,南湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLRKLHOFFAO66CC,信義段,277.66,都市：住
RPQNMLRKLHOFFAO76CC,崙子段,.00,都市：住
RPSNMLRKLHOFFAO96CC,武陵段,.00,都市：住
RPVNMLSKLHOFFAO37CC,康朗段,.00,都市：住
RPUNMLTKLHOFFAO57EC,國道段,26.30,都市：住
RPPOMLKLLHOFFAO78CC,康朗段,.00,都市：住
RPWNMLKLLHOFFAO76CC,光武段,43.53,都市：住
RPQOMLLLLHOFFAO98CC,復中段,.00,都市：住
RPUOMLKLLHOFFAO66CC,金山段,.00,都市：住
RPUOMLPLLHOFFAO17CC,光武段,.00,都市：住
RPWOMLPLLHOFFAO37CC,光武段,.00,都市：住
RPWNMLRLLHOFFAO47CC,自由段,.00,都市：住
RPSQMLMLLHOFFAO86CC,三姓段,.00,都市：商
RPTNMLRLLHOFFAO17CC,聚吉段,.00,都市：商
RPOQMLMLLHOFFAO09CC,福林段,.00,都市：住
RPRQMLMLLHOFFAO76CC,民主段,.00,都市：住
RPTNMLMLLHOFFAO66CC,中山段三小段,.00,都市：商
RPRNMLRLLHOFFAO96CC,聚吉段,.00,都市：商
RPQOMLRLLHOFFAO96CC,東明段,.00,都市：其他
RPUNMLRLLHOFFAO47EC,新興段一小段,.00,都市：住
RPSNMLRJMHOFFAO96CC,北門段,.00,都市：住
RPPNMLKMLHOFFAO78CC,光武段,30.44,都市：住
RPPNMLOJMHOFFAO98CC,光華段,.00,都市：住
RPTNMLRJMHOFFAO07CC,柴橋段,.00,都市：其他
RPUOMLLJMHOFFAO66CC,東門段一小段,.00,都市：商
RPXNMLSJMHOFFAO57CC,榮光段一小段,.00,都市：商
RPQNMLKMLHOFFAO88CC,中華段,23.98,都市：其他
RPOTTLTJMHOFFAO08CC,東明段,.00,都市：商
RPUNMLRJMHOFFAO17CC,東濱段,62.69,都市：住
RPQNMLMKMHOFFAO98CC,國道段,.00,都市：商
RPQPMLMKMHOFFAO56CC,親仁段二小段,.00,都市：住
RPUNMLMKMHOFFAO76CC,國道段,.00,都市：商
RPSNMLSKMHOFFAO17CC,東明段,.00,都市：其他
RPRQMLSKMHOFFAO37CC,國道段,.00,都市：住
RPWNMLTKMHOFFAO67CC,科學段一小段,83.00,都市：住
RPQNMLNLMHOFFAO56CC,和平段,.00,都市：住
RPQOMLNLMHOFFAO66CC,光武段,.00,都市：住
RPPQMLSKMHOFFAO17CC,國道段,.00,都市：住
RPPQMLNLMHOFFAO86DC,西門段一小段,.00,都市：商
RPPQMLOLMHOFFAO86CC,忠孝段,149.00,都市：工
RPVPMLPLMHOFFAO47CC,光武段,.00,都市：商
RPPRMLOLMHOFFAO96CC,舊社段,.00,都市：住
RPQOMLRLMHOFFAO07CC,光復段,.00,都市：住
RPVPMLQLMHOFFAO57CC,中雅段,.00,都市：商
RPVPMLQLMHOFFAO57CC,崙子段,.00,都市：商
RPXPMLTLMHOFFAO08CC,中雅段,.00,都市：其他
RPXPMLTLMHOFFAO08CC,中雅段,.00,都市：其他
RPTOMLMJNHOFFAO96EC,西門段二小段,.00,都市：住
RPTNMLMJNHOFFAO66CC,虎山段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMJNHOFFAO98CC,東山段一小段,.00,都市：住
RPOQMLNJNHOFFAO56CC,長春段,.00,都市：住
RPOQMLNJNHOFFAO56CC,長春段,.00,都市：住
RPOOMLQJNHOFFAO66CC,榮光段一小段,.00,都市：商
RPPOMLQJNHOFFAO76CC,自由段,.00,都市：住
RPQPMLSJNHOFFAO17CC,介壽段,.00,都市：住
RPPPMLSJNHOFFAO07CC,竹蓮段,.00,都市：商
RPWNMLKKNHOFFAO86CC,榮光段一小段,.00,都市：商
