,土地區段位置/建物區段門牌
0,臺北市文山區指南路二段45巷10弄1~30號
35,臺北市文山區試院路1~30號
39,臺北市萬華區中華路二段511~540號
43,臺北市內湖區民權東路六段121~150號
44,臺北市中山區新生北路三段82巷1~30號
45,臺北市中山區中原街121~150號
48,臺北市中山區松江路150巷1~30號
53,臺北市中山區松江路235巷31~60號
54,臺北市內湖區麗山街46巷5弄1~30號
64,臺北市信義區和平東路三段463巷1~30號
69,臺北市士林區通河街323巷1~30號
70,臺北市士林區天母東路31~60號
84,臺北市北投區行義路1~30號
85,臺北市大安區通化街190巷1~30號
87,臺北市大安區和平東路三段1巷72弄1~30號
90,臺北市大安區辛亥路一段91~120號
96,臺北市松山區富錦街581巷1~30號
101,臺北市大安區通化街120巷1~30號
108,臺北市松山區南京東路五段181~210號
111,臺北市內湖區南京東路六段241~270號
112,臺北市中山區合江街73巷1~30號
113,臺北市內湖區民權東路六段301~330號
116,臺北市中山區新生北路三段1~30號
117,臺北市大安區永康街17巷1~30號
120,臺北市文山區仙岩路22巷1~30號
122,臺北市中正區牯嶺街61~90號
123,臺北市大安區四維路211~240號
124,臺北市大安區復興南路一段107巷5弄1~30號
127,臺北市北投區泉源路31~60號
128,臺北市北投區中山北路七段219巷3弄271~300號
129,臺北市士林區福林路251巷1~30號
130,臺北市士林區福林路251巷1~30號
137,臺北市士林區芝玉路一段211~240號
138,臺北市北投區溫泉路37巷1~30號
147,臺北市南港區研究院路二段34巷1~30號
148,臺北市松山區塔悠路181~210號
154,臺北市中山區敬業三路162巷1~30號
155,臺北市中山區遼寧街211~240號
160,臺北市中山區雙城街19巷1~30號
161,臺北市中山區林森北路361~390號
162,臺北市內湖區康寧路三段99巷12弄1~30號
163,臺北市大同區延平北路一段61~90號
164,臺北市萬華區內江街121~150號
168,臺北市萬華區西園路一段136巷16弄1~30號
169,臺北市大同區蘭州街124巷16弄1~30號
175,臺北市文山區木新路三段95巷7弄1~30號
228,臺北市中正區廈門街113巷1~30號
229,臺北市中正區廈門街113巷1~30號
231,臺北市文山區三福街9巷1~30號
236,臺北市中正區詔安街26巷10弄1~30號
237,臺北市文山區景興路211~240號
241,臺北市大同區長安西路52巷1~30號
244,臺北市大同區歸綏街160巷1~30號
247,臺北市中山區遼寧街76巷1~30號
257,臺北市內湖區南京東路六段451巷31~60號
258,臺北市中山區北安路595巷20弄1~30號
259,臺北市中山區中山北路二段59巷31~60號
260,臺北市內湖區金湖路391~420號
264,臺北市松山區寶清街1~30號
265,臺北市松山區民權東路三段106巷3弄1~30號
267,臺北市南港區八德路四段871~900號
268,臺北市南港區經貿二路235巷1~30號
273,臺北市士林區重慶北路四段211~240號
274,臺北市士林區中山北路七段216巷1~30號
276,臺北市北投區一心路32巷1~30號
282,臺北市大安區通化街171巷31~60號
284,臺北市中正區同安街28巷1~30號
285,臺北市大安區忠孝東路三段10巷1~30號
290,臺北市大同區錦西街38巷31~60號
292,臺北市內湖區民權東路六段296巷1~30號
293,臺北市中山區林森北路310巷31~60號
295,臺北市士林區士商路121~150號
297,臺北市北投區石牌路二段348巷1~30號
299,臺北市士林區格致路20巷1~30號
302,臺北市大安區建國南路一段175巷1~30號
306,臺北市北投區明德路150巷1~30號
